county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,event_durations,event_ids
48201,Harris (Houston),2018,16,55,2018-02-15,2018-12-01,8,"2,2,2,2,2,2,2,3,3,4,4,4,4,5,6,8",HARRIS_2018_001;HARRIS_2018_002;HARRIS_2018_003;HARRIS_2018_004;HARRIS_2018_005;HARRIS_2018_006;HARRIS_2018_007;HARRIS_2018_008;HARRIS_2018_009;HARRIS_2018_010;HARRIS_2018_011;HARRIS_2018_012;HARRIS_2018_013;HARRIS_2018_014;HARRIS_2018_015;HARRIS_2018_016
48201,Harris (Houston),2019,14,59,2019-01-07,2019-11-30,11,"2,2,2,2,2,3,3,3,4,5,5,7,8,11",HARRIS_2019_001;HARRIS_2019_002;HARRIS_2019_003;HARRIS_2019_004;HARRIS_2019_005;HARRIS_2019_006;HARRIS_2019_007;HARRIS_2019_008;HARRIS_2019_009;HARRIS_2019_010;HARRIS_2019_011;HARRIS_2019_012;HARRIS_2019_013;HARRIS_2019_014
48201,Harris (Houston),2020,17,67,2020-01-09,2020-11-14,10,"2,2,2,2,2,2,3,3,4,4,4,5,5,5,6,6,10",HARRIS_2020_001;HARRIS_2020_002;HARRIS_2020_003;HARRIS_2020_004;HARRIS_2020_005;HARRIS_2020_006;HARRIS_2020_007;HARRIS_2020_008;HARRIS_2020_009;HARRIS_2020_010;HARRIS_2020_011;HARRIS_2020_012;HARRIS_2020_013;HARRIS_2020_014;HARRIS_2020_015;HARRIS_2020_016;HARRIS_2020_017
48201,Harris (Houston),2021,20,76,2021-01-21,2022-01-01,9,"2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,6,8,9",HARRIS_2021_001;HARRIS_2021_002;HARRIS_2021_003;HARRIS_2021_004;HARRIS_2021_005;HARRIS_2021_006;HARRIS_2021_007;HARRIS_2021_008;HARRIS_2021_009;HARRIS_2021_010;HARRIS_2021_011;HARRIS_2021_012;HARRIS_2021_013;HARRIS_2021_014;HARRIS_2021_015;HARRIS_2021_016;HARRIS_2021_017;HARRIS_2021_018;HARRIS_2021_019;HARRIS_2021_020
48201,Harris (Houston),2022,20,67,2022-01-08,2022-12-13,9,"2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,7,9",HARRIS_2022_001;HARRIS_2022_002;HARRIS_2022_003;HARRIS_2022_004;HARRIS_2022_005;HARRIS_2022_006;HARRIS_2022_007;HARRIS_2022_008;HARRIS_2022_009;HARRIS_2022_010;HARRIS_2022_011;HARRIS_2022_012;HARRIS_2022_013;HARRIS_2022_014;HARRIS_2022_015;HARRIS_2022_016;HARRIS_2022_017;HARRIS_2022_018;HARRIS_2022_019;HARRIS_2022_020
48201,Harris (Houston),2023,26,120,2023-01-01,2023-12-09,16,"2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,7,7,7,9,10,12,16",HARRIS_2023_001;HARRIS_2023_002;HARRIS_2023_003;HARRIS_2023_004;HARRIS_2023_005;HARRIS_2023_006;HARRIS_2023_007;HARRIS_2023_008;HARRIS_2023_009;HARRIS_2023_010;HARRIS_2023_011;HARRIS_2023_012;HARRIS_2023_013;HARRIS_2023_014;HARRIS_2023_015;HARRIS_2023_016;HARRIS_2023_017;HARRIS_2023_018;HARRIS_2023_019;HARRIS_2023_020;HARRIS_2023_021;HARRIS_2023_022;HARRIS_2023_023;HARRIS_2023_024;HARRIS_2023_025;HARRIS_2023_026
48201,Harris (Houston),2024,25,110,2024-01-23,2024-12-17,13,"2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,6,7,7,7,11,12,13",HARRIS_2024_001;HARRIS_2024_002;HARRIS_2024_003;HARRIS_2024_004;HARRIS_2024_005;HARRIS_2024_006;HARRIS_2024_007;HARRIS_2024_008;HARRIS_2024_009;HARRIS_2024_010;HARRIS_2024_011;HARRIS_2024_012;HARRIS_2024_013;HARRIS_2024_014;HARRIS_2024_015;HARRIS_2024_016;HARRIS_2024_017;HARRIS_2024_018;HARRIS_2024_019;HARRIS_2024_020;HARRIS_2024_021;HARRIS_2024_022;HARRIS_2024_023;HARRIS_2024_024;HARRIS_2024_025
48201,Harris (Houston),2025,19,79,2025-02-03,2025-12-28,8,"2,2,2,2,3,3,3,3,3,3,4,4,4,5,7,7,7,7,8",HARRIS_2025_001;HARRIS_2025_002;HARRIS_2025_003;HARRIS_2025_004;HARRIS_2025_005;HARRIS_2025_006;HARRIS_2025_007;HARRIS_2025_008;HARRIS_2025_009;HARRIS_2025_010;HARRIS_2025_011;HARRIS_2025_012;HARRIS_2025_013;HARRIS_2025_014;HARRIS_2025_015;HARRIS_2025_016;HARRIS_2025_017;HARRIS_2025_018;HARRIS_2025_019
48303,Lubbock,2015,15,52,2015-01-18,2015-12-12,6,"2,2,2,2,2,3,3,3,3,4,4,5,5,6,6",LUBBOCK_2015_001;LUBBOCK_2015_002;LUBBOCK_2015_003;LUBBOCK_2015_004;LUBBOCK_2015_005;LUBBOCK_2015_006;LUBBOCK_2015_007;LUBBOCK_2015_008;LUBBOCK_2015_009;LUBBOCK_2015_010;LUBBOCK_2015_011;LUBBOCK_2015_012;LUBBOCK_2015_013;LUBBOCK_2015_014;LUBBOCK_2015_015
48303,Lubbock,2016,22,59,2016-01-29,2016-12-24,5,"2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5",LUBBOCK_2016_001;LUBBOCK_2016_002;LUBBOCK_2016_003;LUBBOCK_2016_004;LUBBOCK_2016_005;LUBBOCK_2016_006;LUBBOCK_2016_007;LUBBOCK_2016_008;LUBBOCK_2016_009;LUBBOCK_2016_010;LUBBOCK_2016_011;LUBBOCK_2016_012;LUBBOCK_2016_013;LUBBOCK_2016_014;LUBBOCK_2016_015;LUBBOCK_2016_016;LUBBOCK_2016_017;LUBBOCK_2016_018;LUBBOCK_2016_019;LUBBOCK_2016_020;LUBBOCK_2016_021;LUBBOCK_2016_022
