county_fips,county_name,calendar_month,analysis_year,threshold_value_f,n_reference_values,window_method,definition_id,percentile,reference_method
48061,Cameron (Brownsville),9,2020,95.06867319754153,1230,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2020,87.88152907806891,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2020,77.8391849335,1230,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2020,72.18241221303572,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2021,69.57770806402499,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2021,73.00710215699999,1187,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2021,76.60930621692141,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2021,82.53585272465277,1260,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2021,90.67757958571833,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2021,96.28442980602381,1260,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2021,97.19933441562877,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2021,98.98017655422554,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2021,95.08097036029059,1260,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2021,87.90945398796248,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2021,77.933604397425,1260,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2021,72.1923286671,1302,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2022,69.60291060609998,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2022,73.07167424775,1215,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2022,76.6150866886,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2022,82.67205503120981,1290,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2022,90.65546983318374,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2022,96.29768513830349,1290,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2022,97.18190986160086,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2022,99.07563815365052,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2022,95.14096660137503,1290,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2022,88.00777851856097,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2022,77.82870860244999,1290,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2022,72.6841909698,1333,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2023,69.5885117833893,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2023,72.9837484268643,1243,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2023,76.60652756690713,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2023,83.16807987678999,1320,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2023,90.86678710112744,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2023,96.30322182100079,1320,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2023,97.47577814524234,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2023,99.09357523011722,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2023,95.05669292542856,1320,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2023,87.88551835091084,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2023,77.89158078032501,1320,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2023,72.88746110798571,1364,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2024,69.7665606315,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2024,73.1548269075,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2024,76.706979143,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2024,83.1416969086808,1350,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2024,90.86193135804179,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2024,96.56785828678676,1350,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2024,97.72322373878615,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2024,99.35043485608792,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2024,95.26779507684337,1350,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2024,88.05309975537442,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2024,77.82870860244999,1350,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2024,72.84134496769285,1395,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2025,69.66932893725,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2025,73.18369344776072,1300,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2025,76.71079304626785,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2025,83.3409351216222,1380,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2025,91.10423142601371,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2025,96.76515205887753,1380,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2025,97.69006448960559,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
