county_fips,county_name,analysis_days,temp_imputed_days,pct_analysis_days_imputed,native_analysis_days,fully_imputed_county
48353,Nolan,4018,180,4.5,3838,False
48159,Franklin,4018,175,4.4,3843,False
48389,Reeves,4018,175,4.4,3843,False
48025,Bee,4018,159,4.0,3859,False
48333,Mills,4018,162,4.0,3856,False
48093,Comanche,4018,157,3.9,3861,False
48391,Refugio,4018,146,3.6,3872,False
48307,McCulloch,4018,135,3.4,3883,False
48003,Andrews,4018,129,3.2,3889,False
48103,Crane,4018,112,2.8,3906,False
48463,Uvalde,4018,111,2.8,3907,False
48443,Terrell,4018,106,2.6,3912,False
48385,Real,4018,101,2.5,3917,False
48361,Orange,4018,102,2.5,3916,False
48449,Titus,4018,98,2.4,3920,False
48383,Reagan,4018,91,2.3,3927,False
48287,Lee,4018,90,2.2,3928,False
48377,Presidio,4018,88,2.2,3930,False
48427,Starr,4018,83,2.1,3935,False
48365,Panola,4018,72,1.8,3946,False
48289,Leon,4018,73,1.8,3945,False
48429,Stephens,4018,70,1.7,3948,False
48467,Van Zandt,4018,70,1.7,3948,False
48363,Palo Pinto,4018,65,1.6,3953,False
48127,Dimmit,4018,64,1.6,3954,False
48123,DeWitt,4018,58,1.4,3960,False
48099,Coryell,4018,57,1.4,3961,False
48199,Hardin,4018,53,1.3,3965,False
48327,Menard,4018,49,1.2,3969,False
48403,Sabine,4018,47,1.2,3971,False
48413,Schleicher,4018,43,1.1,3975,False
48347,Nacogdoches,4018,45,1.1,3973,False
48351,Newton,4018,38,0.9,3980,False
48143,Erath,4018,35,0.9,3983,False
48285,Lavaca,4018,32,0.8,3986,False
48259,Kendall,4018,34,0.8,3984,False
48131,Duval,4018,30,0.7,3988,False
48175,Goliad,4018,30,0.7,3988,False
48227,Howard,4018,27,0.7,3991,False
48209,Hays,4018,30,0.7,3988,False
48283,La Salle,4018,27,0.7,3991,False
48097,Cooke,4018,23,0.6,3995,False
48149,Fayette,4018,26,0.6,3992,False
48387,Red River,4018,26,0.6,3992,False
48257,Kaufman,4018,25,0.6,3993,False
48067,Cass,4018,23,0.6,3995,False
48221,Hood,4018,20,0.5,3998,False
48105,Crockett,4018,19,0.5,3999,False
48325,Medina,4018,21,0.5,3997,False
48379,Rains,4018,22,0.5,3996,False
48295,Lipscomb,4018,16,0.4,4002,False
48475,Ward,4018,15,0.4,4003,False
48343,Morris,4018,15,0.4,4003,False
48139,Ellis,4018,13,0.3,4005,False
48081,Coke,4018,12,0.3,4006,False
48101,Cottle,4018,11,0.3,4007,False
48071,Chambers,4018,14,0.3,4004,False
48021,Bastrop,4018,12,0.3,4006,False
48477,Washington,4018,14,0.3,4004,False
48415,Scurry,4018,11,0.3,4007,False
48135,Ector,4018,14,0.3,4004,False
48367,Parker,4018,9,0.2,4009,False
48195,Hansford,4018,7,0.2,4011,False
48157,Fort Bend,4018,8,0.2,4010,False
48165,Gaines,4018,7,0.2,4011,False
48073,Cherokee,4018,7,0.2,4011,False
48007,Aransas,4018,8,0.2,4010,False
48277,Lamar,4018,3,0.1,4015,False
48311,McMullen,4018,6,0.1,4012,False
48055,Caldwell,4018,6,0.1,4012,False
48027,Bell,4018,6,0.1,4012,False
48057,Calhoun,4018,4,0.1,4014,False
48183,Gregg,4018,4,0.1,4014,False
48147,Fannin,4018,3,0.1,4015,False
48417,Shackelford,4018,4,0.1,4014,False
