run_id,county_fips,ehf_assessment_period_start,ehf_assessment_period_end,event_duration_days,event_id,onset_year,seq,event_definition_type
159.0,48007,2019-08-18,2019-08-20,3,48_007_2019_005_EHF_TX_WALKFORWARD,2019,5,positive_ehf_assessment_period
160.0,48007,2019-08-26,2019-08-28,3,48_007_2019_006_EHF_TX_WALKFORWARD,2019,6,positive_ehf_assessment_period
161.0,48007,2019-09-13,2019-09-15,3,48_007_2019_007_EHF_TX_WALKFORWARD,2019,7,positive_ehf_assessment_period
162.0,48007,2019-09-19,2019-09-23,5,48_007_2019_008_EHF_TX_WALKFORWARD,2019,8,positive_ehf_assessment_period
163.0,48007,2019-09-30,2019-10-02,3,48_007_2019_009_EHF_TX_WALKFORWARD,2019,9,positive_ehf_assessment_period
164.0,48007,2020-06-30,2020-07-02,3,48_007_2020_001_EHF_TX_WALKFORWARD,2020,1,positive_ehf_assessment_period
165.0,48007,2020-07-07,2020-07-16,10,48_007_2020_002_EHF_TX_WALKFORWARD,2020,2,positive_ehf_assessment_period
166.0,48007,2020-07-24,2020-07-24,1,48_007_2020_003_EHF_TX_WALKFORWARD,2020,3,positive_ehf_assessment_period
167.0,48007,2020-08-09,2020-08-14,6,48_007_2020_004_EHF_TX_WALKFORWARD,2020,4,positive_ehf_assessment_period
168.0,48007,2020-08-27,2020-09-04,9,48_007_2020_005_EHF_TX_WALKFORWARD,2020,5,positive_ehf_assessment_period
169.0,48007,2021-06-26,2021-06-26,1,48_007_2021_001_EHF_TX_WALKFORWARD,2021,1,positive_ehf_assessment_period
170.0,48007,2021-08-02,2021-08-02,1,48_007_2021_002_EHF_TX_WALKFORWARD,2021,2,positive_ehf_assessment_period
171.0,48007,2021-08-09,2021-08-12,4,48_007_2021_003_EHF_TX_WALKFORWARD,2021,3,positive_ehf_assessment_period
172.0,48007,2021-08-19,2021-08-22,4,48_007_2021_004_EHF_TX_WALKFORWARD,2021,4,positive_ehf_assessment_period
173.0,48007,2021-09-02,2021-09-03,2,48_007_2021_005_EHF_TX_WALKFORWARD,2021,5,positive_ehf_assessment_period
174.0,48007,2022-06-08,2022-06-15,8,48_007_2022_001_EHF_TX_WALKFORWARD,2022,1,positive_ehf_assessment_period
175.0,48007,2022-07-02,2022-07-14,13,48_007_2022_002_EHF_TX_WALKFORWARD,2022,2,positive_ehf_assessment_period
176.0,48007,2022-07-20,2022-07-24,5,48_007_2022_003_EHF_TX_WALKFORWARD,2022,3,positive_ehf_assessment_period
177.0,48007,2022-07-30,2022-07-31,2,48_007_2022_004_EHF_TX_WALKFORWARD,2022,4,positive_ehf_assessment_period
178.0,48007,2022-08-02,2022-08-06,5,48_007_2022_005_EHF_TX_WALKFORWARD,2022,5,positive_ehf_assessment_period
179.0,48007,2022-08-17,2022-08-17,1,48_007_2022_006_EHF_TX_WALKFORWARD,2022,6,positive_ehf_assessment_period
180.0,48007,2022-08-24,2022-08-24,1,48_007_2022_007_EHF_TX_WALKFORWARD,2022,7,positive_ehf_assessment_period
