county_fips,year,month,classified_assessment_dates
48045,2024,9,3
48045,2025,6,6
48045,2025,7,10
48045,2025,8,10
48047,2016,7,11
48047,2016,8,7
48047,2017,7,3
48047,2017,8,10
48047,2018,6,3
48047,2018,7,5
48047,2018,8,1
48047,2019,6,2
48047,2019,7,4
48047,2019,8,19
48047,2020,7,8
48047,2020,8,3
48047,2020,9,3
48047,2022,6,3
48047,2022,7,8
48047,2022,8,2
48047,2023,6,16
48047,2023,7,19
48047,2023,8,22
48047,2023,9,5
48047,2024,5,2
48047,2024,6,2
48047,2024,8,11
48049,2015,7,12
48049,2015,8,14
48049,2015,9,3
48049,2016,7,17
48049,2016,8,13
48049,2017,6,1
48049,2017,7,8
48049,2017,8,3
48049,2018,6,11
48049,2018,7,25
48049,2018,8,17
48049,2018,9,2
48049,2019,7,1
48049,2019,8,25
48049,2020,7,8
48049,2020,8,12
48049,2020,9,1
48049,2021,8,3
48049,2022,5,4
48049,2022,6,15
48049,2022,7,28
48049,2022,8,15
48049,2023,6,7
48049,2023,7,22
48049,2023,8,29
48049,2023,9,5
48049,2024,6,2
48049,2024,7,5
48049,2024,8,22
48049,2025,8,1
48051,2015,7,4
48051,2015,8,15
48051,2016,7,6
48051,2016,8,11
48051,2017,7,9
48051,2017,8,9
48051,2018,7,6
48051,2018,8,7
48051,2019,8,12
48051,2020,7,9
48051,2020,8,8
48051,2020,9,3
48051,2021,9,2
48051,2022,6,19
48051,2022,7,29
48051,2022,8,18
48051,2023,6,13
48051,2023,7,23
48051,2023,8,29
48051,2023,9,7
48051,2024,6,3
48051,2024,7,5
48051,2024,8,12
48053,2015,7,10
48053,2015,8,19
48053,2015,9,2
48053,2016,7,21
48053,2016,8,13
48053,2017,7,18
48053,2017,8,7
48053,2018,6,9
48053,2018,7,21
48053,2018,8,15
48053,2019,7,1
48053,2019,8,25
48053,2020,7,18
48053,2020,8,16
48053,2020,9,1
48053,2021,9,1
48053,2022,6,12
48053,2022,7,29
48053,2022,8,17
48053,2023,6,15
48053,2023,7,25
48053,2023,8,29
48053,2023,9,12
48053,2024,6,4
48053,2024,7,5
48053,2024,8,18
48053,2025,8,2
48055,2015,7,13
48055,2015,8,20
48055,2015,9,6
48055,2016,7,19
48055,2016,8,10
48055,2017,6,5
48055,2017,7,18
48055,2017,8,14
48055,2018,6,12
48055,2018,7,15
48055,2018,8,20
48055,2018,9,1
48055,2019,6,1
48055,2019,7,10
48055,2019,8,31
48055,2019,9,8
48055,2019,10,1
48055,2020,7,18
48055,2020,8,18
48055,2020,9,3
48055,2021,9,1
48055,2022,6,17
48055,2022,7,28
48055,2022,8,18
48055,2023,6,17
48055,2023,7,27
48055,2023,8,30
48055,2023,9,15
48055,2024,5,5
48055,2024,6,5
48055,2024,7,6
48055,2024,8,19
48055,2024,9,2
48055,2025,5,2
48055,2025,6,1
48055,2025,7,2
48055,2025,8,18
48055,2025,9,2
48057,2015,8,8
48057,2016,6,1
48057,2016,7,5
48057,2016,8,14
48057,2016,9,5
48057,2017,7,5
48057,2017,8,8
48057,2018,7,1
48057,2018,8,3
48057,2019,6,3
48057,2019,7,7
48057,2019,8,16
48057,2019,9,3
48057,2019,10,1
48057,2020,7,14
48057,2020,8,12
48057,2020,9,4
48057,2021,8,8
48057,2022,7,16
48057,2022,8,3
48057,2023,6,15
48057,2023,7,23
48057,2023,8,23
48057,2023,9,10
48057,2024,5,2
48057,2024,6,7
48057,2024,7,1
48057,2024,8,16
48057,2025,7,10
48057,2025,8,11
48059,2015,8,9
48059,2015,9,1
48059,2016,7,17
48059,2016,8,13
48059,2017,7,6
48059,2018,6,9
48059,2018,7,15
48059,2018,8,7
48059,2019,8,14
48059,2020,7,9
48059,2020,8,14
48059,2020,9,1
48059,2021,7,2
48059,2021,8,2
48059,2022,5,3
48059,2022,6,11
48059,2022,7,24
48059,2022,8,10
48059,2023,6,7
48059,2023,7,17
48059,2023,8,25
48059,2023,9,7
48059,2024,6,4
48059,2024,7,6
48059,2024,8,21
48059,2025,8,2
48061,2015,7,6
48061,2015,8,10
48061,2016,6,2
48061,2016,7,25
48061,2016,8,20
48061,2016,9,6
48061,2017,6,8
48061,2017,7,11
48061,2017,8,16
48061,2017,9,1
48061,2018,6,12
48061,2018,7,18
48061,2018,8,17
48061,2018,9,3
48061,2019,5,2
48061,2019,6,10
48061,2019,7,17
48061,2019,8,24
48061,2020,7,12
48061,2020,8,5
48061,2020,9,4
48061,2021,8,9
48061,2021,9,4
48061,2022,6,4
48061,2022,7,23
48061,2022,8,7
48061,2023,6,18
48061,2023,7,24
48061,2023,8,24
48061,2023,9,17
48061,2024,5,9
48061,2024,6,12
48061,2024,8,12
48061,2025,5,1
48061,2025,6,2
48061,2025,7,1
48061,2025,8,11
48061,2025,9,1
48063,2015,6,5
48063,2015,7,20
48063,2015,8,10
48063,2015,9,3
48063,2016,6,2
48063,2016,7,15
48063,2016,8,13
48063,2017,7,4
48063,2018,6,2
48063,2018,7,10
48063,2018,8,7
48063,2019,8,13
48063,2020,7,1
48063,2020,8,1
48063,2021,8,1
48063,2022,6,5
48063,2022,7,26
48063,2022,8,13
48063,2023,6,3
48063,2023,7,11
48063,2023,8,26
48063,2023,9,4
48063,2024,7,5
48063,2024,8,7
48063,2025,7,2
48063,2025,8,6
48065,2015,7,4
48065,2015,8,5
48065,2016,6,4
48065,2016,7,15
48065,2016,8,8
48065,2017,6,8
48065,2017,7,13
48065,2018,6,11
48065,2018,7,14
48065,2018,8,7
48065,2018,9,2
48065,2019,7,6
48065,2019,8,20
48065,2020,6,6
48065,2020,7,18
48065,2020,8,12
48065,2021,6,7
48065,2021,7,2
48065,2021,8,8
48065,2021,9,1
48065,2022,6,12
48065,2022,7,29
48065,2022,8,12
48065,2023,6,4
48065,2023,7,14
48065,2023,8,24
48065,2023,9,5
48065,2024,6,9
48065,2024,7,13
48065,2024,8,24
