county_fips,year,classified_assessment_dates
48145,2020,21
48145,2022,57
48145,2023,69
48145,2024,25
48145,2025,1
48147,2015,26
48147,2016,29
48147,2017,1
48147,2018,20
48147,2019,17
48147,2020,8
48147,2021,7
48147,2022,45
48147,2023,35
48147,2024,47
48147,2025,12
48149,2015,19
48149,2016,24
48149,2017,21
48149,2018,15
48149,2019,30
48149,2020,36
48149,2021,2
48149,2022,57
48149,2023,78
48149,2024,12
48149,2025,1
48151,2015,23
48151,2016,33
48151,2017,14
48151,2018,42
48151,2019,22
48151,2020,33
48151,2022,38
48151,2023,51
48151,2024,31
48151,2025,1
48153,2015,3
48153,2016,22
48153,2017,5
48153,2018,14
48153,2019,23
48153,2020,26
48153,2021,6
48153,2022,44
48153,2023,38
48153,2024,32
48153,2025,9
48155,2015,12
48155,2016,20
48155,2017,8
48155,2018,21
48155,2019,22
48155,2020,28
48155,2021,3
48155,2022,53
48155,2023,53
48155,2024,35
48155,2025,6
48157,2015,20
48157,2016,14
48157,2017,12
48157,2018,24
48157,2019,13
48157,2020,32
48157,2021,15
48157,2022,47
48157,2023,85
48157,2024,42
48157,2025,12
48159,2015,27
48159,2016,30
48159,2017,6
48159,2018,34
48159,2019,14
48159,2020,10
48159,2021,7
48159,2022,43
48159,2023,42
48159,2024,10
48159,2025,6
48161,2015,16
48161,2016,22
48161,2017,5
48161,2018,27
48161,2019,16
48161,2020,17
48161,2022,51
48161,2023,60
48161,2024,19
48161,2025,1
48163,2015,31
48163,2016,26
48163,2017,28
48163,2018,32
48163,2019,22
48163,2020,20
48163,2021,2
48163,2022,40
48163,2023,74
48163,2024,36
48165,2015,21
48165,2016,25
48165,2017,5
48165,2018,37
48165,2019,26
48165,2020,42
48165,2021,11
48165,2022,53
48165,2023,63
48165,2024,48
48165,2025,17
48167,2015,36
48167,2016,36
48167,2017,17
48167,2018,24
48167,2019,51
48167,2020,52
48167,2021,29
48167,2022,54
48167,2023,74
48167,2024,35
48167,2025,18
48169,2015,18
48169,2016,36
48169,2017,11
48169,2018,36
48169,2019,34
48169,2020,33
48169,2021,14
48169,2022,56
48169,2023,58
48169,2024,47
48169,2025,12
48171,2015,11
48171,2016,18
48171,2017,4
48171,2018,31
48171,2019,17
48171,2020,23
48171,2022,49
48171,2023,73
48171,2024,17
48171,2025,1
48173,2015,18
48173,2016,34
48173,2017,6
48173,2018,40
48173,2019,29
48173,2020,31
48173,2021,5
48173,2022,54
48173,2023,68
48173,2024,41
48173,2025,8
48175,2015,4
48175,2016,5
48175,2017,2
48175,2019,1
48175,2020,9
48175,2022,7
48175,2023,75
48175,2024,1
48175,2025,2
48177,2015,10
48177,2016,22
48177,2017,22
48177,2018,42
48177,2019,40
48177,2020,34
48177,2022,64
48177,2023,85
48177,2024,27
48177,2025,28
48179,2015,11
48179,2016,18
48179,2017,6
48179,2018,12
48179,2019,23
48179,2020,26
48179,2021,8
48179,2022,36
48179,2023,25
48179,2024,40
48179,2025,7
48181,2015,23
48181,2016,25
48181,2017,5
48181,2018,21
48181,2019,18
48181,2020,13
48181,2021,5
48181,2022,46
48181,2023,46
48181,2024,25
48181,2025,7
48183,2015,24
48183,2016,29
48183,2017,8
48183,2018,42
48183,2019,25
48183,2020,11
48183,2021,1
48183,2022,50
48183,2023,50
48183,2024,14
48183,2025,8
48185,2015,17
48185,2016,30
48185,2017,20
48185,2018,26
48185,2019,21
48185,2020,26
48185,2021,5
48185,2022,65
48185,2023,78
48185,2024,26
48185,2025,2
48187,2015,34
48187,2016,24
48187,2017,26
48187,2018,48
48187,2019,43
48187,2020,46
48187,2022,61
48187,2023,89
48187,2024,34
48187,2025,7
48189,2015,11
48189,2016,35
48189,2017,13
48189,2018,17
48189,2019,25
48189,2020,33
48189,2021,10
48189,2022,50
48189,2023,39
48189,2024,37
48189,2025,7
48191,2015,10
48191,2016,15
48191,2017,11
48191,2018,16
48191,2019,20
48191,2020,27
48191,2021,8
48191,2022,45
48191,2023,35
48191,2024,38
48191,2025,8
48193,2015,25
48193,2016,22
48193,2017,8
48193,2018,34
48193,2019,17
48193,2020,23
48193,2022,62
48193,2023,78
48193,2024,33
48195,2015,10
48195,2016,14
48195,2017,11
48195,2018,7
48195,2019,18
48195,2020,19
48195,2021,15
48195,2022,33
48195,2023,23
48195,2024,29
48195,2025,13
48197,2015,3
48197,2016,8
48197,2018,8
48197,2019,13
48197,2020,19
48197,2022,41
48197,2023,43
48197,2024,30
48197,2025,3
48199,2015,20
48199,2016,22
48199,2017,3
48199,2018,8
48199,2019,7
48199,2020,17
48199,2021,17
48199,2022,42
48199,2023,80
48199,2024,36
48199,2025,8
48201,2015,29
48201,2016,39
48201,2017,28
48201,2018,25
48201,2019,30
48201,2020,34
48201,2021,26
48201,2022,61
48201,2023,87
48201,2024,38
48201,2025,12
48203,2015,20
48203,2016,15
48203,2017,3
48203,2018,24
48203,2019,11
48203,2020,5
48203,2021,2
48203,2022,38
48203,2023,38
48203,2024,10
48203,2025,9
48205,2015,16
48205,2016,27
48205,2017,19
48205,2018,12
48205,2019,32
48205,2020,38
48205,2021,11
48205,2022,40
48205,2023,19
48205,2024,40
48205,2025,10
48207,2015,22
48207,2016,39
48207,2017,5
48207,2018,11
48207,2019,17
48207,2020,19
48207,2022,44
48207,2023,55
48207,2024,34
48207,2025,2
48209,2015,15
48209,2016,23
48209,2017,23
48209,2018,35
48209,2019,26
48209,2020,25
48209,2022,49
48209,2023,75
48209,2024,13
48209,2025,10
48211,2015,9
48211,2016,17
48211,2017,8
48211,2018,11
48211,2019,20
48211,2020,22
48211,2021,2
48211,2022,44
48211,2023,35
48211,2024,36
48211,2025,8
48213,2015,29
48213,2016,31
48213,2017,11
48213,2018,47
48213,2019,25
48213,2020,2
48213,2022,57
48213,2023,54
48213,2024,16
48213,2025,9
48215,2015,16
48215,2016,41
48215,2017,41
48215,2018,44
48215,2019,45
48215,2020,19
48215,2022,28
48215,2023,79
48215,2024,43
48215,2025,27
48217,2015,15
48217,2016,14
48217,2017,7
48217,2018,38
48217,2019,19
48217,2020,18
48217,2022,61
48217,2023,72
48217,2024,29
48219,2015,6
48219,2016,26
48219,2017,15
48219,2018,24
48219,2019,17
48219,2020,35
48219,2021,7
48219,2022,42
48219,2023,38
48219,2024,30
48219,2025,5
48221,2015,31
48221,2016,42
48221,2017,12
48221,2018,56
48221,2019,26
48221,2020,26
48221,2021,20
48221,2022,63
48221,2023,66
48221,2024,22
48223,2015,29
48223,2016,30
48223,2017,7
48223,2018,41
48223,2019,16
48223,2020,8
48223,2021,1
48223,2022,49
48223,2023,42
48223,2024,13
48223,2025,8
48225,2015,25
48225,2016,29
48225,2017,6
48225,2018,22
48225,2019,14
48225,2020,16
48225,2022,43
48225,2023,61
48225,2024,13
48225,2025,4
48227,2015,12
48227,2016,23
48227,2017,6
48227,2018,38
48227,2019,27
48227,2020,34
48227,2021,2
48227,2022,56
48227,2023,59
48227,2024,43
48227,2025,6
48229,2015,45
48229,2016,32
48229,2017,17
48229,2018,58
48229,2019,52
48229,2020,62
48229,2021,25
48229,2022,46
48229,2023,64
48229,2024,65
48229,2025,38
48231,2015,30
48231,2016,32
48231,2017,14
48231,2018,48
48231,2019,26
48231,2020,18
48231,2022,51
48231,2023,39
48231,2024,22
48231,2025,7
48233,2015,5
48233,2016,24
48233,2017,23
48233,2018,20
48233,2019,20
48233,2020,36
48233,2021,20
48233,2022,44
48233,2023,32
48233,2024,39
48233,2025,10
48235,2015,1
48235,2016,34
48235,2017,4
48235,2018,39
48235,2019,17
48235,2020,29
48235,2021,9
48235,2022,50
48235,2023,57
48235,2024,33
48235,2025,1
48237,2015,14
48237,2016,10
48237,2017,2
48237,2018,21
48237,2019,12
48237,2020,14
48237,2022,33
48237,2023,49
48237,2024,24
48239,2015,21
48239,2016,33
48239,2017,21
48239,2018,25
48239,2019,29
48239,2020,31
