county_fips,county_name,climate_division,climdiv_id,temperature_imputation_pct,fully_imputed_county,data_complete,report_card
48141,El Paso,Trans-Pecos,4105,0.0,False,True,county_profiles/48141/fig08_report_card_48141.png
48229,Hudspeth,Trans-Pecos,4105,0.1,False,True,county_profiles/48229/fig08_report_card_48229.png
48243,Jeff Davis,Trans-Pecos,4105,0.0,False,True,county_profiles/48243/fig08_report_card_48243.png
48301,Loving,Trans-Pecos,4105,100.0,True,False,county_profiles/48301/fig08_report_card_48301.png
48371,Pecos,Trans-Pecos,4105,0.0,False,True,county_profiles/48371/fig08_report_card_48371.png
48377,Presidio,Trans-Pecos,4105,2.2,False,True,county_profiles/48377/fig08_report_card_48377.png
48389,Reeves,Trans-Pecos,4105,4.4,False,True,county_profiles/48389/fig08_report_card_48389.png
48443,Terrell,Trans-Pecos,4105,2.6,False,True,county_profiles/48443/fig08_report_card_48443.png
48475,Ward,Trans-Pecos,4105,0.4,False,True,county_profiles/48475/fig08_report_card_48475.png
48495,Winkler,Trans-Pecos,4105,6.7,False,True,county_profiles/48495/fig08_report_card_48495.png
48019,Bandera,Edwards Plateau,4106,16.4,False,False,county_profiles/48019/fig08_report_card_48019.png
48031,Blanco,Edwards Plateau,4106,19.2,False,False,county_profiles/48031/fig08_report_card_48031.png
48053,Burnet,Edwards Plateau,4106,0.0,False,True,county_profiles/48053/fig08_report_card_48053.png
48081,Coke,Edwards Plateau,4106,0.3,False,True,county_profiles/48081/fig08_report_card_48081.png
48095,Concho,Edwards Plateau,4106,0.1,False,True,county_profiles/48095/fig08_report_card_48095.png
48105,Crockett,Edwards Plateau,4106,0.5,False,True,county_profiles/48105/fig08_report_card_48105.png
48137,Edwards,Edwards Plateau,4106,13.8,False,False,county_profiles/48137/fig08_report_card_48137.png
48171,Gillespie,Edwards Plateau,4106,0.0,False,True,county_profiles/48171/fig08_report_card_48171.png
48235,Irion,Edwards Plateau,4106,22.7,False,False,county_profiles/48235/fig08_report_card_48235.png
48259,Kendall,Edwards Plateau,4106,0.8,False,True,county_profiles/48259/fig08_report_card_48259.png
48265,Kerr,Edwards Plateau,4106,0.0,False,True,county_profiles/48265/fig08_report_card_48265.png
48267,Kimble,Edwards Plateau,4106,0.0,False,True,county_profiles/48267/fig08_report_card_48267.png
48271,Kinney,Edwards Plateau,4106,43.5,False,False,county_profiles/48271/fig08_report_card_48271.png
48281,Lampasas,Edwards Plateau,4106,80.3,False,False,county_profiles/48281/fig08_report_card_48281.png
48299,Llano,Edwards Plateau,4106,0.0,False,True,county_profiles/48299/fig08_report_card_48299.png
48319,Mason,Edwards Plateau,4106,0.0,False,True,county_profiles/48319/fig08_report_card_48319.png
48307,McCulloch,Edwards Plateau,4106,3.4,False,True,county_profiles/48307/fig08_report_card_48307.png
48327,Menard,Edwards Plateau,4106,1.2,False,True,county_profiles/48327/fig08_report_card_48327.png
48383,Reagan,Edwards Plateau,4106,2.3,False,True,county_profiles/48383/fig08_report_card_48383.png
48385,Real,Edwards Plateau,4106,2.5,False,True,county_profiles/48385/fig08_report_card_48385.png
48411,San Saba,Edwards Plateau,4106,0.1,False,True,county_profiles/48411/fig08_report_card_48411.png
48413,Schleicher,Edwards Plateau,4106,1.1,False,True,county_profiles/48413/fig08_report_card_48413.png
48431,Sterling,Edwards Plateau,4106,72.4,False,False,county_profiles/48431/fig08_report_card_48431.png
48435,Sutton,Edwards Plateau,4106,67.7,False,False,county_profiles/48435/fig08_report_card_48435.png
48451,Tom Green,Edwards Plateau,4106,0.0,False,True,county_profiles/48451/fig08_report_card_48451.png
48461,Upton,Edwards Plateau,4106,13.9,False,False,county_profiles/48461/fig08_report_card_48461.png
48463,Uvalde,Edwards Plateau,4106,2.8,False,True,county_profiles/48463/fig08_report_card_48463.png
48465,Val Verde,Edwards Plateau,4106,0.0,False,True,county_profiles/48465/fig08_report_card_48465.png
48007,Aransas,South Central,4107,0.2,False,True,county_profiles/48007/fig08_report_card_48007.png
48015,Austin,South Central,4107,23.9,False,False,county_profiles/48015/fig08_report_card_48015.png
48021,Bastrop,South Central,4107,0.3,False,True,county_profiles/48021/fig08_report_card_48021.png
48025,Bee,South Central,4107,4.0,False,True,county_profiles/48025/fig08_report_card_48025.png
48029,Bexar,South Central,4107,0.0,False,True,county_profiles/48029/fig08_report_card_48029.png
48051,Burleson,South Central,4107,18.9,False,False,county_profiles/48051/fig08_report_card_48051.png
48055,Caldwell,South Central,4107,0.1,False,True,county_profiles/48055/fig08_report_card_48055.png
