county_fips,year,month,classified_dates
48109,2025,12,2
48111,2015,2,4
48111,2015,4,2
48111,2016,1,2
48111,2016,9,8
48111,2016,10,4
48111,2016,11,2
48111,2017,2,5
48111,2017,3,2
48111,2017,6,3
48111,2017,12,2
48111,2018,1,2
48111,2018,5,2
48111,2019,4,2
48111,2019,8,3
48111,2019,12,2
48111,2020,3,2
48111,2020,5,2
48111,2020,7,2
48111,2020,8,2
48111,2021,12,9
48111,2022,5,2
48111,2023,1,2
48111,2023,7,2
48111,2023,8,2
48111,2023,9,2
48111,2023,11,2
48111,2024,2,2
48111,2024,6,3
48111,2024,8,4
48111,2025,2,3
48111,2025,3,5
48111,2025,4,2
48111,2025,11,3
48111,2025,12,6
48113,2016,3,2
48113,2017,1,3
48113,2017,2,1
48113,2017,11,2
48113,2020,8,2
48113,2021,12,10
48113,2023,1,2
48113,2025,11,3
48113,2025,12,6
48115,2016,1,1
48115,2016,2,4
48115,2017,2,2
48115,2017,3,2
48115,2017,6,1
48115,2017,7,1
48115,2017,11,2
48115,2018,1,2
48115,2021,12,4
48115,2024,2,2
48115,2025,2,5
48115,2025,12,6
48117,2015,2,2
48117,2015,4,2
48117,2015,7,2
48117,2016,1,2
48117,2016,2,3
48117,2016,7,2
48117,2016,10,2
48117,2016,11,2
48117,2017,2,2
48117,2017,3,3
48117,2017,11,2
48117,2018,1,2
48117,2019,3,2
48117,2019,8,2
48117,2020,5,2
48117,2020,8,2
48117,2021,11,2
48117,2021,12,4
48117,2022,9,2
48117,2023,11,3
48117,2025,2,2
48117,2025,11,2
48117,2025,12,8
48119,2015,1,2
48119,2015,6,2
48119,2015,12,6
48119,2016,1,2
48119,2016,11,2
48119,2016,12,2
48119,2017,1,3
48119,2017,2,5
48119,2017,3,2
48119,2017,11,2
48119,2017,12,2
48119,2019,2,2
48119,2020,3,3
48119,2020,4,2
48119,2021,12,11
48119,2022,5,2
48119,2023,1,4
48119,2023,2,2
48119,2024,2,2
48119,2024,3,2
48119,2025,2,3
48119,2025,11,6
48119,2025,12,6
48121,2016,10,2
48121,2016,11,2
48121,2017,1,1
48121,2017,2,5
48121,2017,3,4
48121,2017,12,3
48121,2019,2,2
48121,2020,3,2
48121,2020,8,2
48121,2021,12,8
48121,2023,1,2
48121,2023,5,2
48121,2024,2,3
48121,2025,11,5
48121,2025,12,6
48123,2015,10,2
48123,2016,3,2
48123,2016,10,6
48123,2016,12,2
48123,2017,2,6
48123,2017,3,4
48123,2017,11,2
48123,2019,4,2
48123,2019,8,2
48123,2019,10,4
48123,2020,4,2
48123,2020,5,2
48123,2020,8,5
48123,2021,12,2
48123,2022,1,2
48123,2022,2,2
48123,2022,6,2
48123,2022,7,2
48123,2022,10,2
48123,2023,3,2
48123,2023,7,2
48123,2023,9,8
48123,2024,2,2
48123,2024,5,4
48123,2024,6,3
48123,2024,8,2
48123,2024,9,8
48123,2024,10,6
48123,2024,11,8
48123,2024,12,5
48123,2025,2,3
48123,2025,3,9
48123,2025,5,2
48123,2025,8,2
48123,2025,9,7
48123,2025,10,2
48123,2025,11,11
48125,2015,2,2
48125,2016,1,2
48125,2016,2,3
48125,2016,7,4
48125,2017,2,4
48125,2017,3,3
48125,2017,6,1
48125,2017,7,1
48125,2017,11,2
48125,2018,2,2
48125,2019,7,2
48125,2019,8,2
48125,2021,12,6
48125,2023,8,3
48125,2024,8,2
48125,2024,10,3
48125,2025,2,5
48125,2025,11,2
48125,2025,12,5
48127,2016,2,2
48127,2019,6,2
48127,2019,12,3
48127,2021,12,3
48127,2022,1,1
48127,2023,1,2
48127,2023,2,1
48127,2023,3,2
48127,2024,2,2
48127,2024,10,2
48127,2025,2,7
48127,2025,11,2
48127,2025,12,3
48129,2015,2,4
48129,2015,4,2
48129,2015,10,2
48129,2016,1,2
48129,2016,7,2
48129,2016,10,2
48129,2017,2,4
48129,2017,3,2
48129,2021,12,2
48129,2024,2,2
48129,2025,2,2
48129,2025,12,6
48131,2015,10,3
48131,2016,2,2
48131,2017,1,2
48131,2017,2,4
48131,2019,12,2
48131,2022,1,2
48131,2022,7,4
48131,2022,10,2
48131,2023,2,2
48131,2023,3,2
48131,2023,6,12
48131,2023,8,2
48131,2023,9,5
48131,2024,5,2
48131,2024,8,2
48131,2024,10,3
48131,2024,12,2
48131,2025,2,2
48131,2025,4,3
48131,2025,8,2
48131,2025,9,2
48131,2025,11,4
48133,2015,12,2
48133,2016,1,2
48133,2016,10,2
48133,2017,1,2
48133,2017,2,2
48133,2017,3,2
48133,2021,10,2
48133,2021,12,8
48133,2022,7,2
48133,2023,1,2
48133,2024,2,2
48133,2025,2,3
48133,2025,11,6
48133,2025,12,6
48135,2016,2,3
48135,2016,12,2
48135,2017,1,3
48135,2017,2,2
48135,2017,3,2
48135,2019,8,2
48135,2021,12,7
48135,2024,12,2
48135,2025,2,6
48135,2025,12,5
48137,2015,12,2
48137,2016,1,1
48137,2016,2,1
48137,2017,11,2
48137,2019,12,2
48137,2021,12,8
48137,2022,1,1
48137,2023,1,4
48137,2023,2,1
48137,2023,3,1
48137,2023,6,2
48137,2024,2,3
48137,2025,2,5
48137,2025,11,5
48137,2025,12,6
48139,2015,12,2
48139,2016,1,1
48139,2016,2,1
48139,2016,3,2
48139,2016,12,2
48139,2017,1,2
48139,2020,3,2
48139,2020,12,2
48139,2021,12,14
48139,2022,3,2
48139,2023,1,4
48139,2024,2,2
48139,2024,3,2
48139,2024,7,2
48139,2024,12,2
48139,2025,2,3
48139,2025,3,3
48139,2025,11,5
48139,2025,12,6
48141,2016,2,2
48141,2016,12,2
48141,2017,1,3
48141,2017,2,3
48141,2017,3,6
48141,2017,4,2
48141,2017,10,3
48141,2017,11,7
48141,2017,12,4
48141,2018,3,4
48141,2019,3,2
48141,2020,11,4
48141,2021,4,4
48141,2021,12,6
48141,2022,12,2
48141,2023,2,2
48141,2023,11,2
48141,2024,2,2
48141,2024,10,2
48141,2025,2,7
48141,2025,11,2
48141,2025,12,10
48143,2015,1,2
48143,2015,12,5
48143,2016,10,9
48143,2017,1,2
48143,2017,2,7
48143,2017,11,2
48143,2018,2,2
48143,2018,6,2
48143,2021,10,2
48143,2021,12,11
48143,2023,1,4
48143,2023,6,2
48143,2024,12,2
48143,2025,2,6
48143,2025,3,2
48143,2025,11,6
48143,2025,12,6
48145,2015,10,2
48145,2016,2,2
48145,2016,3,2
48145,2017,1,2
48145,2021,12,4
48145,2023,2,1
48145,2023,3,1
48145,2024,2,2
48145,2025,2,3
48145,2025,12,5
48147,2015,6,3
48147,2015,12,4
48147,2016,1,2
48147,2016,10,6
48147,2016,11,2
48147,2017,1,3
48147,2017,2,1
48147,2019,2,2
48147,2020,3,2
48147,2020,4,2
48147,2020,6,2
48147,2021,6,2
48147,2021,12,6
48147,2024,5,2
48147,2024,6,8
48147,2024,7,2
48147,2024,9,4
48147,2024,10,2
48147,2025,3,2
48147,2025,11,4
48147,2025,12,5
48149,2016,1,1
48149,2016,2,1
48149,2016,3,2
48149,2016,12,3
48149,2017,1,3
48149,2017,2,5
48149,2017,3,2
48149,2019,10,2
48149,2020,4,2
48149,2020,8,2
48149,2021,12,7
48149,2022,1,1
48149,2023,2,1
48149,2023,3,1
48149,2023,10,2
48149,2024,10,3
48149,2024,11,2
48149,2024,12,3
48149,2025,2,7
48149,2025,3,3
48149,2025,11,2
48149,2025,12,3
48151,2016,2,2
48151,2016,7,2
48151,2017,2,2
48151,2020,8,3
48151,2021,12,4
48151,2023,6,2
48151,2023,11,2
48151,2025,2,5
48151,2025,11,2
48151,2025,12,6
48153,2015,2,2
48153,2016,1,2
48153,2016,7,2
48153,2016,11,2
48153,2017,2,2
48153,2017,3,3
48153,2017,11,2
48153,2018,1,2
48153,2018,2,2
48153,2020,5,2
48153,2021,12,6
48153,2022,8,2
48153,2023,7,2
48153,2023,8,2
48153,2023,11,3
48153,2024,2,2
48153,2024,9,2
48153,2024,10,2
48153,2025,2,5
48153,2025,11,2
48153,2025,12,6
48155,2015,2,4
48155,2015,12,2
48155,2016,1,2
48155,2016,6,2
48155,2016,7,2
48155,2016,10,3
48155,2016,11,4
48155,2017,1,2
48155,2017,2,4
48155,2017,3,6
48155,2019,8,2
48155,2020,3,2
48155,2020,8,4
48155,2021,12,10
48155,2022,3,2
48155,2023,1,4
48155,2023,6,2
48155,2023,7,3
48155,2023,8,2
48155,2023,11,3
48155,2024,2,4
48155,2024,10,3
48155,2025,2,2
48155,2025,3,2
48155,2025,9,2
48155,2025,11,4
48155,2025,12,8
48157,2015,4,2
48157,2015,12,2
48157,2016,12,4
48157,2017,2,4
48157,2017,12,2
48157,2021,1,2
48157,2021,4,3
48157,2021,12,13
48157,2022,1,1
48157,2022,11,2
48157,2023,1,4
48157,2023,2,4
48157,2023,3,5
48157,2023,8,2
48157,2023,9,8
48157,2023,11,2
48157,2024,2,2
48157,2024,6,2
48157,2024,9,2
48157,2024,10,5
48157,2025,2,7
48157,2025,3,3
48157,2025,4,2
48157,2025,11,8
48157,2025,12,3
48159,2015,1,2
48159,2016,1,2
48159,2016,2,1
48159,2016,7,2
48159,2016,8,6
48159,2016,10,7
48159,2016,11,4
48159,2016,12,2
48159,2017,1,3
48159,2017,2,2
48159,2017,3,2
48159,2017,10,2
48159,2017,11,2
48159,2017,12,2
48159,2018,9,2
48159,2019,2,3
48159,2020,3,4
48159,2021,12,9
48159,2023,1,4
48159,2023,3,2
48159,2025,2,3
48159,2025,8,2
48159,2025,11,3
48159,2025,12,3
48161,2017,1,2
48161,2017,2,2
48161,2021,12,8
48161,2023,2,1
48161,2023,3,1
48161,2024,2,2
48161,2024,10,2
48161,2025,2,5
48161,2025,12,5
48163,2015,9,2
48163,2015,12,7
48163,2016,1,2
48163,2016,2,1
48163,2016,7,3
48163,2016,11,3
48163,2016,12,3
48163,2017,2,6
48163,2018,2,2
48163,2022,1,2
48165,2016,2,2
48165,2017,2,2
48165,2017,3,3
48165,2017,11,2
48165,2018,2,2
48165,2020,10,2
48165,2021,12,9
48165,2023,1,2
48165,2025,2,6
48165,2025,11,2
48165,2025,12,6
48167,2015,8,2
48167,2015,10,4
48167,2015,12,3
