stratum,stratum_label,construct_id,counties,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,median_cumulative_classified_days,classified_days_per_1000_valid,warm_season_rate_per_1000,shoulder_rate_per_1000,cool_season_rate_per_1000,pct_days_june_september,long_events_per_100_county_years,pct_classified_days_imputed
any_observed,Counties with any observed temperature,ABS_TX_A90_D2,232,99.0,84.0,115.0,10.0,1096.5,274.3,717.573,177.502,9.077,87.37,170.886,10.53
any_observed,Counties with any observed temperature,ABS_TX_A90_D3,232,95.0,79.0,111.0,8.0,1055.5,261.217,698.934,150.268,4.572,89.37,170.886,10.74
any_observed,Counties with any observed temperature,ABS_TX_A90_D5,232,87.0,69.0,105.0,5.0,965.0,239.621,657.083,112.884,2.008,91.59,170.886,10.95
any_observed,Counties with any observed temperature,HYB_TX_P80_D2_A80_W15,232,51.0,34.0,77.0,14.0,597.0,158.592,229.303,225.111,88.252,48.29,26.058,8.5
any_observed,Counties with any observed temperature,HYB_TX_P80_D2_A90_W15,232,32.0,16.75,53.0,8.0,403.0,102.092,227.96,130.315,7.728,74.58,23.903,8.54
any_observed,Counties with any observed temperature,HYB_TX_P80_D3_A80_W15,232,40.0,24.0,64.0,8.0,477.5,128.568,203.322,187.544,58.086,52.82,26.058,8.72
any_observed,Counties with any observed temperature,HYB_TX_P80_D3_A90_W15,232,26.0,12.0,46.0,5.0,335.0,86.971,202.076,104.99,3.34,77.6,23.903,8.84
any_observed,Counties with any observed temperature,HYB_TX_P80_D5_A80_W15,232,24.0,12.0,44.0,3.0,318.0,85.327,153.534,127.749,24.913,60.1,26.058,8.39
any_observed,Counties with any observed temperature,HYB_TX_P80_D5_A90_W15,232,16.0,5.0,34.0,2.0,236.5,63.472,152.632,70.59,1.031,80.32,23.903,8.52
any_observed,Counties with any observed temperature,HYB_TX_P85_D2_A80_W15,232,38.5,25.0,61.0,11.0,470.5,124.221,175.944,172.995,72.729,47.31,16.928,7.94
any_observed,Counties with any observed temperature,HYB_TX_P85_D2_A90_W15,232,23.0,11.0,42.0,6.0,316.5,80.888,175.545,110.609,7.017,72.48,16.027,7.94
any_observed,Counties with any observed temperature,HYB_TX_P85_D3_A80_W15,232,28.0,16.0,49.0,6.0,365.0,97.192,151.97,140.225,45.607,52.22,16.928,8.16
any_observed,Counties with any observed temperature,HYB_TX_P85_D3_A90_W15,232,18.0,7.0,36.0,4.0,253.5,66.891,151.649,87.199,2.901,75.72,16.027,8.15
any_observed,Counties with any observed temperature,HYB_TX_P85_D5_A80_W15,232,15.0,6.0,31.0,2.0,225.5,61.226,110.145,89.917,18.489,60.09,16.928,8.02
any_observed,Counties with any observed temperature,HYB_TX_P85_D5_A90_W15,232,11.0,0.0,24.0,2.0,171.0,46.572,109.939,55.794,0.77,78.85,16.027,8.03
any_observed,Counties with any observed temperature,HYB_TX_P90_D2_A80_W15,232,25.0,16.0,42.0,8.0,328.0,87.06,120.433,118.68,53.784,46.2,8.19,7.2
any_observed,Counties with any observed temperature,HYB_TX_P90_D2_A90_W15,232,15.0,6.0,30.0,4.0,222.0,57.357,120.333,84.165,5.804,70.07,7.915,7.19
any_observed,Counties with any observed temperature,HYB_TX_P90_D3_A80_W15,232,18.0,9.0,32.0,4.0,237.5,65.263,101.277,92.363,31.757,51.83,8.19,7.37
any_observed,Counties with any observed temperature,HYB_TX_P90_D3_A90_W15,232,11.0,3.0,24.0,2.0,168.0,45.746,101.184,63.701,2.294,73.88,7.915,7.35
any_observed,Counties with any observed temperature,HYB_TX_P90_D5_A80_W15,232,8.0,0.0,18.0,1.0,133.0,37.823,67.97,53.968,12.012,60.02,8.19,7.23
any_observed,Counties with any observed temperature,HYB_TX_P90_D5_A90_W15,232,5.0,0.0,15.0,1.0,105.0,29.318,67.947,37.472,0.532,77.41,7.915,7.23
any_observed,Counties with any observed temperature,REL_TX_P80_D2_W15,232,71.0,54.0,95.0,19.0,814.5,209.393,229.303,225.674,190.425,36.58,26.332,8.92
any_observed,Counties with any observed temperature,REL_TX_P80_D3_W15,232,54.0,40.0,79.0,11.0,648.5,168.162,203.322,188.17,137.657,40.38,26.332,9.13
any_observed,Counties with any observed temperature,REL_TX_P80_D5_W15,232,31.0,20.0,51.0,4.0,390.0,104.392,153.534,128.299,63.142,49.12,26.332,8.89
any_observed,Counties with any observed temperature,REL_TX_P85_D2_W15,232,52.0,38.0,73.0,15.0,617.0,158.305,175.944,173.153,141.355,37.12,16.967,8.36
any_observed,Counties with any observed temperature,REL_TX_P85_D3_W15,232,38.0,27.0,57.0,8.0,469.0,122.273,151.97,140.434,96.075,41.51,16.967,8.53
