construct_id,construct_family,month,season,classified_days,valid_daily_observations,counties,classified_days_per_1000_valid,month_name,short_label,percentile,duration_days,absolute_gate_f,threshold_window,day_label,denominator_definition
HYB_TX_P90_D2_A80_W15,hybrid,9,warm,9383,83820,254,111.942,Sep,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,10,shoulder,11917,86614,254,137.587,Oct,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,11,cool,6582,83820,254,78.525,Nov,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,12,cool,2996,86614,254,34.59,Dec,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,1,cool,5,86614,254,0.058,Jan,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,2,cool,162,78994,254,2.051,Feb,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,3,cool,734,86614,254,8.474,Mar,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,4,cool,1501,83820,254,17.907,Apr,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,5,shoulder,7760,86614,254,89.593,May,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,6,warm,8466,83820,254,101.002,Jun,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,7,warm,10470,86614,254,120.881,Jul,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,8,warm,12428,86614,254,143.487,Aug,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
