construct_id,construct_family,short_label,reader_name,legacy_definition_id,percentile,duration_days,absolute_gate_f,threshold_window,day_label,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,p25_annual_event_count,p75_annual_event_count,max_annual_event_count,median_cumulative_classified_days_per_county,counties_with_any_classified_day,median_event_duration_days,p75_event_duration_days,max_event_duration_days,pct_days_june_september,pct_days_may_and_october,pct_days_november_april,peak_month,classified_days_per_1000_valid,valid_daily_observations,pct_classified_days_imputed,classified_county_dates_QA,events_QA
HYB_TX_P80_D3_A80_W15,hybrid,TX-P80-D3+A80,"County-specific 80th-percentile Tmax event with a 80 degF absolute gate, minimum duration three days",TMAX_P80_3D_F80,80.0,3,80.0,w15,hybrid heat-event day,39.0,24.0,64.0,8.0,5.0,11.0,26,479.5,254,4.0,6.0,69,53.01,24.93,22.06,Oct,128.247,1020572,16.42,130885,23342
HYB_TX_P80_D5_A80_W15,hybrid,TX-P80-D5+A80,"County-specific 80th-percentile Tmax event with a 80 degF absolute gate, minimum duration five days",TMAX_P80_5D_F80,80.0,5,80.0,w15,hybrid heat-event day,24.0,12.0,44.0,3.0,2.0,5.0,16,319.5,254,7.0,10.0,69,60.18,25.66,14.17,Aug,85.499,1020572,16.49,87258,10369
HYB_TX_P85_D2_A80_W15,hybrid,TX-P85-D2+A80,"County-specific 85th-percentile Tmax event with a 80 degF absolute gate, minimum duration two days",TMAX_P85_2D_F80,85.0,2,80.0,w15,hybrid heat-event day,38.0,24.0,61.0,11.0,7.0,15.0,39,469.5,254,3.0,4.0,66,47.45,23.84,28.71,Oct,123.2,1020572,15.22,125734,32060
HYB_TX_P85_D3_A80_W15,hybrid,TX-P85-D3+A80,"County-specific 85th-percentile Tmax event with a 80 degF absolute gate, minimum duration three days",TMAX_P85_3D_F80,85.0,3,80.0,w15,hybrid heat-event day,28.0,16.0,49.0,6.0,4.0,9.0,23,365.0,254,4.0,6.0,66,52.35,24.72,22.93,Aug,96.718,1020572,15.7,98708,18547
HYB_TX_P85_D5_A80_W15,hybrid,TX-P85-D5+A80,"County-specific 85th-percentile Tmax event with a 80 degF absolute gate, minimum duration five days",TMAX_P85_5D_F80,85.0,5,80.0,w15,hybrid heat-event day,15.0,6.0,31.0,2.0,1.0,4.0,15,226.0,254,7.0,9.0,66,60.1,25.2,14.69,Aug,61.113,1020572,15.83,62370,7701
HYB_TX_P90_D2_A80_W15,hybrid,TX-P90-D2+A80,"County-specific 90th-percentile Tmax event with a 80 degF absolute gate, minimum duration two days",TMAX_P90_2D_F80,90.0,2,80.0,w15,hybrid heat-event day,25.0,15.0,42.0,8.0,5.0,12.0,29,326.0,254,3.0,4.0,47,46.33,23.34,30.33,Aug,86.176,1020572,14.37,87949,24189
HYB_TX_P90_D3_A80_W15,hybrid,TX-P90-D3+A80,"County-specific 90th-percentile Tmax event with a 80 degF absolute gate, minimum duration three days",TMAX_P90_3D_F80,90.0,3,80.0,w15,hybrid heat-event day,18.0,9.0,32.0,4.0,2.0,7.0,21,236.5,254,4.0,6.0,47,51.89,24.35,23.77,Aug,64.839,1020572,14.84,66173,13301
HYB_TX_P90_D5_A80_W15,hybrid,TX-P90-D5+A80,"County-specific 90th-percentile Tmax event with a 80 degF absolute gate, minimum duration five days",TMAX_P90_5D_F80,90.0,5,80.0,w15,hybrid heat-event day,8.0,0.0,18.0,1.0,0.0,3.0,11,134.0,254,6.0,9.0,47,60.03,24.52,15.45,Aug,37.772,1020572,15.15,38549,5043
HYB_TX_P80_D2_A90_W15,hybrid,TX-P80-D2+A90,"County-specific 80th-percentile Tmax event with a 90 degF absolute gate, minimum duration two days",TMAX_P80_2D_F90,80.0,2,90.0,w15,hybrid heat-event day,32.0,16.0,53.0,8.0,5.0,11.0,28,403.0,254,3.0,6.0,69,74.78,21.68,3.54,Aug,101.607,1020572,16.06,103697,21741
HYB_TX_P80_D3_A90_W15,hybrid,TX-P80-D3+A90,"County-specific 80th-percentile Tmax event with a 90 degF absolute gate, minimum duration three days",TMAX_P80_3D_F90,80.0,3,90.0,w15,hybrid heat-event day,26.0,12.0,46.0,5.0,3.0,7.0,22,337.0,254,5.0,7.0,69,77.71,20.53,1.76,Aug,86.952,1020572,16.71,88741,14263
