county_fips,relative_construct,hybrid_construct,label,percentile,duration_days,absolute_gate_f,cumulative_classified_days_no_gate,cumulative_classified_days_with_gate,cumulative_events_no_gate,classified_days_lost,pct_retained,county_name,pct_analysis_days_imputed,fully_imputed_county,analysis_days,native_analysis_days
48095,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,749,590,188,159,78.77,Concho,0.1,False,4018,4014
48097,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,599,365,159,234,60.93,Cooke,0.6,False,4018,3995
48099,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,927,720,224,207,77.67,Coryell,1.4,False,4018,3961
48101,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,827,610,223,217,73.76,Cottle,0.3,False,4018,4007
48103,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,854,712,237,142,83.37,Crane,2.8,False,4018,3906
48105,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,950,736,228,214,77.47,Crockett,0.5,False,4018,3999
48107,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,826,613,233,213,74.21,Crosby,0.0,False,4018,4018
48109,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,658,360,185,298,54.71,Culberson,0.0,False,4018,4018
48111,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,995,675,255,320,67.84,Dallam,62.4,False,4018,1512
48113,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,791,540,210,251,68.27,Dallas,0.0,False,4018,4018
48115,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,751,531,209,220,70.71,Dawson,65.2,False,4018,1400
48117,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,801,534,240,267,66.67,Deaf Smith,11.0,False,4018,3577
48119,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,842,535,200,307,63.54,Delta,100.0,True,4018,0
48121,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,867,592,213,275,68.28,Denton,0.0,False,4018,4018
48123,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1196,1081,233,115,90.38,DeWitt,1.4,False,4018,3960
48125,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,767,584,222,183,76.14,Dickens,0.0,False,4018,4018
48127,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,923,830,230,93,89.92,Dimmit,1.6,False,4018,3954
48129,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,726,495,224,231,68.18,Donley,76.8,False,4018,932
48131,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,919,890,219,29,96.84,Duval,0.7,False,4018,3988
48133,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,954,702,212,252,73.58,Eastland,100.0,True,4018,0
48135,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,755,561,221,194,74.3,Ector,0.3,False,4018,4004
48137,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,670,481,179,189,71.79,Edwards,13.8,False,4018,3463
48139,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,850,588,214,262,69.18,Ellis,0.3,False,4018,4005
48141,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,903,617,238,286,68.33,El Paso,0.0,False,4018,4018
48143,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,961,713,243,248,74.19,Erath,0.9,False,4018,3983
48145,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,849,661,189,188,77.86,Falls,88.7,False,4018,453
48147,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,812,531,201,281,65.39,Fannin,0.1,False,4018,4015
48149,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,966,773,218,193,80.02,Fayette,0.6,False,4018,3992
48151,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,725,554,208,171,76.41,Fisher,58.6,False,4018,1665
48153,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,632,405,205,227,64.08,Floyd,0.0,False,4018,4017
48155,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,906,630,230,276,69.54,Foard,100.0,True,4018,0
48157,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,985,831,227,154,84.37,Fort Bend,0.2,False,4018,4010
48159,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,764,528,207,236,69.11,Franklin,4.4,False,4018,3843
48161,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,710,489,163,221,68.87,Freestone,100.0,True,4018,0
48163,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,621,563,154,58,90.66,Frio,48.8,False,4018,2056
48165,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,722,531,198,191,73.55,Gaines,0.2,False,4018,4011
48167,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1436,976,302,460,67.97,Galveston,0.0,False,4018,4018
48169,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,952,738,258,214,77.52,Garza,0.0,False,4018,4018
48171,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,746,535,165,211,71.72,Gillespie,0.0,False,4018,4018
48173,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,843,629,201,214,74.61,Glasscock,100.0,True,4018,0
48175,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,346,288,105,58,83.24,Goliad,0.7,False,4018,3988
48177,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1053,893,204,160,84.81,Gonzales,0.0,False,4018,4018
48179,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,792,523,239,269,66.04,Gray,0.0,False,4018,4017
48181,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,821,505,225,316,61.51,Grayson,0.0,False,4018,4018
48183,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,889,629,214,260,70.75,Gregg,0.1,False,4018,4014
48185,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1011,738,213,273,73.0,Grimes,100.0,True,4018,0
48187,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1156,954,209,202,82.53,Guadalupe,0.0,False,4018,4018
48189,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,869,598,258,271,68.81,Hale,0.0,False,4018,4018
