county_fips,county_name,climate_division,year,valid_days_full_year,valid_days_in_junsep,candidate_exceedance_days,heatwave_days_full_year,heatwave_days_in_junsep,heatwave_days_flagged_suspicious,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,pct_valid_days_heatwave_PRIMARY,primary_denominator_basis,pct_candidate_removed_by_persistence,mean_event_duration,max_event_duration,mean_event_peak_hi_proxy,annual_peak_hi_proxy,annual_cumulative_exceedance,first_event_start,last_event_end,first_to_last_event_span_days,n_events_reaching_hi100,n_events_reaching_hi103,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48141,El Paso,Trans-Pecos (4105),2024,366,122,69,57,37,0,19,15.57,30.33,15.57,full_year,17.39,3.0,9,93.21,105.47,133.51,2024-02-25,2024-11-16,266,5,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2025,365,122,57,45,17,0,15,12.33,13.93,12.33,full_year,21.05,3.0,6,89.42,100.13,122.24,2025-02-04,2025-11-15,285,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2015,365,122,63,51,26,0,15,13.97,21.31,13.97,full_year,19.05,3.4,11,94.28,112.17,135.74,2015-03-03,2015-12-26,299,5,5,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2016,366,122,107,92,54,0,19,25.14,44.26,25.14,full_year,14.02,4.84,13,99.1,114.36,344.66,2016-03-13,2016-12-28,291,9,9,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2017,365,122,96,79,31,0,23,21.64,25.41,21.64,full_year,17.71,3.43,11,94.96,111.41,321.91,2017-01-11,2017-11-18,312,10,8,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2018,365,122,61,53,16,0,17,14.52,13.11,14.52,full_year,13.11,3.12,9,94.82,107.94,147.09,2018-02-14,2018-11-07,267,8,4,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2019,365,122,56,38,24,0,9,10.41,19.67,10.41,full_year,32.14,4.22,10,100.49,111.24,95.95,2019-03-08,2019-10-20,227,6,5,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2020,366,122,72,55,21,0,15,15.03,17.21,15.03,full_year,23.61,3.67,7,95.66,112.78,182.42,2020-03-02,2020-11-22,266,5,4,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2021,365,122,98,85,44,0,24,23.29,36.07,23.29,full_year,13.27,3.58,11,98.23,112.08,343.62,2021-03-11,2021-12-31,296,12,11,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2022,365,122,92,75,42,0,21,20.55,34.43,20.55,full_year,18.48,3.52,13,99.96,112.79,233.16,2022-01-01,2022-12-10,344,12,8,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2023,364,122,128,117,75,0,18,32.14,61.48,32.14,full_year,8.59,6.5,17,100.52,116.43,492.7,2023-01-17,2023-11-09,297,9,9,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2024,366,122,123,105,51,0,21,28.69,41.8,28.69,full_year,14.63,5.0,10,99.29,115.58,353.34,2024-02-24,2024-12-17,298,10,9,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2025,365,122,67,55,0,0,15,15.07,0.0,15.07,full_year,17.91,3.67,9,89.76,99.2,219.89,2025-02-03,2025-12-28,329,0,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2015,365,122,25,17,5,0,6,4.66,4.1,4.66,full_year,32.0,2.83,4,88.45,98.16,34.67,2015-03-22,2015-10-15,208,0,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2016,366,122,33,22,8,0,9,6.01,6.56,6.01,full_year,33.33,2.44,4,89.08,104.03,103.96,2016-02-18,2016-11-16,273,2,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2017,365,122,40,24,10,0,9,6.58,8.2,6.58,full_year,40.0,2.67,6,90.47,100.32,92.48,2017-02-10,2017-11-05,269,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2018,365,122,45,34,10,0,11,9.32,8.2,9.32,full_year,24.44,3.09,8,91.76,98.81,81.0,2018-02-14,2018-08-28,196,0,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2019,365,122,30,25,19,0,9,6.85,15.57,6.85,full_year,16.67,2.78,6,93.18,102.56,60.68,2019-03-28,2019-09-27,184,2,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2020,366,122,47,36,14,0,12,9.84,11.48,9.84,full_year,23.4,3.0,7,90.74,101.73,112.7,2020-03-25,2020-11-05,226,2,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2021,365,122,37,22,11,0,7,6.03,9.02,6.03,full_year,40.54,3.14,7,90.1,102.55,64.27,2021-06-07,2021-11-16,163,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2022,365,122,40,29,11,0,9,7.95,9.02,7.95,full_year,27.5,3.22,7,93.09,99.09,64.07,2022-03-26,2022-09-18,177,0,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2023,365,122,60,50,39,0,17,13.7,31.97,13.7,full_year,16.67,2.94,6,93.7,105.37,129.51,2023-03-05,2023-11-08,249,3,1,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2024,366,122,63,53,24,0,17,14.48,19.67,14.48,full_year,15.87,3.12,6,92.35,100.7,153.0,2024-02-20,2024-10-30,254,3,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2025,365,122,59,43,11,0,18,11.78,9.02,11.78,full_year,27.12,2.39,5,88.37,100.28,204.92,2025-02-02,2025-12-23,325,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2015,365,122,24,8,2,0,4,2.19,1.64,2.19,full_year,66.67,2.0,2,87.31,101.36,14.89,2015-02-09,2015-06-13,125,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2016,366,122,46,37,20,0,9,10.11,16.39,10.11,full_year,19.57,4.11,7,95.72,104.82,89.11,2016-03-14,2016-11-17,249,4,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2017,365,122,50,39,11,0,14,10.68,9.02,10.68,full_year,22.0,2.79,8,91.64,106.53,97.0,2017-02-07,2017-11-18,285,4,4,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2018,365,122,29,16,10,0,6,4.38,8.2,4.38,full_year,44.83,2.67,5,98.3,105.56,20.55,2018-03-17,2018-10-14,212,3,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2019,365,122,45,33,19,0,8,9.04,15.57,9.04,full_year,26.67,4.12,18,95.54,106.75,80.05,2019-03-08,2019-10-20,227,4,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2020,366,122,48,37,7,0,11,10.11,5.74,10.11,full_year,22.92,3.36,6,91.47,108.22,96.82,2020-03-11,2020-11-21,256,2,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2021,365,122,46,31,15,0,11,8.49,12.3,8.49,full_year,32.61,2.82,5,92.9,105.38,73.37,2021-03-10,2021-12-31,297,5,3,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2022,365,122,83,71,42,0,19,19.45,34.43,19.45,full_year,14.46,3.74,11,98.33,108.36,136.33,2022-02-21,2022-09-20,212,10,7,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2023,364,122,76,63,41,1,18,17.31,33.61,17.31,full_year,17.11,3.5,12,96.1,109.13,187.18,2023-01-10,2023-11-08,303,8,7,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2024,366,122,61,47,14,0,13,12.84,11.48,12.84,full_year,22.95,3.62,9,92.15,109.03,132.08,2024-02-25,2024-12-28,308,3,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2025,365,122,64,53,2,0,15,14.52,1.64,14.52,full_year,17.19,3.53,8,89.19,101.13,161.55,2025-02-02,2025-12-27,329,2,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
