county_fips,county_name,climate_division,year,valid_days_full_year,valid_days_in_junsep,candidate_exceedance_days,heatwave_days_full_year,heatwave_days_in_junsep,heatwave_days_flagged_suspicious,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,pct_valid_days_heatwave_PRIMARY,primary_denominator_basis,pct_candidate_removed_by_persistence,mean_event_duration,max_event_duration,mean_event_peak_hi_proxy,annual_peak_hi_proxy,annual_cumulative_exceedance,first_event_start,last_event_end,first_to_last_event_span_days,n_events_reaching_hi100,n_events_reaching_hi103,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48061,Cameron (Brownsville),Lower Valley (4110),2025,365,122,41,38,38,0,7,10.41,31.15,31.15,in_season_junsep,7.32,5.43,14,110.57,113.64,125.9,2025-06-02,2025-09-06,97,7,7,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2015,365,122,1,0,0,0,0,0.0,0.0,0.0,in_season_junsep,100.0,,0,,,0.0,,,0,0,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2016,366,122,0,0,0,0,0,0.0,0.0,0.0,in_season_junsep,,,0,,,0.0,,,0,0,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2017,365,122,9,7,7,0,2,1.92,5.74,5.74,in_season_junsep,22.22,3.5,5,97.86,103.13,17.4,2017-06-19,2017-09-14,88,1,1,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2018,365,122,16,7,7,0,3,1.92,5.74,5.74,in_season_junsep,56.25,2.33,3,96.78,101.32,7.01,2018-06-05,2018-09-13,101,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2019,365,122,22,17,17,0,7,4.66,13.93,13.93,in_season_junsep,22.73,2.43,3,99.15,101.92,29.61,2019-07-17,2019-08-27,42,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2020,366,122,34,30,30,0,8,8.2,24.59,24.59,in_season_junsep,11.76,3.75,7,98.03,101.78,51.65,2020-06-02,2020-09-27,118,2,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2021,365,122,17,14,14,0,3,3.84,11.48,11.48,in_season_junsep,17.65,4.67,6,97.84,100.84,20.6,2021-06-10,2021-09-20,103,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2022,365,122,19,16,16,0,5,4.38,13.11,13.11,in_season_junsep,15.79,3.2,5,99.61,102.85,34.34,2022-06-07,2022-08-29,84,2,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2023,365,122,50,43,43,0,8,11.78,35.25,35.25,in_season_junsep,14.0,5.38,10,99.53,103.16,99.49,2023-06-21,2023-09-30,102,3,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2024,366,122,44,37,37,0,12,10.11,30.33,30.33,in_season_junsep,15.91,3.08,9,98.45,105.47,84.61,2024-06-06,2024-09-28,115,5,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2025,365,122,22,17,17,0,6,4.66,13.93,13.93,in_season_junsep,22.73,2.83,6,97.81,100.13,21.08,2025-06-12,2025-09-23,104,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2015,365,122,28,26,26,0,5,7.12,21.31,21.31,in_season_junsep,7.14,5.2,11,108.33,112.17,55.13,2015-07-17,2015-08-24,39,5,5,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2016,366,122,58,54,54,0,9,14.75,44.26,44.26,in_season_junsep,6.9,6.0,13,109.19,114.36,197.59,2016-06-13,2016-09-22,102,9,9,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2017,365,122,35,31,31,0,8,8.49,25.41,25.41,in_season_junsep,11.43,3.88,11,106.16,111.41,78.23,2017-06-15,2017-09-28,106,8,7,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2018,365,122,18,16,16,0,7,4.38,13.11,13.11,in_season_junsep,11.11,2.29,3,104.54,107.94,26.2,2018-06-01,2018-09-19,111,7,4,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2019,365,122,28,24,24,0,6,6.58,19.67,19.67,in_season_junsep,14.29,4.0,10,105.93,111.24,53.68,2019-06-01,2019-09-30,122,6,5,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2020,366,122,25,21,21,0,5,5.74,17.21,17.21,in_season_junsep,16.0,4.2,7,107.46,112.78,53.36,2020-06-04,2020-09-06,95,5,4,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2021,365,122,46,44,44,0,11,12.05,36.07,36.07,in_season_junsep,4.35,4.0,11,108.52,112.08,121.46,2021-06-07,2021-09-21,107,11,11,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2022,365,122,47,42,42,0,11,11.51,34.43,34.43,in_season_junsep,10.64,3.82,13,107.63,112.79,116.17,2022-06-12,2022-09-23,104,11,8,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2023,365,122,77,75,75,0,9,20.55,61.48,61.48,in_season_junsep,2.6,8.33,17,111.19,116.43,311.36,2023-06-14,2023-09-30,109,9,9,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2024,366,122,57,51,51,0,9,13.93,41.8,41.8,in_season_junsep,10.53,5.67,10,108.73,115.58,145.19,2024-06-10,2024-09-25,108,9,8,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2025,365,122,4,0,0,0,0,0.0,0.0,0.0,in_season_junsep,100.0,,0,,,0.0,,,0,0,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2015,365,122,8,5,5,0,2,1.37,4.1,4.1,in_season_junsep,37.5,2.5,3,96.9,98.16,13.31,2015-08-13,2015-09-18,37,0,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2016,366,122,11,8,8,0,3,2.19,6.56,6.56,in_season_junsep,27.27,2.67,4,99.79,104.03,31.65,2016-07-06,2016-09-20,77,2,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2017,365,122,13,10,10,0,4,2.74,8.2,8.2,in_season_junsep,23.08,2.5,3,96.16,100.32,14.44,2017-06-10,2017-09-21,104,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
