role,artifact,path,exists,size_bytes,md5,n_rows,n_cols
current_run_output,TMAX_ABS80_5D/daily_heatwave_days_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS80_5D\tables\daily_heatwave_days_none.csv.gz,True,3245454,87950d41ba6427934565d07466d49897,473437.0,9.0
current_run_output,TMAX_ABS80_5D/heatwave_events_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS80_5D\tables\heatwave_events_none.csv.gz,True,277148,37bdd5acb23d45b96ad10ed22854efda,16744.0,10.0
current_run_output,TMAX_ABS80_5D/run_summary_none.json,outputs\extreme_temp_tests\runs\TMAX_ABS80_5D\tables\run_summary_none.json,True,1273,2cec2496c485c720911d887bb4382c2e,,
current_run_output,TMAX_ABS90_2D/county_month_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS90_2D\tables\county_month_summary_none.csv,True,405378,255c803fab1644f1cd7d4e81fddbac24,15787.0,8.0
current_run_output,TMAX_ABS90_2D/county_year_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS90_2D\tables\county_year_summary_none.csv,True,148247,aa40753df43803a21045c60f548b4231,2794.0,9.0
current_run_output,TMAX_ABS90_2D/daily_heatwave_days_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS90_2D\tables\daily_heatwave_days_none.csv.gz,True,1875497,fdd4b6666975993160709a47ff22aa16,280631.0,9.0
current_run_output,TMAX_ABS90_2D/heatwave_events_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS90_2D\tables\heatwave_events_none.csv.gz,True,447011,6d1ce2a79d157571e081c0717acca1f8,27360.0,10.0
current_run_output,TMAX_ABS90_2D/run_summary_none.json,outputs\extreme_temp_tests\runs\TMAX_ABS90_2D\tables\run_summary_none.json,True,1270,2fbcf2e1b6f10169621e41f4d5896e87,,
current_run_output,TMAX_ABS90_3D/county_month_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS90_3D\tables\county_month_summary_none.csv,True,368908,a29fdb8157a1047d7bdabf13576dee68,14307.0,8.0
current_run_output,TMAX_ABS90_3D/county_year_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS90_3D\tables\county_year_summary_none.csv,True,147160,1f58171c1aca4a020b2dfd422184b9da,2794.0,9.0
current_run_output,TMAX_ABS90_3D/daily_heatwave_days_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS90_3D\tables\daily_heatwave_days_none.csv.gz,True,1795281,cc2cc7deb787c1c377ff1900c380fcd3,267781.0,9.0
current_run_output,TMAX_ABS90_3D/heatwave_events_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS90_3D\tables\heatwave_events_none.csv.gz,True,343197,cd8d54150c80453508a8c84fa4ab95fc,20935.0,10.0
current_run_output,TMAX_ABS90_3D/run_summary_none.json,outputs\extreme_temp_tests\runs\TMAX_ABS90_3D\tables\run_summary_none.json,True,1271,22d33d8bd27de4e226d106e18f8c2ddf,,
current_run_output,TMAX_ABS90_5D/county_month_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS90_5D\tables\county_month_summary_none.csv,True,330409,5e2ddc97b6ab30a393433923d23aa5fd,12763.0,8.0
current_run_output,TMAX_ABS90_5D/county_year_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS90_5D\tables\county_year_summary_none.csv,True,146207,1b13413e8d1e1ee555d94ddf9424009a,2793.0,9.0
current_run_output,TMAX_ABS90_5D/daily_heatwave_days_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS90_5D\tables\daily_heatwave_days_none.csv.gz,True,1660840,2c527e5c06ae5ece697a2f87274b2ee8,246143.0,9.0
current_run_output,TMAX_ABS90_5D/heatwave_events_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS90_5D\tables\heatwave_events_none.csv.gz,True,240967,86d5c19c75f918c4801837c841473c65,14619.0,10.0
current_run_output,TMAX_ABS90_5D/run_summary_none.json,outputs\extreme_temp_tests\runs\TMAX_ABS90_5D\tables\run_summary_none.json,True,1268,ff00e0369bf297324e14033d56b32a67,,
current_run_output,TMAX_P80_2D/county_month_summary_month.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_month_summary_month.csv,True,667157,6ccd862c4b7745658defbee0d95467d3,26951.0,8.0
current_run_output,TMAX_P80_2D/county_month_summary_month_pm7.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_month_summary_month_pm7.csv,True,653618,1cb05e9d43df1cfe82d9a26be426453f,26430.0,8.0
current_run_output,TMAX_P80_2D/county_month_summary_w05.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_month_summary_w05.csv,True,678255,8339d7934bb3c151cc3d4a8433427c98,27377.0,8.0
current_run_output,TMAX_P80_2D/county_month_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_month_summary_w15.csv,True,673151,bae77c978e0a9adda9ffa17249bd1e89,27187.0,8.0
current_run_output,TMAX_P80_2D/county_year_summary_month.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_year_summary_month.csv,True,147140,3511ff19c9f7536500d45b2bce74f3a9,2794.0,9.0
current_run_output,TMAX_P80_2D/county_year_summary_month_pm7.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_year_summary_month_pm7.csv,True,146941,5ea13a0894bdc32030739edcbe34280c,2794.0,9.0
current_run_output,TMAX_P80_2D/county_year_summary_w05.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_year_summary_w05.csv,True,147334,c45fc03125993bd2a7529ac51b1d8a27,2794.0,9.0
current_run_output,TMAX_P80_2D/county_year_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\county_year_summary_w15.csv,True,147249,0deabed10d5fe8069e5b350d1743c35b,2794.0,9.0
current_run_output,TMAX_P80_2D/daily_heatwave_days_month.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\daily_heatwave_days_month.csv.gz,True,1637669,94e9c1c03da35b77be6210f60fb5d48a,210778.0,9.0
current_run_output,TMAX_P80_2D/daily_heatwave_days_month_pm7.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\daily_heatwave_days_month_pm7.csv.gz,True,1563490,9bb59b46ebd48f42d92c1d467a99fb54,201146.0,9.0
current_run_output,TMAX_P80_2D/daily_heatwave_days_w05.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\daily_heatwave_days_w05.csv.gz,True,2295992,f041bc43892290dee2ad84a33c78b034,218071.0,9.0
current_run_output,TMAX_P80_2D/daily_heatwave_days_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\daily_heatwave_days_w15.csv.gz,True,2190953,cc61399f37c18381e22f35433e13db72,213399.0,9.0
current_run_output,TMAX_P80_2D/heatwave_events_month.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\heatwave_events_month.csv.gz,True,820189,45047effbc0cd6e8c9524f4973f094db,51922.0,10.0
current_run_output,TMAX_P80_2D/heatwave_events_month_pm7.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\heatwave_events_month_pm7.csv.gz,True,791528,d9a179ff371963dbe58f6c4f15d58fcc,50081.0,10.0
current_run_output,TMAX_P80_2D/heatwave_events_w05.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\heatwave_events_w05.csv.gz,True,856015,f6b00068859288d64ea0cfaac0f74f08,54102.0,10.0
current_run_output,TMAX_P80_2D/heatwave_events_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\heatwave_events_w15.csv.gz,True,842133,a8d300087303edf95887fe27d6ac4dba,53220.0,10.0
current_run_output,TMAX_P80_2D/run_summary_month.json,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\run_summary_month.json,True,1257,0cc5ab8f1f20ac208cb6b4aba856377f,,
current_run_output,TMAX_P80_2D/run_summary_month_pm7.json,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\run_summary_month_pm7.json,True,1269,e8a1a00b46ed042fa74345286b760c7b,,
current_run_output,TMAX_P80_2D/run_summary_w05.json,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\run_summary_w05.json,True,1257,2d04c4615d9e6a146cc92eb125f4ad77,,
current_run_output,TMAX_P80_2D/run_summary_w15.json,outputs\extreme_temp_tests\runs\TMAX_P80_2D\tables\run_summary_w15.json,True,1254,d4d88f63973b86b6627f29f16dacd4ef,,
current_run_output,TMAX_P80_2D_F80/county_month_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F80\tables\county_month_summary_w15.csv,True,517255,df987aa66a31bb0f54406943c90bd8fa,20927.0,8.0
current_run_output,TMAX_P80_2D_F80/county_year_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F80\tables\county_year_summary_w15.csv,True,145992,6e99c7ecd551a4493e658d8f5ac6b9de,2794.0,9.0
current_run_output,TMAX_P80_2D_F80/daily_heatwave_days_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F80\tables\daily_heatwave_days_w15.csv.gz,True,1610561,9a6d3bd05318d467602e773001d5186f,160847.0,9.0
current_run_output,TMAX_P80_2D_F80/heatwave_events_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F80\tables\heatwave_events_w15.csv.gz,True,624272,abaff5256fe8b95f83b0944766d53831,38323.0,10.0
current_run_output,TMAX_P80_2D_F80/run_summary_w15.json,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F80\tables\run_summary_w15.json,True,1276,1edd3d89f26a72243f8a4a618a6bccd8,,
current_run_output,TMAX_P80_2D_F90/county_month_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F90\tables\county_month_summary_w15.csv,True,307055,9a4c190ac5b40c25477e061f7b597d26,12410.0,8.0
current_run_output,TMAX_P80_2D_F90/county_year_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F90\tables\county_year_summary_w15.csv,True,142556,17c55b6c71dee1c7fa40f038e167a977,2766.0,9.0
current_run_output,TMAX_P80_2D_F90/daily_heatwave_days_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F90\tables\daily_heatwave_days_w15.csv.gz,True,975928,82e201cd3fb41a8745d83b51a94aef9e,103697.0,9.0
current_run_output,TMAX_P80_2D_F90/heatwave_events_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F90\tables\heatwave_events_w15.csv.gz,True,351547,4074133a516c56239361fab358940a4f,21741.0,10.0
current_run_output,TMAX_P80_2D_F90/run_summary_w15.json,outputs\extreme_temp_tests\runs\TMAX_P80_2D_F90\tables\run_summary_w15.json,True,1276,bd7c43217d8f8f223047d4e2ceec29c7,,
current_run_output,TMAX_P80_3D/county_month_summary_month.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_month_summary_month.csv,True,526582,5ba1a8da5aeede44aca11a525d77ac39,21228.0,8.0
current_run_output,TMAX_P80_3D/county_month_summary_month_pm7.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_month_summary_month_pm7.csv,True,509636,d8a947d9af492a28dd6ece8c624d7ccf,20563.0,8.0
current_run_output,TMAX_P80_3D/county_month_summary_w05.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_month_summary_w05.csv,True,542151,e0e8b0a6920c88843b923ffd04048421,21847.0,8.0
