construct_id,legacy_definition_id,window,quantity,rebuilt,stored,only_rebuilt,only_stored,result
HYB_TX_P85_D2_A80_W15,TMAX_P85_2D_F80,w15,event_boundaries,32060,32060,0,0,PASS
HYB_TX_P85_D3_A80_W15,TMAX_P85_3D_F80,w15,classified_county_dates,98708,98708,0,0,PASS
HYB_TX_P85_D3_A80_W15,TMAX_P85_3D_F80,w15,event_boundaries,18547,18547,0,0,PASS
HYB_TX_P85_D5_A80_W15,TMAX_P85_5D_F80,w15,classified_county_dates,62370,62370,0,0,PASS
HYB_TX_P85_D5_A80_W15,TMAX_P85_5D_F80,w15,event_boundaries,7701,7701,0,0,PASS
HYB_TX_P90_D2_A80_W15,TMAX_P90_2D_F80,w15,classified_county_dates,87949,87949,0,0,PASS
HYB_TX_P90_D2_A80_W15,TMAX_P90_2D_F80,w15,event_boundaries,24189,24189,0,0,PASS
HYB_TX_P90_D3_A80_W15,TMAX_P90_3D_F80,w15,classified_county_dates,66173,66173,0,0,PASS
HYB_TX_P90_D3_A80_W15,TMAX_P90_3D_F80,w15,event_boundaries,13301,13301,0,0,PASS
HYB_TX_P90_D5_A80_W15,TMAX_P90_5D_F80,w15,classified_county_dates,38549,38549,0,0,PASS
HYB_TX_P90_D5_A80_W15,TMAX_P90_5D_F80,w15,event_boundaries,5043,5043,0,0,PASS
HYB_TX_P80_D2_A90_W15,TMAX_P80_2D_F90,w15,classified_county_dates,103697,103697,0,0,PASS
HYB_TX_P80_D2_A90_W15,TMAX_P80_2D_F90,w15,event_boundaries,21741,21741,0,0,PASS
HYB_TX_P80_D3_A90_W15,TMAX_P80_3D_F90,w15,classified_county_dates,88741,88741,0,0,PASS
HYB_TX_P80_D3_A90_W15,TMAX_P80_3D_F90,w15,event_boundaries,14263,14263,0,0,PASS
HYB_TX_P80_D5_A90_W15,TMAX_P80_5D_F90,w15,classified_county_dates,64975,64975,0,0,PASS
HYB_TX_P80_D5_A90_W15,TMAX_P80_5D_F90,w15,event_boundaries,7239,7239,0,0,PASS
HYB_TX_P85_D2_A90_W15,TMAX_P85_2D_F90,w15,classified_county_dates,81954,81954,0,0,PASS
HYB_TX_P85_D2_A90_W15,TMAX_P85_2D_F90,w15,event_boundaries,18569,18569,0,0,PASS
HYB_TX_P85_D3_A90_W15,TMAX_P85_3D_F90,w15,classified_county_dates,68046,68046,0,0,PASS
HYB_TX_P85_D3_A90_W15,TMAX_P85_3D_F90,w15,event_boundaries,11615,11615,0,0,PASS
HYB_TX_P85_D5_A90_W15,TMAX_P85_5D_F90,w15,classified_county_dates,47507,47507,0,0,PASS
HYB_TX_P85_D5_A90_W15,TMAX_P85_5D_F90,w15,event_boundaries,5526,5526,0,0,PASS
HYB_TX_P90_D2_A90_W15,TMAX_P90_2D_F90,w15,classified_county_dates,57954,57954,0,0,PASS
HYB_TX_P90_D2_A90_W15,TMAX_P90_2D_F90,w15,event_boundaries,14366,14366,0,0,PASS
HYB_TX_P90_D3_A90_W15,TMAX_P90_3D_F90,w15,classified_county_dates,46448,46448,0,0,PASS
HYB_TX_P90_D3_A90_W15,TMAX_P90_3D_F90,w15,event_boundaries,8613,8613,0,0,PASS
HYB_TX_P90_D5_A90_W15,TMAX_P90_5D_F90,w15,classified_county_dates,29939,29939,0,0,PASS
HYB_TX_P90_D5_A90_W15,TMAX_P90_5D_F90,w15,event_boundaries,3723,3723,0,0,PASS
ABS_TX_A80_D2,TMAX_ABS80_2D,none,classified_county_dates,528693,528693,0,0,PASS
ABS_TX_A80_D2,TMAX_ABS80_2D,none,event_boundaries,37261,37261,0,0,PASS
ABS_TX_A80_D3,TMAX_ABS80_3D,none,classified_county_dates,508219,508219,0,0,PASS
ABS_TX_A80_D3,TMAX_ABS80_3D,none,event_boundaries,27024,27024,0,0,PASS
ABS_TX_A80_D5,TMAX_ABS80_5D,none,classified_county_dates,473437,473437,0,0,PASS
ABS_TX_A80_D5,TMAX_ABS80_5D,none,event_boundaries,16744,16744,0,0,PASS
ABS_TX_A90_D2,TMAX_ABS90_2D,none,classified_county_dates,280631,280631,0,0,PASS
ABS_TX_A90_D2,TMAX_ABS90_2D,none,event_boundaries,27360,27360,0,0,PASS
ABS_TX_A90_D3,TMAX_ABS90_3D,none,classified_county_dates,267781,267781,0,0,PASS
ABS_TX_A90_D3,TMAX_ABS90_3D,none,event_boundaries,20935,20935,0,0,PASS
ABS_TX_A90_D5,TMAX_ABS90_5D,none,classified_county_dates,246143,246143,0,0,PASS
ABS_TX_A90_D5,TMAX_ABS90_5D,none,event_boundaries,14619,14619,0,0,PASS
