run_a,run_b,jaccard,n_axes_differing,axes_differing,single_axis,metric_a,metric_b,percentile_a,percentile_b,duration_a,duration_b,window_a,window_b
TMIN_P85_2D__w15,TMAX_P95_2D__w15,0.1684,2,metric+percentile,,TMIN,TMAX,85,95,2,2,w15,w15
TMAX_P95_3D__month_pm7,TMIN_P95_3D__w15,0.1687,2,metric+window,,TMAX,TMIN,95,95,3,3,month_pm7,w15
TMIN_P85_2D__month,TMAX_P95_2D__month,0.1688,2,metric+percentile,,TMIN,TMAX,85,95,2,2,month,month
TMAX_P95_3D__w05,TMIN_P95_3D__month_pm7,0.1696,2,metric+window,,TMAX,TMIN,95,95,3,3,w05,month_pm7
TMAX_P95_3D__month,TMIN_P95_3D__w05,0.1699,2,metric+window,,TMAX,TMIN,95,95,3,3,month,w05
TMIN_P90_3D__month,TMAX_P95_3D__month,0.17,2,metric+percentile,,TMIN,TMAX,90,95,3,3,month,month
TMIN_P95_2D__month_pm7,TMAX_P95_3D__month_pm7,0.1709,2,metric+duration,,TMIN,TMAX,95,95,2,3,month_pm7,month_pm7
TMAX_P95_3D__w05,TMIN_P95_3D__month,0.1712,2,metric+window,,TMAX,TMIN,95,95,3,3,w05,month
TMAX_P95_3D__w15,TMIN_P95_3D__month_pm7,0.1714,2,metric+window,,TMAX,TMIN,95,95,3,3,w15,month_pm7
TMAX_P95_3D__w15,TMIN_P95_3D__month,0.1715,2,metric+window,,TMAX,TMIN,95,95,3,3,w15,month
TMAX_P95_3D__month,TMIN_P95_3D__w15,0.1725,2,metric+window,,TMAX,TMIN,95,95,3,3,month,w15
TMAX_P95_2D__month_pm7,TMIN_P95_2D__w05,0.1728,2,metric+window,,TMAX,TMIN,95,95,2,2,month_pm7,w05
TMAX_P95_2D__month_pm7,TMIN_P95_3D__month_pm7,0.175,2,metric+duration,,TMAX,TMIN,95,95,2,3,month_pm7,month_pm7
TMAX_P95_3D__month_pm7,TMIN_P95_3D__month,0.1751,2,metric+window,,TMAX,TMIN,95,95,3,3,month_pm7,month
TMIN_P95_2D__month,TMAX_P95_3D__month,0.1761,2,metric+duration,,TMIN,TMAX,95,95,2,3,month,month
TMIN_P90_3D__w15,TMAX_P95_3D__w15,0.1761,2,metric+percentile,,TMIN,TMAX,90,95,3,3,w15,w15
TMAX_P95_2D__month,TMIN_P95_3D__month,0.1768,2,metric+duration,,TMAX,TMIN,95,95,2,3,month,month
TMAX_P85_3D__w15,TMIN_P95_3D__w15,0.177,2,metric+percentile,,TMAX,TMIN,85,95,3,3,w15,w15
TMAX_P95_2D__month_pm7,TMIN_P95_2D__w15,0.1773,2,metric+window,,TMAX,TMIN,95,95,2,2,month_pm7,w15
TMIN_P85_2D__w05,TMAX_P95_2D__w05,0.1777,2,metric+percentile,,TMIN,TMAX,85,95,2,2,w05,w05
TMAX_P95_2D__month,TMIN_P95_2D__w05,0.1788,2,metric+window,,TMAX,TMIN,95,95,2,2,month,w05
TMAX_P85_3D__month_pm7,TMIN_P95_3D__month_pm7,0.1789,2,metric+percentile,,TMAX,TMIN,85,95,3,3,month_pm7,month_pm7
TMIN_P90_2D__month_pm7,TMAX_P95_2D__month_pm7,0.1794,2,metric+percentile,,TMIN,TMAX,90,95,2,2,month_pm7,month_pm7
TMAX_P95_3D__month,TMIN_P95_3D__month_pm7,0.1795,2,metric+window,,TMAX,TMIN,95,95,3,3,month,month_pm7
TMAX_P95_2D__w05,TMIN_P95_2D__month_pm7,0.1806,2,metric+window,,TMAX,TMIN,95,95,2,2,w05,month_pm7
TMAX_P95_2D__w15,TMIN_P95_2D__month_pm7,0.1809,2,metric+window,,TMAX,TMIN,95,95,2,2,w15,month_pm7
TMAX_P95_2D__w15,TMIN_P95_3D__w15,0.1809,2,metric+duration,,TMAX,TMIN,95,95,2,3,w15,w15
TMAX_P85_3D__w05,TMIN_P95_3D__w05,0.1815,2,metric+percentile,,TMAX,TMIN,85,95,3,3,w05,w05
TMAX_P95_2D__month,TMIN_P95_2D__w15,0.1816,2,metric+window,,TMAX,TMIN,95,95,2,2,month,w15
TMIN_P95_2D__w15,TMAX_P95_3D__w15,0.1827,2,metric+duration,,TMIN,TMAX,95,95,2,3,w15,w15
TMAX_P85_3D__month,TMIN_P95_3D__month,0.1827,2,metric+percentile,,TMAX,TMIN,85,95,3,3,month,month
TMIN_P90_3D__w05,TMAX_P95_3D__w05,0.1829,2,metric+percentile,,TMIN,TMAX,90,95,3,3,w05,w05
TMAX_P95_2D__w15,TMIN_P95_2D__month,0.1832,2,metric+window,,TMAX,TMIN,95,95,2,2,w15,month
TMAX_P95_2D__w05,TMIN_P95_3D__w05,0.1838,2,metric+duration,,TMAX,TMIN,95,95,2,3,w05,w05
TMAX_P95_2D__w05,TMIN_P95_2D__month,0.1841,2,metric+window,,TMAX,TMIN,95,95,2,2,w05,month
TMIN_P95_2D__w05,TMAX_P95_3D__w05,0.1849,2,metric+duration,,TMIN,TMAX,95,95,2,3,w05,w05
TMIN_P90_2D__w15,TMAX_P95_2D__w15,0.1889,2,metric+percentile,,TMIN,TMAX,90,95,2,2,w15,w15
TMIN_P90_2D__month,TMAX_P95_2D__month,0.1892,2,metric+percentile,,TMIN,TMAX,90,95,2,2,month,month
TMAX_P95_3D__w15,TMIN_P95_3D__w05,0.1894,2,metric+window,,TMAX,TMIN,95,95,3,3,w15,w05
TMAX_P95_2D__month_pm7,TMIN_P95_2D__month,0.1899,2,metric+window,,TMAX,TMIN,95,95,2,2,month_pm7,month
TMAX_P95_3D__w05,TMIN_P95_3D__w15,0.192,2,metric+window,,TMAX,TMIN,95,95,3,3,w05,w15
TMAX_P95_2D__month,TMIN_P95_2D__month_pm7,0.1927,2,metric+window,,TMAX,TMIN,95,95,2,2,month,month_pm7
TMAX_P90_3D__month_pm7,TMIN_P95_3D__month_pm7,0.1936,2,metric+percentile,,TMAX,TMIN,90,95,3,3,month_pm7,month_pm7
TMAX_P95_2D__w15,TMIN_P95_2D__w05,0.1953,2,metric+window,,TMAX,TMIN,95,95,2,2,w15,w05
TMAX_P90_3D__month,TMIN_P95_3D__month,0.1953,2,metric+percentile,,TMAX,TMIN,90,95,3,3,month,month
TMIN_P90_2D__w05,TMAX_P95_2D__w05,0.196,2,metric+percentile,,TMIN,TMAX,90,95,2,2,w05,w05
TMAX_P85_2D__w15,TMIN_P95_2D__w15,0.1962,2,metric+percentile,,TMAX,TMIN,85,95,2,2,w15,w15
TMAX_P90_3D__w15,TMIN_P95_3D__w15,0.1968,2,metric+percentile,,TMAX,TMIN,90,95,3,3,w15,w15
TMAX_P90_3D__w05,TMIN_P95_3D__w05,0.1985,2,metric+percentile,,TMAX,TMIN,90,95,3,3,w05,w05
TMAX_P95_2D__w05,TMIN_P95_2D__w15,0.1996,2,metric+window,,TMAX,TMIN,95,95,2,2,w05,w15
TMAX_P85_2D__month_pm7,TMIN_P95_2D__month_pm7,0.2007,2,metric+percentile,,TMAX,TMIN,85,95,2,2,month_pm7,month_pm7
TMAX_P85_2D__w05,TMIN_P95_2D__w05,0.2013,2,metric+percentile,,TMAX,TMIN,85,95,2,2,w05,w05
TMAX_P85_2D__month,TMIN_P95_2D__month,0.2065,2,metric+percentile,,TMAX,TMIN,85,95,2,2,month,month
TMAX_P90_2D__w15,TMIN_P95_2D__w15,0.2092,2,metric+percentile,,TMAX,TMIN,90,95,2,2,w15,w15
TMAX_P90_2D__w05,TMIN_P95_2D__w05,0.2109,2,metric+percentile,,TMAX,TMIN,90,95,2,2,w05,w05
TMAX_P90_2D__month_pm7,TMIN_P95_2D__month_pm7,0.2118,2,metric+percentile,,TMAX,TMIN,90,95,2,2,month_pm7,month_pm7
TMAX_P90_2D__month,TMIN_P95_2D__month,0.2165,2,metric+percentile,,TMAX,TMIN,90,95,2,2,month,month
TMAX_P90_3D__month_pm7,TMIN_P90_3D__w15,0.219,2,metric+window,,TMAX,TMIN,90,90,3,3,month_pm7,w15
TMAX_P90_3D__month_pm7,TMIN_P90_3D__w05,0.2191,2,metric+window,,TMAX,TMIN,90,90,3,3,month_pm7,w05
TMAX_P90_3D__w05,TMIN_P90_3D__month_pm7,0.2194,2,metric+window,,TMAX,TMIN,90,90,3,3,w05,month_pm7
TMAX_P90_3D__w05,TMIN_P90_3D__month,0.2207,2,metric+window,,TMAX,TMIN,90,90,3,3,w05,month
TMAX_P90_3D__w15,TMIN_P90_3D__month_pm7,0.2207,2,metric+window,,TMAX,TMIN,90,90,3,3,w15,month_pm7
TMAX_P90_3D__w15,TMIN_P90_3D__month,0.2212,2,metric+window,,TMAX,TMIN,90,90,3,3,w15,month
TMAX_P85_2D__month_pm7,TMAX_P95_3D__month_pm7,0.2216,2,percentile+duration,,TMAX,TMAX,85,95,2,3,month_pm7,month_pm7
TMAX_P90_3D__month,TMIN_P90_3D__w15,0.2236,2,metric+window,,TMAX,TMIN,90,90,3,3,month,w15
TMAX_P90_3D__month,TMIN_P90_3D__w05,0.224,2,metric+window,,TMAX,TMIN,90,90,3,3,month,w05
TMIN_P85_2D__month_pm7,TMIN_P95_3D__month_pm7,0.2263,2,percentile+duration,,TMIN,TMIN,85,95,2,3,month_pm7,month_pm7
TMAX_P90_3D__month_pm7,TMIN_P85_3D__month_pm7,0.229,2,metric+percentile,,TMAX,TMIN,90,85,3,3,month_pm7,month_pm7
TMAX_P90_2D__w15,TMIN_P90_3D__w15,0.2304,2,metric+duration,,TMAX,TMIN,90,90,2,3,w15,w15
TMIN_P90_2D__month_pm7,TMAX_P90_3D__month_pm7,0.2311,2,metric+duration,,TMIN,TMAX,90,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__w15,TMAX_P90_3D__w15,0.2317,2,metric+duration,,TMIN,TMAX,90,90,2,3,w15,w15
TMAX_P90_2D__month_pm7,TMIN_P90_2D__w05,0.2323,2,metric+window,,TMAX,TMIN,90,90,2,2,month_pm7,w05
TMAX_P90_3D__w15,TMIN_P85_3D__w15,0.2329,2,metric+percentile,,TMAX,TMIN,90,85,3,3,w15,w15
TMAX_P90_2D__w05,TMIN_P90_3D__w05,0.233,2,metric+duration,,TMAX,TMIN,90,90,2,3,w05,w05
TMAX_P90_2D__w05,TMIN_P90_2D__month_pm7,0.2341,2,metric+window,,TMAX,TMIN,90,90,2,2,w05,month_pm7
TMAX_P90_2D__month_pm7,TMIN_P90_2D__w15,0.2342,2,metric+window,,TMAX,TMIN,90,90,2,2,month_pm7,w15
TMAX_P90_3D__month_pm7,TMIN_P90_3D__month,0.2347,2,metric+window,,TMAX,TMIN,90,90,3,3,month_pm7,month
TMAX_P90_2D__w15,TMIN_P90_2D__month_pm7,0.2349,2,metric+window,,TMAX,TMIN,90,90,2,2,w15,month_pm7
TMIN_P85_2D__w15,TMIN_P95_3D__w15,0.235,2,percentile+duration,,TMIN,TMIN,85,95,2,3,w15,w15
TMIN_P90_2D__w05,TMAX_P90_3D__w05,0.2351,2,metric+duration,,TMIN,TMAX,90,90,2,3,w05,w05
TMAX_P90_3D__w05,TMIN_P90_3D__w15,0.2358,2,metric+window,,TMAX,TMIN,90,90,3,3,w05,w15
TMAX_P90_2D__month_pm7,TMIN_P90_3D__month_pm7,0.236,2,metric+duration,,TMAX,TMIN,90,90,2,3,month_pm7,month_pm7
TMAX_P90_3D__w05,TMIN_P85_3D__w05,0.2365,2,metric+percentile,,TMAX,TMIN,90,85,3,3,w05,w05
TMAX_P90_2D__w05,TMIN_P90_2D__month,0.2372,2,metric+window,,TMAX,TMIN,90,90,2,2,w05,month
TMAX_P90_3D__w15,TMIN_P90_3D__w05,0.2374,2,metric+window,,TMAX,TMIN,90,90,3,3,w15,w05
TMAX_P90_2D__w15,TMIN_P90_2D__month,0.2376,2,metric+window,,TMAX,TMIN,90,90,2,2,w15,month
TMIN_P90_2D__month,TMAX_P90_3D__month,0.2376,2,metric+duration,,TMIN,TMAX,90,90,2,3,month,month
TMIN_P85_2D__month,TMIN_P95_3D__month,0.2376,2,percentile+duration,,TMIN,TMIN,85,95,2,3,month,month
TMAX_P90_3D__month,TMIN_P85_3D__month,0.2379,2,metric+percentile,,TMAX,TMIN,90,85,3,3,month,month
TMAX_P90_2D__month,TMIN_P90_2D__w05,0.2384,2,metric+window,,TMAX,TMIN,90,90,2,2,month,w05
TMAX_P95_3D__month_pm7,MHI_P90_3D__month_pm7,0.2388,2,metric+percentile,,TMAX,MHI,95,90,3,3,month_pm7,month_pm7
TMAX_P90_2D__month,TMIN_P90_2D__w15,0.2397,2,metric+window,,TMAX,TMIN,90,90,2,2,month,w15
TMAX_P90_2D__month,TMIN_P90_3D__month,0.2401,2,metric+duration,,TMAX,TMIN,90,90,2,3,month,month
TMAX_P90_3D__month,TMIN_P90_3D__month_pm7,0.2404,2,metric+window,,TMAX,TMIN,90,90,3,3,month,month_pm7
TMAX_P85_2D__w15,TMAX_P95_3D__w15,0.2415,2,percentile+duration,,TMAX,TMAX,85,95,2,3,w15,w15
TMAX_P85_2D__month,TMAX_P95_3D__month,0.2427,2,percentile+duration,,TMAX,TMAX,85,95,2,3,month,month
TMIN_P90_3D__w15,TMAX_P85_3D__w15,0.2486,2,metric+percentile,,TMIN,TMAX,90,85,3,3,w15,w15
TMAX_P90_2D__month_pm7,TMIN_P85_2D__month_pm7,0.249,2,metric+percentile,,TMAX,TMIN,90,85,2,2,month_pm7,month_pm7
TMAX_P90_2D__w15,TMIN_P90_2D__w05,0.2499,2,metric+window,,TMAX,TMIN,90,90,2,2,w15,w05
TMAX_P90_2D__w05,TMIN_P90_2D__w15,0.2504,2,metric+window,,TMAX,TMIN,90,90,2,2,w05,w15
TMIN_P90_3D__w05,TMAX_P85_3D__w05,0.2515,2,metric+percentile,,TMIN,TMAX,90,85,3,3,w05,w05
TMAX_P90_2D__w15,TMIN_P85_2D__w15,0.2516,2,metric+percentile,,TMAX,TMIN,90,85,2,2,w15,w15
TMIN_P85_2D__w05,TMIN_P95_3D__w05,0.2516,2,percentile+duration,,TMIN,TMIN,85,95,2,3,w05,w05
TMAX_P85_3D__w05,TMAX_P95_3D__month_pm7,0.2524,2,percentile+window,,TMAX,TMAX,85,95,3,3,w05,month_pm7
TMAX_P90_2D__month_pm7,TMIN_P90_2D__month,0.2527,2,metric+window,,TMAX,TMIN,90,90,2,2,month_pm7,month
TMAX_P95_3D__month,MHI_P90_3D__month,0.2529,2,metric+percentile,,TMAX,MHI,95,90,3,3,month,month
TMAX_P90_2D__w05,TMIN_P85_2D__w05,0.2557,2,metric+percentile,,TMAX,TMIN,90,85,2,2,w05,w05
TMAX_P90_2D__month,TMIN_P90_2D__month_pm7,0.257,2,metric+window,,TMAX,TMIN,90,90,2,2,month,month_pm7
TMAX_P85_3D__w05,TMIN_P85_3D__month_pm7,0.2573,2,metric+window,,TMAX,TMIN,85,85,3,3,w05,month_pm7
TMAX_P85_3D__w15,TMIN_P85_3D__month_pm7,0.2579,2,metric+window,,TMAX,TMIN,85,85,3,3,w15,month_pm7
TMAX_P95_3D__w15,MHI_P90_3D__w15,0.2579,2,metric+percentile,,TMAX,MHI,95,90,3,3,w15,w15
TMAX_P85_3D__month_pm7,TMIN_P85_3D__w05,0.2587,2,metric+window,,TMAX,TMIN,85,85,3,3,month_pm7,w05
TMAX_P90_2D__month,TMIN_P85_2D__month,0.2591,2,metric+percentile,,TMAX,TMIN,90,85,2,2,month,month
TMIN_P90_3D__month_pm7,TMAX_P85_3D__month_pm7,0.2597,2,metric+percentile,,TMIN,TMAX,90,85,3,3,month_pm7,month_pm7
TMAX_P85_3D__w05,TMIN_P85_3D__month,0.2602,2,metric+window,,TMAX,TMIN,85,85,3,3,w05,month
TMAX_P85_3D__w15,TMIN_P85_3D__month,0.2604,2,metric+window,,TMAX,TMIN,85,85,3,3,w15,month
TMAX_P85_3D__month_pm7,TMIN_P85_3D__w15,0.2604,2,metric+window,,TMAX,TMIN,85,85,3,3,month_pm7,w15
TMIN_P90_3D__month,TMAX_P85_3D__month,0.2625,2,metric+percentile,,TMIN,TMAX,90,85,3,3,month,month
TMAX_P85_3D__w15,TMAX_P95_3D__month_pm7,0.2632,2,percentile+window,,TMAX,TMAX,85,95,3,3,w15,month_pm7
TMAX_P85_3D__month,TMIN_P85_3D__w05,0.2633,2,metric+window,,TMAX,TMIN,85,85,3,3,month,w05
TMAX_P85_2D__w05,TMAX_P95_3D__w05,0.2638,2,percentile+duration,,TMAX,TMAX,85,95,2,3,w05,w05
TMAX_P85_3D__month,TMAX_P95_3D__month_pm7,0.2638,2,percentile+window,,TMAX,TMAX,85,95,3,3,month,month_pm7
TMAX_P85_3D__month,TMIN_P85_3D__w15,0.2648,2,metric+window,,TMAX,TMIN,85,85,3,3,month,w15
TMIN_P85_3D__w05,TMIN_P95_3D__month_pm7,0.266,2,percentile+window,,TMIN,TMIN,85,95,3,3,w05,month_pm7
TMIN_P90_2D__w15,TMAX_P85_2D__w15,0.269,2,metric+percentile,,TMIN,TMAX,90,85,2,2,w15,w15
TMIN_P85_3D__month,TMIN_P95_3D__month_pm7,0.2714,2,percentile+window,,TMIN,TMIN,85,95,3,3,month,month_pm7
TMIN_P90_2D__w05,TMAX_P85_2D__w05,0.2724,2,metric+percentile,,TMIN,TMAX,90,85,2,2,w05,w05
TMAX_P95_3D__w05,MHI_P90_3D__w05,0.2729,2,metric+percentile,,TMAX,MHI,95,90,3,3,w05,w05
TMAX_P85_2D__w15,TMIN_P85_3D__w15,0.2735,2,metric+duration,,TMAX,TMIN,85,85,2,3,w15,w15
TMAX_P85_3D__w15,TMIN_P85_3D__w05,0.2736,2,metric+window,,TMAX,TMIN,85,85,3,3,w15,w05
TMIN_P85_2D__w15,TMAX_P85_3D__w15,0.2737,2,metric+duration,,TMIN,TMAX,85,85,2,3,w15,w15
TMAX_P85_3D__w05,TMIN_P85_3D__w15,0.2737,2,metric+window,,TMAX,TMIN,85,85,3,3,w05,w15
TMIN_P85_3D__w15,TMIN_P95_3D__month_pm7,0.2756,2,percentile+window,,TMIN,TMIN,85,95,3,3,w15,month_pm7
TMAX_P85_2D__w05,TMIN_P85_3D__w05,0.2759,2,metric+duration,,TMAX,TMIN,85,85,2,3,w05,w05
TMIN_P85_2D__w05,TMAX_P85_3D__w05,0.2769,2,metric+duration,,TMIN,TMAX,85,85,2,3,w05,w05
TMIN_P85_2D__month_pm7,TMAX_P85_3D__month_pm7,0.277,2,metric+duration,,TMIN,TMAX,85,85,2,3,month_pm7,month_pm7
TMIN_P90_2D__month_pm7,TMAX_P85_2D__month_pm7,0.2775,2,metric+percentile,,TMIN,TMAX,90,85,2,2,month_pm7,month_pm7
TMAX_P95_2D__month_pm7,MHI_P90_2D__month_pm7,0.2782,2,metric+percentile,,TMAX,MHI,95,90,2,2,month_pm7,month_pm7
TMAX_P85_2D__w05,TMIN_P85_2D__month_pm7,0.279,2,metric+window,,TMAX,TMIN,85,85,2,2,w05,month_pm7
TMAX_P85_2D__w15,TMIN_P85_2D__month_pm7,0.2791,2,metric+window,,TMAX,TMIN,85,85,2,2,w15,month_pm7
TMAX_P85_2D__month_pm7,TMIN_P85_2D__w05,0.2797,2,metric+window,,TMAX,TMIN,85,85,2,2,month_pm7,w05
TMAX_P85_2D__month_pm7,TMIN_P85_2D__w15,0.2816,2,metric+window,,TMAX,TMIN,85,85,2,2,month_pm7,w15
TMAX_P85_3D__month_pm7,TMIN_P85_3D__month,0.2816,2,metric+window,,TMAX,TMIN,85,85,3,3,month_pm7,month
TMAX_P85_2D__month_pm7,TMIN_P85_3D__month_pm7,0.2818,2,metric+duration,,TMAX,TMIN,85,85,2,3,month_pm7,month_pm7
TMAX_P85_2D__w15,TMIN_P85_2D__month,0.2826,2,metric+window,,TMAX,TMIN,85,85,2,2,w15,month
TMAX_P85_2D__w05,TMIN_P85_2D__month,0.2829,2,metric+window,,TMAX,TMIN,85,85,2,2,w05,month
TMIN_P90_2D__month,TMAX_P85_2D__month,0.2833,2,metric+percentile,,TMIN,TMAX,90,85,2,2,month,month
TMIN_P85_2D__month,TMAX_P85_3D__month,0.2846,2,metric+duration,,TMIN,TMAX,85,85,2,3,month,month
TMAX_P85_3D__month,TMIN_P85_3D__month_pm7,0.2846,2,metric+window,,TMAX,TMIN,85,85,3,3,month,month_pm7
TMAX_P85_2D__month,TMIN_P85_2D__w05,0.2854,2,metric+window,,TMAX,TMIN,85,85,2,2,month,w05
TMAX_P85_2D__month,TMIN_P85_2D__w15,0.2871,2,metric+window,,TMAX,TMIN,85,85,2,2,month,w15
TMIN_P85_3D__w05,TMIN_P95_3D__w15,0.2879,2,percentile+window,,TMIN,TMIN,85,95,3,3,w05,w15
TMAX_P95_2D__w15,MHI_P90_2D__w15,0.2882,2,metric+percentile,,TMAX,MHI,95,90,2,2,w15,w15
TMAX_P85_2D__w05,TMAX_P95_2D__month_pm7,0.2883,2,percentile+window,,TMAX,TMAX,85,95,2,2,w05,month_pm7
TMAX_P85_2D__month,TMIN_P85_3D__month,0.2884,2,metric+duration,,TMAX,TMIN,85,85,2,3,month,month
TMAX_P95_2D__month,MHI_P90_2D__month,0.291,2,metric+percentile,,TMAX,MHI,95,90,2,2,month,month
TMIN_P85_3D__w05,TMIN_P95_3D__month,0.2916,2,percentile+window,,TMIN,TMIN,85,95,3,3,w05,month
TMIN_P85_3D__month,TMIN_P95_3D__w15,0.2923,2,percentile+window,,TMIN,TMIN,85,95,3,3,month,w15
TMAX_P85_3D__w05,TMAX_P95_3D__month,0.2933,2,percentile+window,,TMAX,TMAX,85,95,3,3,w05,month
TMAX_P85_2D__w15,TMIN_P85_2D__w05,0.2963,2,metric+window,,TMAX,TMIN,85,85,2,2,w15,w05
TMAX_P85_2D__w05,TMIN_P85_2D__w15,0.2972,2,metric+window,,TMAX,TMIN,85,85,2,2,w05,w15
TMAX_P90_3D__month_pm7,MHI_P90_3D__w15,0.2982,2,metric+window,,TMAX,MHI,90,90,3,3,month_pm7,w15
TMAX_P85_2D__w15,TMAX_P95_2D__month_pm7,0.2985,2,percentile+window,,TMAX,TMAX,85,95,2,2,w15,month_pm7
TMAX_P85_3D__w05,TMAX_P95_3D__w15,0.2988,2,percentile+window,,TMAX,TMAX,85,95,3,3,w05,w15
TMAX_P90_3D__month_pm7,MHI_P90_3D__w05,0.3,2,metric+window,,TMAX,MHI,90,90,3,3,month_pm7,w05
TMIN_P85_2D__w05,TMIN_P95_2D__month_pm7,0.3023,2,percentile+window,,TMIN,TMIN,85,95,2,2,w05,month_pm7
TMIN_P85_3D__w15,TMIN_P95_3D__month,0.3024,2,percentile+window,,TMIN,TMIN,85,95,3,3,w15,month
TMAX_P85_2D__month_pm7,TMIN_P85_2D__month,0.3027,2,metric+window,,TMAX,TMIN,85,85,2,2,month_pm7,month
TMAX_P95_2D__w05,MHI_P90_2D__w05,0.3029,2,metric+percentile,,TMAX,MHI,95,90,2,2,w05,w05
TMAX_P85_2D__month,TMAX_P95_2D__month_pm7,0.3035,2,percentile+window,,TMAX,TMAX,85,95,2,2,month,month_pm7
TMAX_P90_3D__w05,MHI_P90_3D__month_pm7,0.3035,2,metric+window,,TMAX,MHI,90,90,3,3,w05,month_pm7
TMAX_P85_3D__month,TMAX_P95_3D__w15,0.3042,2,percentile+window,,TMAX,TMAX,85,95,3,3,month,w15
TMAX_P85_2D__month,TMIN_P85_2D__month_pm7,0.3051,2,metric+window,,TMAX,TMIN,85,85,2,2,month,month_pm7
TMAX_P90_3D__month,MHI_P90_3D__w15,0.3053,2,metric+window,,TMAX,MHI,90,90,3,3,month,w15
TMIN_P85_3D__month_pm7,TMIN_P95_3D__w15,0.3054,2,percentile+window,,TMIN,TMIN,85,95,3,3,month_pm7,w15
TMAX_P90_3D__w15,MHI_P90_3D__month_pm7,0.3066,2,metric+window,,TMAX,MHI,90,90,3,3,w15,month_pm7
TMAX_P85_3D__w15,TMAX_P95_3D__month,0.3069,2,percentile+window,,TMAX,TMAX,85,95,3,3,w15,month
TMAX_P90_3D__month,MHI_P90_3D__w05,0.3094,2,metric+window,,TMAX,MHI,90,90,3,3,month,w05
TMIN_P85_2D__month,TMIN_P95_2D__month_pm7,0.3105,2,percentile+window,,TMIN,TMIN,85,95,2,2,month,month_pm7
TMIN_P85_2D__w15,TMIN_P95_2D__month_pm7,0.3119,2,percentile+window,,TMIN,TMIN,85,95,2,2,w15,month_pm7
TMAX_P90_3D__w05,MHI_P90_3D__month,0.3129,2,metric+window,,TMAX,MHI,90,90,3,3,w05,month
TMIN_P85_3D__month_pm7,TMIN_P95_3D__month,0.3136,2,percentile+window,,TMIN,TMIN,85,95,3,3,month_pm7,month
TMAX_P90_3D__w15,MHI_P90_3D__month,0.3143,2,metric+window,,TMAX,MHI,90,90,3,3,w15,month
TMIN_P85_3D__month,TMIN_P95_3D__w05,0.3184,2,percentile+window,,TMIN,TMIN,85,95,3,3,month,w05
TMAX_P85_3D__month_pm7,TMAX_P95_3D__w15,0.3228,2,percentile+window,,TMAX,TMAX,85,95,3,3,month_pm7,w15
TMIN_P85_2D__w05,TMIN_P95_2D__w15,0.3285,2,percentile+window,,TMIN,TMIN,85,95,2,2,w05,w15
TMIN_P85_3D__w15,TMIN_P95_3D__w05,0.3293,2,percentile+window,,TMIN,TMIN,85,95,3,3,w15,w05
TMAX_P85_2D__w05,TMAX_P95_2D__month,0.3296,2,percentile+window,,TMAX,TMAX,85,95,2,2,w05,month
MHI_P90_2D__month_pm7,TMAX_P90_3D__month_pm7,0.3299,2,metric+duration,,MHI,TMAX,90,90,2,3,month_pm7,month_pm7
TMIN_P85_2D__w05,TMIN_P95_2D__month,0.33,2,percentile+window,,TMIN,TMIN,85,95,2,2,w05,month
MHI_P90_2D__w15,TMAX_P90_3D__w15,0.3313,2,metric+duration,,MHI,TMAX,90,90,2,3,w15,w15
TMIN_P85_3D__month_pm7,TMIN_P95_3D__w05,0.3313,2,percentile+window,,TMIN,TMIN,85,95,3,3,month_pm7,w05
TMAX_P90_2D__month_pm7,MHI_P90_3D__month_pm7,0.3314,2,metric+duration,,TMAX,MHI,90,90,2,3,month_pm7,month_pm7
TMAX_P85_3D__month_pm7,TMAX_P95_3D__month,0.3322,2,percentile+window,,TMAX,TMAX,85,95,3,3,month_pm7,month
TMAX_P90_2D__w15,MHI_P90_3D__w15,0.3324,2,metric+duration,,TMAX,MHI,90,90,2,3,w15,w15
TMAX_P90_2D__month_pm7,MHI_P90_2D__w05,0.3358,2,metric+window,,TMAX,MHI,90,90,2,2,month_pm7,w05
TMIN_P85_2D__month,TMIN_P95_2D__w15,0.3359,2,percentile+window,,TMIN,TMIN,85,95,2,2,month,w15
TMAX_P90_2D__month_pm7,MHI_P90_2D__w15,0.3362,2,metric+window,,TMAX,MHI,90,90,2,2,month_pm7,w15
TMAX_P90_2D__month_pm7,TMAX_P95_3D__month_pm7,0.337,2,percentile+duration,,TMAX,TMAX,90,95,2,3,month_pm7,month_pm7
TMAX_P85_3D__month,TMAX_P95_3D__w05,0.3373,2,percentile+window,,TMAX,TMAX,85,95,3,3,month,w05
TMAX_P90_2D__w05,MHI_P90_2D__month_pm7,0.3382,2,metric+window,,TMAX,MHI,90,90,2,2,w05,month_pm7
TMAX_P90_2D__w05,MHI_P90_3D__w05,0.3394,2,metric+duration,,TMAX,MHI,90,90,2,3,w05,w05
TMAX_P85_2D__w05,TMAX_P95_2D__w15,0.3394,2,percentile+window,,TMAX,TMAX,85,95,2,2,w05,w15
MHI_P90_2D__w05,TMAX_P90_3D__w05,0.34,2,metric+duration,,MHI,TMAX,90,90,2,3,w05,w05
TMIN_P85_2D__w15,TMIN_P95_2D__month,0.3408,2,percentile+window,,TMIN,TMIN,85,95,2,2,w15,month
MHI_P90_2D__month,TMAX_P90_3D__month,0.341,2,metric+duration,,MHI,TMAX,90,90,2,3,month,month
