run_a,run_b,jaccard,n_axes_differing,axes_differing,single_axis,metric_a,metric_b,percentile_a,percentile_b,duration_a,duration_b,window_a,window_b
TMIN_P95_3D__w05,TMIN_P95_3D__month,0.5943,1,window,window,TMIN,TMIN,95,95,3,3,w05,month
MHI_P90_3D__w15,MHI_P90_3D__month_pm7,0.6002,1,window,window,MHI,MHI,90,90,3,3,w15,month_pm7
MHI_P90_2D__w05,MHI_P90_2D__month_pm7,0.6021,1,window,window,MHI,MHI,90,90,2,2,w05,month_pm7
TMAX_P95_3D__w15,TMAX_P95_3D__month_pm7,0.6024,1,window,window,TMAX,TMAX,95,95,3,3,w15,month_pm7
TMAX_P95_2D__w05,TMAX_P95_2D__month,0.6033,1,window,window,TMAX,TMAX,95,95,2,2,w05,month
MHI_P90_3D__w15,MHI_P90_3D__month,0.6047,1,window,window,MHI,MHI,90,90,3,3,w15,month
TMIN_P95_2D__w05,TMIN_P95_2D__month_pm7,0.6095,1,window,window,TMIN,TMIN,95,95,2,2,w05,month_pm7
TMAX_P95_3D__w15,TMAX_P95_3D__month,0.6143,1,window,window,TMAX,TMAX,95,95,3,3,w15,month
TMAX_P90_3D__w05,TMAX_P90_3D__month_pm7,0.6166,1,window,window,TMAX,TMAX,90,90,3,3,w05,month_pm7
MHI_P90_2D__w05,MHI_P90_2D__month,0.6181,1,window,window,MHI,MHI,90,90,2,2,w05,month
TMIN_P95_2D__w05,TMIN_P95_2D__month,0.6248,1,window,window,TMIN,TMIN,95,95,2,2,w05,month
TMAX_P90_3D__month_pm7,TMAX_P85_3D__month_pm7,0.6261,1,percentile,percentile,TMAX,TMAX,90,85,3,3,month_pm7,month_pm7
TMAX_P90_3D__w05,TMAX_P90_3D__month,0.6296,1,window,window,TMAX,TMAX,90,90,3,3,w05,month
TMAX_P95_2D__w15,TMAX_P95_2D__month_pm7,0.6308,1,window,window,TMAX,TMAX,95,95,2,2,w15,month_pm7
MHI_P90_2D__w15,MHI_P90_2D__month_pm7,0.6315,1,window,window,MHI,MHI,90,90,2,2,w15,month_pm7
TMIN_P90_3D__month_pm7,TMIN_P85_3D__month_pm7,0.6318,1,percentile,percentile,TMIN,TMIN,90,85,3,3,month_pm7,month_pm7
TMIN_P90_3D__w15,TMIN_P85_3D__w15,0.6372,1,percentile,percentile,TMIN,TMIN,90,85,3,3,w15,w15
TMIN_P95_3D__w15,TMIN_P95_3D__month_pm7,0.6383,1,window,window,TMIN,TMIN,95,95,3,3,w15,month_pm7
TMAX_P95_2D__w15,TMAX_P95_2D__month,0.6395,1,window,window,TMAX,TMAX,95,95,2,2,w15,month
MHI_P90_2D__w15,MHI_P90_2D__month,0.6409,1,window,window,MHI,MHI,90,90,2,2,w15,month
TMIN_P90_3D__month,TMIN_P85_3D__month,0.6414,1,percentile,percentile,TMIN,TMIN,90,85,3,3,month,month
TMIN_P95_3D__w15,TMIN_P95_3D__month,0.6439,1,window,window,TMIN,TMIN,95,95,3,3,w15,month
TMAX_P90_2D__w05,TMAX_P90_2D__month_pm7,0.6455,1,window,window,TMAX,TMAX,90,90,2,2,w05,month_pm7
TMAX_P90_3D__month,TMAX_P85_3D__month,0.646,1,percentile,percentile,TMAX,TMAX,90,85,3,3,month,month
TMAX_P90_3D__w15,TMAX_P85_3D__w15,0.647,1,percentile,percentile,TMAX,TMAX,90,85,3,3,w15,w15
TMIN_P90_3D__w05,TMIN_P85_3D__w05,0.6473,1,percentile,percentile,TMIN,TMIN,90,85,3,3,w05,w05
TMAX_P90_3D__w15,TMAX_P90_3D__month_pm7,0.6484,1,window,window,TMAX,TMAX,90,90,3,3,w15,month_pm7
TMAX_P85_3D__w05,TMAX_P85_3D__month_pm7,0.6524,1,window,window,TMAX,TMAX,85,85,3,3,w05,month_pm7
TMAX_P90_3D__w15,TMAX_P90_3D__month,0.6528,1,window,window,TMAX,TMAX,90,90,3,3,w15,month
TMAX_P90_2D__month_pm7,TMAX_P85_2D__month_pm7,0.6576,1,percentile,percentile,TMAX,TMAX,90,85,2,2,month_pm7,month_pm7
TMAX_P90_2D__w05,TMAX_P90_2D__month,0.6597,1,window,window,TMAX,TMAX,90,90,2,2,w05,month
TMAX_P90_3D__w05,TMAX_P85_3D__w05,0.6605,1,percentile,percentile,TMAX,TMAX,90,85,3,3,w05,w05
TMIN_P90_3D__w05,TMIN_P90_3D__month_pm7,0.6605,1,window,window,TMIN,TMIN,90,90,3,3,w05,month_pm7
TMIN_P90_2D__month_pm7,TMIN_P85_2D__month_pm7,0.6606,1,percentile,percentile,TMIN,TMIN,90,85,2,2,month_pm7,month_pm7
TMAX_P85_3D__w05,TMAX_P85_3D__month,0.6634,1,window,window,TMAX,TMAX,85,85,3,3,w05,month
TMIN_P95_2D__w15,TMIN_P95_2D__month_pm7,0.6652,1,window,window,TMIN,TMIN,95,95,2,2,w15,month_pm7
TMIN_P90_3D__w05,TMIN_P90_3D__month,0.6678,1,window,window,TMIN,TMIN,90,90,3,3,w05,month
TMIN_P90_2D__w15,TMIN_P85_2D__w15,0.6712,1,percentile,percentile,TMIN,TMIN,90,85,2,2,w15,w15
TMIN_P90_2D__month,TMIN_P85_2D__month,0.6714,1,percentile,percentile,TMIN,TMIN,90,85,2,2,month,month
TMIN_P95_2D__w15,TMIN_P95_2D__month,0.6729,1,window,window,TMIN,TMIN,95,95,2,2,w15,month
TMAX_P90_2D__w15,TMAX_P85_2D__w15,0.673,1,percentile,percentile,TMAX,TMAX,90,85,2,2,w15,w15
TMAX_P85_3D__w15,TMAX_P85_3D__month_pm7,0.6731,1,window,window,TMAX,TMAX,85,85,3,3,w15,month_pm7
TMAX_P90_2D__month,TMAX_P85_2D__month,0.6743,1,percentile,percentile,TMAX,TMAX,90,85,2,2,month,month
TMAX_P90_2D__w15,TMAX_P90_2D__month_pm7,0.6747,1,window,window,TMAX,TMAX,90,90,2,2,w15,month_pm7
TMAX_P85_2D__w05,TMAX_P85_2D__month_pm7,0.6786,1,window,window,TMAX,TMAX,85,85,2,2,w05,month_pm7
