axis,contrast_pair,from_run,to_run,from_value,to_value,days_from,days_to,days_ratio_hi_over_lo,pct_change,jaccard
percentile,85 vs 95,TMAX_P95_2D__w15,TMAX_P85_2D__w15,95,85,56576,161004,2.8458,184.6,0.3514
percentile,85 vs 95,TMIN_P95_2D__w05,TMIN_P85_2D__w05,95,85,67525,187198,2.7723,177.2,0.3607
percentile,85 vs 95,TMAX_P95_2D__w05,TMAX_P85_2D__w05,95,85,62917,166682,2.6492,164.9,0.3775
percentile,90 vs 95,TMIN_P95_3D__month_pm7,TMIN_P90_3D__month_pm7,95,90,39412,87272,2.2144,121.4,0.4516
percentile,90 vs 95,TMAX_P95_3D__month_pm7,TMAX_P90_3D__month_pm7,95,90,32851,72426,2.2047,120.5,0.4536
percentile,90 vs 95,TMIN_P95_3D__month,TMIN_P90_3D__month,95,90,43309,93161,2.1511,115.1,0.4649
percentile,90 vs 95,TMIN_P95_3D__w15,TMIN_P90_3D__w15,95,90,42638,91133,2.1374,113.7,0.4679
percentile,90 vs 95,TMAX_P95_3D__month,TMAX_P90_3D__month,95,90,38426,80451,2.0937,109.4,0.4776
percentile,90 vs 95,TMAX_P95_3D__w15,TMAX_P90_3D__w15,95,90,38876,80755,2.0772,107.7,0.4814
percentile,90 vs 95,TMIN_P95_3D__w05,TMIN_P90_3D__w05,95,90,47099,95876,2.0356,103.6,0.4912
percentile,90 vs 95,TMIN_P95_2D__month_pm7,TMIN_P90_2D__month_pm7,95,90,56590,115028,2.0327,103.3,0.492
percentile,90 vs 95,TMAX_P95_2D__month_pm7,TMAX_P90_2D__month_pm7,95,90,48059,97478,2.0283,102.8,0.493
percentile,90 vs 95,TMIN_P95_2D__w15,TMIN_P90_2D__w15,95,90,61496,121777,1.9802,98.0,0.505
percentile,90 vs 95,TMIN_P95_2D__month,TMIN_P90_2D__month,95,90,61903,122363,1.9767,97.7,0.5059
percentile,90 vs 95,TMAX_P95_3D__w05,TMAX_P90_3D__w05,95,90,43977,85949,1.9544,95.4,0.5117
percentile,90 vs 95,TMAX_P95_2D__month,TMAX_P90_2D__month,95,90,55270,106769,1.9318,93.2,0.5177
percentile,90 vs 95,TMAX_P95_2D__w15,TMAX_P90_2D__w15,95,90,56576,108359,1.9153,91.5,0.5221
percentile,90 vs 95,TMIN_P95_2D__w05,TMIN_P90_2D__w05,95,90,67525,127906,1.8942,89.4,0.5279
percentile,90 vs 95,TMAX_P95_2D__w05,TMAX_P90_2D__w05,95,90,62917,114603,1.8215,82.1,0.549
percentile,85 vs 90,TMAX_P90_3D__month_pm7,TMAX_P85_3D__month_pm7,90,85,72426,115678,1.5972,59.7,0.6261
