,TMAX_P90_2D__w05,TMAX_P90_2D__w15,TMAX_P90_2D__month,TMAX_P90_2D__month_pm7,TMIN_P90_2D__w05,TMIN_P90_2D__w15,TMIN_P90_2D__month,TMIN_P90_2D__month_pm7,TMAX_P85_2D__w05,TMAX_P85_2D__w15,TMAX_P85_2D__month,TMAX_P85_2D__month_pm7,TMIN_P85_2D__w05,TMIN_P85_2D__w15,TMIN_P85_2D__month,TMIN_P85_2D__month_pm7,TMAX_P95_2D__w05,TMAX_P95_2D__w15,TMAX_P95_2D__month,TMAX_P95_2D__month_pm7,TMIN_P95_2D__w05,TMIN_P95_2D__w15,TMIN_P95_2D__month,TMIN_P95_2D__month_pm7,MHI_P90_2D__w05,MHI_P90_2D__w15,MHI_P90_2D__month,MHI_P90_2D__month_pm7,TMAX_P90_3D__w05,TMAX_P90_3D__w15,TMAX_P90_3D__month,TMAX_P90_3D__month_pm7,TMIN_P90_3D__w05,TMIN_P90_3D__w15,TMIN_P90_3D__month,TMIN_P90_3D__month_pm7,TMAX_P85_3D__w05,TMAX_P85_3D__w15,TMAX_P85_3D__month,TMAX_P85_3D__month_pm7,TMIN_P85_3D__w05,TMIN_P85_3D__w15,TMIN_P85_3D__month,TMIN_P85_3D__month_pm7,TMAX_P95_3D__w05,TMAX_P95_3D__w15,TMAX_P95_3D__month,TMAX_P95_3D__month_pm7,TMIN_P95_3D__w05,TMIN_P95_3D__w15,TMIN_P95_3D__month,TMIN_P95_3D__month_pm7,MHI_P90_3D__w05,MHI_P90_3D__w15,MHI_P90_3D__month,MHI_P90_3D__month_pm7
TMAX_P85_2D__month,0.6161238180386398,0.610137464305766,0.6742638096861995,0.6155896153433239,0.2638915257829368,0.2631260934653608,0.2833193897750287,0.2767049461301004,0.6910114405523097,0.7072679158536259,1.0,0.9167276251211354,0.2853736562139642,0.28712394978673755,0.3086309706768304,0.3051088300524033,0.38262733311254554,0.3498618264037181,0.34903914770538497,0.3035004957404215,0.1985757646509456,0.19351896590100923,0.20651649940838776,0.19587278978935538,0.37101130089888984,0.3654489441094832,0.4112539787589424,0.38952003190445905,0.480620859773208,0.46763402447857205,0.5080613076179831,0.4573821116647405,0.23367075585232347,0.23046647661698413,0.24807090150308408,0.24108049659186798,0.5966513532960647,0.6002136172521362,0.7864337633960429,0.7197735645384997,0.26779878376701277,0.26744919588183835,0.28843411537025093,0.28323291608234213,0.2684220425051721,0.24072093608454959,0.24266651510271614,0.20745947243114893,0.1577013670532283,0.1511942264734521,0.1606349425604899,0.15081032325642293,0.30166072074308753,0.2928152597029307,0.3331188271173163,0.3075112018150931
TMAX_P85_2D__month_pm7,0.6227672093899148,0.6206480545730166,0.7202272129311682,0.6576486621419223,0.26235136531331577,0.2624267672871283,0.28223536436268515,0.2774971247215711,0.6785838028581938,0.6991093064018946,0.9167276251211354,1.0,0.27972590927993957,0.28163001897179113,0.3026800742647436,0.30076668549753854,0.4009992966437965,0.36879674372907184,0.3728866160219131,0.3242366180459041,0.20157836404849822,0.19725289154287934,0.20995140040538052,0.20069411061215398,0.3694278376884085,0.3651056053491922,0.41231865058556194,0.3966721735747351,0.4913260562214212,0.4809686119537167,0.542680006206529,0.4886319169893808,0.2349762716666498,0.2323276527827833,0.24918750517512628,0.2438085278319152,0.5937929454878608,0.60096867065784,0.7555740068484333,0.7804374519302127,0.2648719710777137,0.26476834018751655,0.2854320706451274,0.28181529246925796,0.2823782168044463,0.25436114723983966,0.2592462657365303,0.22163376556786443,0.16164313496925217,0.1555856941324631,0.16449208395145795,0.15587287702287303,0.3037903967586662,0.29570367142889903,0.33750813558725745,0.31642818112491516
TMIN_P85_2D__w05,0.25569387466402604,0.24992387718853082,0.23745879936183736,0.22778204276681818,0.6832658468573383,0.6503840524747081,0.6096225541938134,0.5872964186488658,0.29928588475024326,0.29626720373465765,0.2853736562139642,0.27972590927993957,1.0,0.884875165534132,0.7269459454406073,0.7208989984140365,0.17769898670282894,0.16598109742098416,0.154653510609928,0.14166403804624755,0.3607143238709815,0.328507783202812,0.32996438849112913,0.3022584987500267,0.4766958929395478,0.4599406091245981,0.4187512517047026,0.3969194485998158,0.2235192410200361,0.21624332764443152,0.20442170442170443,0.19370649305268192,0.512163591491362,0.4867632447677959,0.47194804376588195,0.4502348633354292,0.276874170053519,0.2719267850227268,0.2603513453413387,0.2533819993627068,0.7912264019914743,0.717800793828323,0.6185470638927704,0.6067029504439988,0.13976442978498918,0.12850796186292618,0.11994996500528643,0.1077667361383796,0.2515999102554514,0.22776952745221637,0.2308542563302968,0.2104976389393389,0.3680658644711843,0.35069297543619987,0.33055681484175337,0.3073990248051889
TMIN_P85_2D__w15,0.25548977531997186,0.25158389800862885,0.23998313492490309,0.23042243083003952,0.7026534644746184,0.6711547364476091,0.6367941555188,0.6158185316190777,0.29723022346764244,0.29653762423095126,0.28712394978673755,0.28163001897179113,0.884875165534132,1.0,0.751278446025983,0.7471317456183882,0.17883072588776164,0.16839128983486815,0.1573219384362655,0.14443646590671094,0.3721533916800776,0.3389255086968982,0.34082130794364457,0.3118868631643923,0.4770942084253692,0.471123439667129,0.42930341922210247,0.40847513712434946,0.22433252899509612,0.21842514928320825,0.20754047112959523,0.196856407403566,0.5275467374659866,0.5022651617027843,0.4916240263338005,0.4708851059171274,0.2764801560150607,0.27366262845545697,0.2635658594601738,0.25669645689440046,0.7378281893492372,0.7882321818302066,0.6404507359107366,0.6299001356686014,0.14121613754069065,0.13054767317155774,0.12230678529317184,0.11000896108403217,0.25957871299133617,0.234992614801261,0.2384927785400583,0.21721302440422388,0.3716878007256344,0.360603595328697,0.34022257551669316,0.31731065250854446
TMIN_P85_2D__month,0.24357067751381378,0.24053939836336394,0.2590666126481697,0.24775966277850883,0.6250668035921995,0.6229801363391289,0.6713982364980164,0.6311515437501029,0.28292681133310293,0.2825729551993424,0.3086309706768304,0.3026800742647436,0.7269459454406073,0.751278446025983,1.0,0.9332501559575795,0.17146638761867902,0.16168902551730177,0.16879327228261137,0.15368431598457147,0.36324240538799923,0.3358635128025254,0.3396579442636803,0.3105058408458664,0.4329187070559937,0.4300857091170445,0.4765535896323062,0.44615661011729074,0.21438241726397197,0.20950103472062542,0.22362267806904776,0.21096576941547912,0.48712725172839705,0.4786945186659599,0.5111686629977339,0.47885608309419425,0.263628640776699,0.26163485835199374,0.28459567198177677,0.2764738646101114,0.6296312738932051,0.638752160091089,0.7969064641620622,0.7442303609052848,0.13555161803607013,0.12568342174121097,0.12985756269391852,0.1156453411477918,0.25514425813230596,0.23326862332192683,0.2376338127088466,0.21625121398510844,0.3422130628737512,0.333545303493405,0.37146848317428427,0.3399024421213019
TMIN_P85_2D__month_pm7,0.2424834435661203,0.23999964884095568,0.25907880700307484,0.24895158917010005,0.6342829315802289,0.6340729369146493,0.702694476667394,0.6605717435997565,0.27898886566368825,0.27907456033219347,0.3051088300524033,0.30076668549753854,0.7208989984140365,0.7471317456183882,0.9332501559575795,1.0,0.17341524022611846,0.1640321091428312,0.17116951540770692,0.15679730939836314,0.37651160008885903,0.3494799780078805,0.3554905991937244,0.3249796134011738,0.43330935747997357,0.4319371991379484,0.4814267040927389,0.4563415815498273,0.2153979157904575,0.21106972147520264,0.2254215342257392,0.21394739692574322,0.4984572012076008,0.4908670923070006,0.5349960375343127,0.5011772542984139,0.2621317337448457,0.2606308509741081,0.283647585196137,0.27703113570868326,0.6320918124449216,0.6432934885672983,0.7719502654837797,0.7932052327517889,0.1382475733222002,0.12860753323407706,0.13290410608450945,0.11904954991484876,0.26509220872051464,0.24305850240271581,0.24871076297563946,0.22633144589798662,0.3460486752087502,0.33812984032890336,0.37911190014712987,0.3510314079283112
TMAX_P95_2D__w05,0.5489995898885719,0.57964344674297,0.5174788277693815,0.5363211432731174,0.19598503318646468,0.19730581234036484,0.1879664537970301,0.18908245293987933,0.377467273010883,0.39077911107798563,0.38262733311254554,0.4009992966437965,0.17769898670282894,0.17883072588776164,0.17146638761867902,0.17341524022611846,1.0,0.8010580894100624,0.6033399807360981,0.5807195966156738,0.2000073596379058,0.1995661186906426,0.1841381273123992,0.18060755742158557,0.3029063992982304,0.30348378549275845,0.27989923391177796,0.28410124220164623,0.5655767875734853,0.5802718993356505,0.49463105439836536,0.5013089295618414,0.19956034326464012,0.1983663943990665,0.18563365516822267,0.18589611989324575,0.42425516844481825,0.4371928159115616,0.40652810084790275,0.4197982335498335,0.18646516779391342,0.18729893341020468,0.17724174985153973,0.17842112050269046,0.6989684822861866,0.5759869948908499,0.4623598505072077,0.4268388980765506,0.18376965040834115,0.17967545094883658,0.16219735013840111,0.1574631255090037,0.3014099850875548,0.297605872805076,0.26837912014708626,0.26640820764975653
TMAX_P95_2D__w15,0.493669450188913,0.522116298600024,0.4906188972641492,0.5151461505173296,0.18583797751508957,0.18891696053008739,0.18039870177845796,0.18215510946390928,0.3394247729208913,0.351394996397605,0.3498618264037181,0.36879674372907184,0.16598109742098416,0.16839128983486815,0.16168902551730177,0.1640321091428312,0.8010580894100624,1.0,0.6394658536227847,0.6308447630922693,0.19527863926184194,0.19741192219540393,0.1832163222913525,0.18091600663682184,0.28228681310553955,0.2881875535718423,0.26686907020872863,0.2733295800390016,0.5224915342954504,0.5450065813898546,0.4830564424481844,0.49614372035303805,0.1932592888283592,0.1935887904841942,0.1813756430081737,0.18215362869094287,0.3869870137588779,0.4012854979759587,0.3801993628922861,0.3955037064041803,0.1764178486861767,0.17883720380826384,0.1694219904389396,0.17129690902746864,0.632088946599578,0.6871464932126696,0.4972026539328322,0.4695577867976928,0.18308589426116328,0.1808800599878596,0.16367258492940026,0.16042457506225974,0.2864881825816514,0.28887162220495555,0.2605840022909296,0.2612245704908958
TMAX_P95_2D__month,0.46147426742605435,0.48941844694659614,0.517659620301773,0.5669997332731488,0.17228888675562382,0.1752519150856976,0.18921470174733881,0.19144500258860733,0.3296271446372089,0.34213302553027763,0.34903914770538497,0.3728866160219131,0.154653510609928,0.1573219384362655,0.16879327228261137,0.17116951540770692,0.6033399807360981,0.6394658536227847,1.0,0.8463146609488073,0.1787603313718526,0.1816148716339975,0.19488690828251515,0.19270261336859054,0.2512325300679164,0.25566522270185793,0.29101766531019535,0.30007644938798483,0.46972992662746527,0.4911588340404074,0.5422315148347215,0.5737737244269164,0.17846199427711548,0.1793568448017529,0.1917669634756357,0.19322947622196737,0.36604991489267635,0.38080633041451334,0.3974786454325709,0.4204709753543948,0.1632160505124451,0.16546568080029153,0.17835776160979797,0.18026804023044624,0.49906352898528833,0.5038336208548975,0.6952415415234304,0.5841407949377101,0.16911638743276117,0.1685484448475879,0.17680976029032566,0.173244445545904,0.24944808367413412,0.2497299632750054,0.28970571395854805,0.2906199538049588
TMAX_P95_2D__month_pm7,0.41310051255320995,0.4404589783495566,0.45012128988751415,0.4930240669689571,0.1608951226109502,0.1643608342131604,0.17582690529743752,0.17941393424839816,0.2882888287628909,0.29849568954808575,0.3035004957404215,0.3242366180459041,0.14166403804624755,0.14443646590671094,0.15368431598457147,0.15679730939836314,0.5807195966156738,0.6308447630922693,0.8463146609488073,1.0,0.17282246935627893,0.1773271433791132,0.18992327753189556,0.1900045485558335,0.23073764678655947,0.23662810227246095,0.2642715749816417,0.27815269463671566,0.43462156086072157,0.4583102195152325,0.48530414581431097,0.521659509977267,0.16937613232916554,0.17098942515584645,0.18127295084024125,0.1842572741194487,0.32723263834573585,0.34048014143701244,0.3498674300194749,0.37218208940214204,0.15134957479150404,0.15394231466048264,0.16426540741097673,0.16724030920273092,0.49562052098737347,0.5126496380846325,0.6539807607718641,0.683555629538692,0.1670816213895873,0.16833915160571436,0.17611924928558556,0.17497481362079387,0.23316311147961105,0.2355817378497791,0.26781149051705344,0.2756012641276983
