run_id,MHI_P90_2D__month,MHI_P90_2D__month_pm7,MHI_P90_2D__w05,MHI_P90_2D__w15,MHI_P90_3D__month,MHI_P90_3D__month_pm7,MHI_P90_3D__w05,MHI_P90_3D__w15,TMAX_P85_2D__month,TMAX_P85_2D__month_pm7,TMAX_P85_2D__w05,TMAX_P85_2D__w15,TMAX_P85_3D__month,TMAX_P85_3D__month_pm7,TMAX_P85_3D__w05,TMAX_P85_3D__w15,TMAX_P90_2D__month,TMAX_P90_2D__month_pm7,TMAX_P90_2D__w05,TMAX_P90_2D__w15,TMAX_P90_3D__month,TMAX_P90_3D__month_pm7,TMAX_P90_3D__w05,TMAX_P90_3D__w15,TMAX_P95_2D__month,TMAX_P95_2D__month_pm7,TMAX_P95_2D__w05,TMAX_P95_2D__w15,TMAX_P95_3D__month,TMAX_P95_3D__month_pm7,TMAX_P95_3D__w05,TMAX_P95_3D__w15,TMIN_P85_2D__month,TMIN_P85_2D__month_pm7,TMIN_P85_2D__w05,TMIN_P85_2D__w15,TMIN_P85_3D__month,TMIN_P85_3D__month_pm7,TMIN_P85_3D__w05,TMIN_P85_3D__w15,TMIN_P90_2D__month,TMIN_P90_2D__month_pm7,TMIN_P90_2D__w05,TMIN_P90_2D__w15,TMIN_P90_3D__month,TMIN_P90_3D__month_pm7,TMIN_P90_3D__w05,TMIN_P90_3D__w15,TMIN_P95_2D__month,TMIN_P95_2D__month_pm7,TMIN_P95_2D__w05,TMIN_P95_2D__w15,TMIN_P95_3D__month,TMIN_P95_3D__month_pm7,TMIN_P95_3D__w05,TMIN_P95_3D__w15
TMAX_P95_2D__w05,0.7083768685610584,0.7129355651276839,0.7042195838242188,0.6988191466926863,0.7169276410191037,0.7213827512757954,0.7113563834281263,0.7123790647126719,0.9497686314875693,0.9466084171759738,0.950338361189228,0.9563792628275635,0.9303589985629286,0.9323884039758142,0.9227987384461,0.9323219484070788,0.9731278500166651,0.9691045610121893,0.9766853232795784,0.9786853893831071,0.9424748212401742,0.9432370630181652,0.9420497771556903,0.9474243768517648,0.9787137008722869,0.964510443429444,1.0,0.9903326160517503,0.9343535448217156,0.9239536369733777,0.9637387813384156,0.9551014819099966,0.3899837498157328,0.40559657058091514,0.40520239472258734,0.4052988777602562,0.3616385443806283,0.36966921913156026,0.38485603665685614,0.3885137479628752,0.44999726293841447,0.45907396171175846,0.45762690764711367,0.46330589323815335,0.43251196895428723,0.44465205929708623,0.45413655303537226,0.45922968286714855,0.5336783220119237,0.5362323430903105,0.519117712483985,0.5371381461642853,0.516059282904218,0.5217774505105662,0.5091487137673606,0.5143428104030775
TMAX_P95_2D__w15,0.6992974922202562,0.7019728334089719,0.6947608664657733,0.6899912615699099,0.7083272534654863,0.7107170503242568,0.7031338538529052,0.7046634524541086,0.9438525893311335,0.941942397397619,0.9439706570973874,0.9530927233841939,0.9222763902644245,0.9256552893139095,0.916349491173657,0.9277596558811808,0.9701162524012791,0.9676209350116409,0.9719725530277625,0.9744187911888529,0.9403594988880134,0.9414862688571596,0.9351781586802858,0.9422903979237882,0.9797506793114751,0.9670548266608827,0.9903326160517503,1.0,0.93569808255,0.9299981252324269,0.958151566651684,0.9637824629933079,0.3827618063937289,0.3973768067697325,0.39796980997580944,0.3989146933074108,0.35178638326991846,0.35934072076483653,0.3767622099051963,0.3804023951669812,0.44568812789340334,0.45355751116782606,0.4527144113952608,0.4590294884054336,0.4260166606051362,0.43661509999174936,0.4479433852839735,0.4525711405102783,0.5318638988133106,0.5329109831555304,0.5153813297602785,0.5350652384748793,0.5127501418969657,0.5161626253539233,0.5029251618479833,0.5106696912442416
TMAX_P95_3D__month,0.641376580634146,0.6512726755900129,0.6350410429015738,0.6259265180657222,0.6738556782976519,0.6864184503574142,0.6701702301356459,0.6716053379536887,0.8987455286434561,0.8892792266311665,0.9016773959125011,0.9018115538403337,0.9264564265394737,0.9245389313519615,0.9261397477948503,0.9318959716924036,0.924207496936575,0.9178237012654681,0.9247546079227009,0.9241136490332212,0.9526124236606592,0.9592104749576397,0.9503363524571847,0.9563584987538553,0.9635407065024199,0.9383484358787856,0.9343535448217156,0.93569808255,1.0,0.9799462964351203,0.9690052870219531,0.973459311988135,0.39004375700116867,0.417178215297899,0.4002719876576744,0.40573297495848015,0.3738020890468453,0.3919380315079042,0.39339545967534706,0.3986075826058663,0.44337287290459204,0.4673272672230281,0.44890670590672493,0.45584687798367696,0.4396512172516241,0.466359011218457,0.4602857929098713,0.4692853029871973,0.5243466093346841,0.539597271513563,0.5083727500677186,0.5297259502965592,0.52192309368351,0.5379047181394376,0.5179174373179285,0.5265311286327434
TMAX_P95_3D__month_pm7,0.6262911377655037,0.635722571794107,0.6209323996060373,0.6135851210301587,0.6501878002279436,0.6622012139427813,0.6498980858617895,0.6512779605739832,0.8806226853299324,0.8752716081438513,0.8810224982905731,0.8848054050324297,0.8990567157663207,0.9003269891770139,0.8968265029057936,0.9046454812041907,0.9106997274469313,0.9145492529500967,0.9072815978466421,0.9087793639320786,0.9274231836300094,0.941324737401454,0.9190799791261549,0.9271526163088574,0.9543170378751712,0.9566617056521001,0.9239536369733777,0.9299981252324269,0.9799462964351203,1.0,0.953938092365327,0.9661732202700389,0.37441124825923194,0.39629995613988844,0.3862007173883838,0.39112309555557434,0.35874753267296466,0.3726619467889477,0.3796926682893607,0.38503537834006024,0.42852463741284613,0.4487591404407977,0.4333012875850112,0.44058041347844074,0.42236207487181904,0.44696719906923393,0.4456493601995767,0.4543244216655001,0.5057030427338823,0.517849401044493,0.48931740717544003,0.5085034419141076,0.5067933101068993,0.5185039191224109,0.4998006175407732,0.505894141656626
TMAX_P95_3D__w05,0.6939023944908026,0.7052707550216117,0.6826072693848715,0.6742092724434484,0.7209458586870096,0.7354530833701026,0.71313136983106,0.7171123661842929,0.923820833333159,0.9095894158696364,0.9247678961444291,0.9228963050635896,0.9499534148756267,0.9439975483569532,0.9449332369545046,0.9495101437912467,0.9430923901586419,0.9330707660628836,0.9449456059707227,0.9420416317071996,0.9682180606539741,0.9675882928229326,0.966780813232469,0.9705022662071501,0.9563900213285433,0.9318759039970136,0.9637387813384156,0.958151566651684,0.9690052870219531,0.953938092365327,1.0,0.9856956082430307,0.43227833131423166,0.4601620060983787,0.4422733539945581,0.4467431231863039,0.4133804735487599,0.4333231662328063,0.4308180632916362,0.43638729408785787,0.48668101564039934,0.5097215093701437,0.49006351175354396,0.4968228689567955,0.4772063303137583,0.5029915979564399,0.49537523831463337,0.5033040162782586,0.5640034259264338,0.5768744257405817,0.5503140267527775,0.56705466688536,0.5533050268250366,0.5682284467469657,0.5543830284639789,0.5569231715681209
TMAX_P95_3D__w15,0.6770743489898209,0.6847143344357087,0.6675782958633318,0.659414262833064,0.7010378492271807,0.7132634783413796,0.6977831320410999,0.7006431769167324,0.9103896502590968,0.8994119327670659,0.9114432606019516,0.9130671279582921,0.9326456395215414,0.9301494471481444,0.9295743190055533,0.9361558429609185,0.9367136905761639,0.9311853187999043,0.9353918746312617,0.9343331687477683,0.960927546356741,0.9640987861349107,0.9529872273939326,0.9575899183872777,0.9605516273057699,0.9407223955151266,0.9551014819099966,0.9637824629933079,0.973459311988135,0.9661732202700389,0.9856956082430307,1.0,0.41592673932230584,0.4420658023698911,0.4281085193377131,0.4321511495806824,0.39474481110698545,0.41259605212991624,0.4155060160076482,0.42166076270186986,0.4715915759519018,0.4933715952282301,0.4763798103377958,0.4850448938023674,0.4610661906117058,0.4856812783379801,0.48124302696980953,0.49082076170803823,0.5533723926482516,0.5646509204769053,0.5374448436288344,0.5550001373368513,0.5450194145334332,0.5579439616952762,0.5392545974782365,0.5445499997442634
TMIN_P85_2D__month,0.7692720747570899,0.7640527401581619,0.7811080970297144,0.7754627455605692,0.7769932797164663,0.7753108787411315,0.7996654038634198,0.7973831176847164,0.41648625764034386,0.4025003652712706,0.40357494696042034,0.3935330486709011,0.44547543968082864,0.4359956178259035,0.43631530682332526,0.4285982364791303,0.3997768993707063,0.37534657026884255,0.38631222020378997,0.3879553020953471,0.43210115226067525,0.4182773690101924,0.42305351010900916,0.42947940329143136,0.35948855300038485,0.3275489182085562,0.3899837498157328,0.3827618063937289,0.39004375700116867,0.37441124825923194,0.43227833131423166,0.41592673932230584,1.0,0.988378213362848,0.9915471168957402,0.9927081960292747,0.9888884454342892,0.9770986985871357,0.9838429744803505,0.9839349121383224,0.9812182506173556,0.9699211573475418,0.9835701246639276,0.9809281570443774,0.9692413737736085,0.9600118782574029,0.9751321092962764,0.9692645092956443,0.9364950134167229,0.9237631923562655,0.9430056888968902,0.9298658092462464,0.9234338643682205,0.9130692927834019,0.9272362109148252,0.9186132264181713
TMIN_P85_2D__month_pm7,0.7569073862333081,0.7601790735921188,0.7613152330159078,0.7549302123187256,0.7680085432838791,0.7759273936552292,0.7885961087194236,0.7862815340769894,0.4268996597732408,0.4102460357595751,0.42081098706832265,0.4076506842005338,0.47199649222792617,0.46062740645931455,0.4690728821730484,0.45741110829728043,0.4150864499645561,0.38576706756622026,0.4042319434830248,0.401841489904362,0.4649685085509183,0.44632845008060695,0.4570069449056025,0.46082185776359685,0.3752104051609535,0.33598978705733307,0.40559657058091514,0.3973768067697325,0.417178215297899,0.39629995613988844,0.4601620060983787,0.4420658023698911,0.988378213362848,1.0,0.9811761660340266,0.9844488574235872,0.9794511807869534,0.9878835168514668,0.9769418846610579,0.9788896932096168,0.9765633210267122,0.9801962814699859,0.9744685868364532,0.9747701773738809,0.966251571537707,0.9717641980530676,0.9693183368122539,0.9669731586719682,0.9359453513819317,0.9330487906762994,0.940881529150908,0.9285197607919072,0.9233291123884527,0.9232881137669245,0.9297539145769597,0.9225419584583008
TMIN_P85_2D__w05,0.7796179841519025,0.7726537581644941,0.7954395289097639,0.7883297819333155,0.7868106575617996,0.7835471761072204,0.8124447216236081,0.8085082116167188,0.42761272549499374,0.4148460903175007,0.4122908626184114,0.40407791281234734,0.4533671661047322,0.4451497233222984,0.4421060841318251,0.4357820546012135,0.41388891687732243,0.3888387861958513,0.3990231647917299,0.4000758682349975,0.44277999072002794,0.428072329363688,0.431658050703365,0.4372400036083465,0.37302921031292247,0.34202238033840093,0.40520239472258734,0.39796980997580944,0.4002719876576744,0.3862007173883838,0.4422733539945581,0.4281085193377131,0.9915471168957402,0.9811761660340266,1.0,0.9961183967708107,0.9823332054242482,0.9716860628817461,0.9900722424870749,0.9868821389887388,0.9839676009393892,0.9705748329315065,0.9871458782216466,0.9848956967971471,0.9727882513553552,0.96064270372089,0.9778761515632854,0.9722980269133663,0.941354327605049,0.9245967945057553,0.944287962321439,0.9312215403084187,0.9287030127489007,0.9142749492981458,0.9265709225871481,0.9190138642958611
TMIN_P85_2D__w15,0.7731683012532921,0.767112867249705,0.7864368550566119,0.7803775917396877,0.781238998126635,0.7786999685971417,0.806305533618948,0.802646716890864,0.42921154910650056,0.41550407924416705,0.4141659522124761,0.4059929072001072,0.45790950832834093,0.4485018880958167,0.4477718153283859,0.4406940335136033,0.41500075521867574,0.38936074546731914,0.39975914155100245,0.4009654521756223,0.4478047805500361,0.4333109489050898,0.4349514467203364,0.44250282039678684,0.3745648870608603,0.3429758686724323,0.4052988777602562,0.3989146933074108,0.40573297495848015,0.39112309555557434,0.4467431231863039,0.4321511495806824,0.9927081960292747,0.9844488574235872,0.9961183967708107,1.0,0.9831804880417006,0.974181416818344,0.9887698273253018,0.9911881191566995,0.9850021795934972,0.9733788513410806,0.9875735495057448,0.9849400016791794,0.9747949791387237,0.9648090400822055,0.9800458060589522,0.9741520628238917,0.9414962146589436,0.9267049572608734,0.944005653577808,0.9313824677779348,0.9309177587066391,0.9182104471192849,0.9281619014991641,0.9211138099944598
TMIN_P85_3D__month,0.7481606504330768,0.7438632689876682,0.7587873413168372,0.7522613410402779,0.7627038616948891,0.761849733455074,0.782083496986968,0.7808307458802244,0.3894998529010539,0.3753934849422806,0.3776097643994753,0.36657586601977726,0.4311560718197747,0.4221892029792981,0.4208972362309689,0.4126174514837604,0.3731174195029423,0.3472722233226777,0.35784231071589645,0.35957496904756375,0.41686337024121645,0.40376645104796316,0.4066234174042318,0.4132677515892574,0.33273667411252017,0.2998417625185692,0.3616385443806283,0.35178638326991846,0.3738020890468453,0.35874753267296466,0.4133804735487599,0.39474481110698545,0.9888884454342892,0.9794511807869534,0.9823332054242482,0.9831804880417006,1.0,0.9892329805400866,0.9894739289579999,0.9882325005681476,0.9702223624474853,0.9594454787341737,0.9692647430233033,0.9668467180694352,0.9739185422499594,0.9628397843444273,0.9738394317854402,0.9685258315125771,0.9186887128039999,0.907520632263354,0.9235183850333553,0.9102204655613355,0.9180376193733797,0.9076317390707876,0.921614423271258,0.9130337433104647
TMIN_P85_3D__month_pm7,0.7307856093608576,0.733628299641389,0.7351705287133549,0.7280005668138743,0.7492551375341462,0.7564959121125275,0.7672553659885019,0.7659062153399314,0.39260828587375185,0.3751365095443546,0.38688372304296464,0.37356713459162666,0.4487761653645191,0.43721216517391365,0.44485081961116535,0.43394813600283366,0.3806794090228221,0.3502556806672554,0.368464972475135,0.366801358983305,0.4403631647571935,0.42302147104643467,0.43144326065502936,0.43654355156074276,0.3399031355058669,0.3009142765184827,0.36966921913156026,0.35934072076483653,0.3919380315079042,0.3726619467889477,0.4333231662328063,0.41259605212991624,0.9770986985871357,0.9878835168514668,0.9716860628817461,0.974181416818344,0.9892329805400866,1.0,0.9824458751032854,0.9826463811176012,0.9647029660103136,0.9678622062886862,0.9593444955584314,0.9592715438509737,0.9715127933473918,0.9736346247311831,0.9679070546603437,0.9654036816914874,0.9165511731828296,0.9144605614679155,0.9195031929554505,0.9069520070218006,0.91736819552251,0.9157736266310398,0.923726950323381,0.9159045710231376
TMIN_P85_3D__w05,0.7577107980129038,0.7522803492357842,0.7727029649010705,0.7645138972455648,0.7717266153563606,0.7694222989314794,0.7969607699189842,0.7929157653682108,0.40943094491860405,0.3958950085588806,0.3955846472179351,0.3865855897898495,0.4471454798701755,0.4385574408230435,0.4365879115495869,0.42939883829442593,0.39648696136317685,0.37036057221954943,0.37983560575063424,0.38137338690066525,0.4372978686171408,0.42350520221028415,0.42424571966401065,0.4316551320160793,0.3562998357534733,0.32374136157089134,0.38485603665685614,0.3767622099051963,0.39339545967534706,0.3796926682893607,0.4308180632916362,0.4155060160076482,0.9838429744803505,0.9769418846610579,0.9900722424870749,0.9887698273253018,0.9894739289579999,0.9824458751032854,1.0,0.9948884643535417,0.9742747813248619,0.9647859952454737,0.9765290895205805,0.9746547870660325,0.9770458669091964,0.9675082665495763,0.9808364627516228,0.9754020507127478,0.9279138423409431,0.9150758520246275,0.9298674921367059,0.9180649761547749,0.9271769918993222,0.9144315985643529,0.9249396288743142,0.9189041438976334
TMIN_P85_3D__w15,0.7534455461138676,0.749067988925277,0.7665875159081981,0.7605446804995739,0.7665431733584275,0.7652108371011239,0.7922069790815728,0.7894447961515487,0.41229255368851436,0.39824715547579864,0.39907845542372417,0.39002136886835037,0.4512471725912205,0.4419993493451422,0.44245690145291633,0.4350516060350949,0.40052012773018164,0.3738945429152416,0.38310994039349217,0.383626514304783,0.4434947714584088,0.4299578863375052,0.4291713244943281,0.43612837510276836,0.3594894767658554,0.32789812759596204,0.3885137479628752,0.3804023951669812,0.3986075826058663,0.38503537834006024,0.43638729408785787,0.42166076270186986,0.9839349121383224,0.9788896932096168,0.9868821389887388,0.9911881191566995,0.9882325005681476,0.9826463811176012,0.9948884643535417,1.0,0.9752947664246318,0.9671188446483134,0.9761292930732749,0.9747937944607152,0.9784603819983803,0.9707559792481099,0.9819778091267781,0.9765833237852962,0.9287894772334485,0.9174930434959071,0.9296424452812458,0.9179289294173787,0.9297175902087129,0.9188637870361941,0.9243919994965585,0.9200828044527711
