run_id,definition_id,def_number,user_item,metric,metric_label,percentile,min_duration,window_key,window_label,window_order,counties_total,counties_with_any_heatwave_day,heatwave_days_QA_pooled,heatwave_events_QA_pooled,per_county_heatwave_days_median,per_county_heatwave_days_q25,per_county_heatwave_days_q75,per_county_heatwave_days_min,per_county_heatwave_days_max,event_duration_median_days,event_duration_q75_days,event_duration_max_days,pct_heatwave_days_jun_sep,pct_heatwave_days_imputed,artifact_county_days_set_missing,artifact_handling,baseline,season,absolute_floor,comparison_op,analysis_years,runtime_seconds
TMAX_P95_2D__w15,TMAX_P95_2D,7,5,TMAX,daily maximum temperature,95,2,w15,centered 15-day window (+/-7 days),2,254,254,56576,17405,210.5,169.25,262.75,27,501,2.0,4.0,44,39.16,13.99,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.1
TMAX_P95_2D__month,TMAX_P95_2D,7,5,TMAX,daily maximum temperature,95,2,month,calendar-month bucket,3,254,254,55270,16898,207.5,164.0,261.25,31,480,3.0,4.0,46,38.49,14.28,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.0
TMAX_P95_2D__month_pm7,TMAX_P95_2D,7,5,TMAX,daily maximum temperature,95,2,month_pm7,calendar month +/- 7 days,4,254,254,48059,14880,182.0,141.0,224.0,21,417,2.0,4.0,46,41.87,13.97,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.8
TMAX_P95_3D__w05,TMAX_P95_3D,14,12,TMAX,daily maximum temperature,95,3,w05,centered 5-day window (+/-2 days),1,254,254,43977,9625,158.5,119.0,212.0,16,424,4.0,5.0,46,43.37,15.02,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.5
TMAX_P95_3D__w15,TMAX_P95_3D,14,12,TMAX,daily maximum temperature,95,3,w15,centered 15-day window (+/-7 days),2,254,254,38876,8555,141.0,105.0,188.5,15,375,4.0,5.0,44,45.68,14.49,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.5
TMAX_P95_3D__month,TMAX_P95_3D,14,12,TMAX,daily maximum temperature,95,3,month,calendar-month bucket,3,254,254,38426,8476,138.5,101.0,187.0,9,370,4.0,5.0,46,45.2,15.19,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.3
TMAX_P95_3D__month_pm7,TMAX_P95_3D,14,12,TMAX,daily maximum temperature,95,3,month_pm7,calendar month +/- 7 days,4,254,254,32851,7276,119.5,87.0,160.75,3,319,4.0,5.0,46,50.03,14.91,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.2
TMIN_P85_2D__w05,TMIN_P85_2D,6,4,TMIN,daily minimum temperature,85,2,w05,centered 5-day window (+/-2 days),1,254,254,187198,49657,726.5,602.25,861.75,172,1477,3.0,4.0,50,40.81,18.87,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.9
TMIN_P85_2D__w15,TMIN_P85_2D,6,4,TMIN,daily minimum temperature,85,2,w15,centered 15-day window (+/-7 days),2,254,254,181444,48193,701.0,584.25,841.25,156,1452,3.0,4.0,66,41.17,18.91,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.7
TMIN_P85_2D__month,TMIN_P85_2D,6,4,TMIN,daily minimum temperature,85,2,month,calendar-month bucket,3,254,254,182251,47608,709.0,594.0,844.5,167,1423,3.0,5.0,66,41.55,18.86,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.4
TMIN_P85_2D__month_pm7,TMIN_P85_2D,6,4,TMIN,daily minimum temperature,85,2,month_pm7,calendar month +/- 7 days,4,254,254,174134,45727,681.0,554.75,813.25,156,1319,3.0,5.0,66,42.89,18.69,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.5
TMIN_P85_3D__w05,TMIN_P85_3D,13,11,TMIN,daily minimum temperature,85,3,w05,centered 5-day window (+/-2 days),1,254,254,148116,30116,575.5,469.0,693.0,138,1281,4.0,6.0,50,43.33,19.83,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.9
TMIN_P85_3D__w15,TMIN_P85_3D,13,11,TMIN,daily minimum temperature,85,3,w15,centered 15-day window (+/-7 days),2,254,254,143020,28981,556.0,449.0,675.75,118,1256,4.0,6.0,66,43.94,19.83,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.5
TMIN_P85_3D__month,TMIN_P85_3D,13,11,TMIN,daily minimum temperature,85,3,month,calendar-month bucket,3,254,254,145237,29101,564.0,451.75,681.0,125,1241,4.0,6.0,66,44.3,19.88,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.3
TMIN_P85_3D__month_pm7,TMIN_P85_3D,13,11,TMIN,daily minimum temperature,85,3,month_pm7,calendar month +/- 7 days,4,254,254,138124,27722,537.0,424.25,654.25,106,1135,4.0,6.0,66,45.84,19.78,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.2
TMIN_P90_2D__w05,TMIN_P90_2D,4,2,TMIN,daily minimum temperature,90,2,w05,centered 5-day window (+/-2 days),1,254,254,127906,36636,492.0,390.0,599.0,98,1121,3.0,4.0,48,42.13,18.56,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.8
