axis,run_a,run_b,definition_a,definition_b,value_a,value_b,metric,percentile,min_duration,window
window,TMAX_P85_3D__w05,TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX_P85_3D,w05,month_pm7,TMAX,85,3,
metric,TMAX_P85_3D__w05,TMIN_P85_3D__w05,TMAX_P85_3D,TMIN_P85_3D,TMAX,TMIN,,85,3,w05
percentile,TMAX_P85_3D__w05,TMAX_P95_3D__w05,TMAX_P85_3D,TMAX_P95_3D,85,95,TMAX,,3,w05
window,TMAX_P85_3D__w15,TMAX_P85_3D__month,TMAX_P85_3D,TMAX_P85_3D,w15,month,TMAX,85,3,
window,TMAX_P85_3D__w15,TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX_P85_3D,w15,month_pm7,TMAX,85,3,
metric,TMAX_P85_3D__w15,TMIN_P85_3D__w15,TMAX_P85_3D,TMIN_P85_3D,TMAX,TMIN,,85,3,w15
percentile,TMAX_P85_3D__w15,TMAX_P95_3D__w15,TMAX_P85_3D,TMAX_P95_3D,85,95,TMAX,,3,w15
window,TMAX_P85_3D__month,TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX_P85_3D,month,month_pm7,TMAX,85,3,
metric,TMAX_P85_3D__month,TMIN_P85_3D__month,TMAX_P85_3D,TMIN_P85_3D,TMAX,TMIN,,85,3,month
percentile,TMAX_P85_3D__month,TMAX_P95_3D__month,TMAX_P85_3D,TMAX_P95_3D,85,95,TMAX,,3,month
metric,TMAX_P85_3D__month_pm7,TMIN_P85_3D__month_pm7,TMAX_P85_3D,TMIN_P85_3D,TMAX,TMIN,,85,3,month_pm7
percentile,TMAX_P85_3D__month_pm7,TMAX_P95_3D__month_pm7,TMAX_P85_3D,TMAX_P95_3D,85,95,TMAX,,3,month_pm7
window,TMIN_P85_3D__w05,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN_P85_3D,w05,w15,TMIN,85,3,
window,TMIN_P85_3D__w05,TMIN_P85_3D__month,TMIN_P85_3D,TMIN_P85_3D,w05,month,TMIN,85,3,
window,TMIN_P85_3D__w05,TMIN_P85_3D__month_pm7,TMIN_P85_3D,TMIN_P85_3D,w05,month_pm7,TMIN,85,3,
percentile,TMIN_P85_3D__w05,TMIN_P95_3D__w05,TMIN_P85_3D,TMIN_P95_3D,85,95,TMIN,,3,w05
window,TMIN_P85_3D__w15,TMIN_P85_3D__month,TMIN_P85_3D,TMIN_P85_3D,w15,month,TMIN,85,3,
window,TMIN_P85_3D__w15,TMIN_P85_3D__month_pm7,TMIN_P85_3D,TMIN_P85_3D,w15,month_pm7,TMIN,85,3,
percentile,TMIN_P85_3D__w15,TMIN_P95_3D__w15,TMIN_P85_3D,TMIN_P95_3D,85,95,TMIN,,3,w15
window,TMIN_P85_3D__month,TMIN_P85_3D__month_pm7,TMIN_P85_3D,TMIN_P85_3D,month,month_pm7,TMIN,85,3,
percentile,TMIN_P85_3D__month,TMIN_P95_3D__month,TMIN_P85_3D,TMIN_P95_3D,85,95,TMIN,,3,month
percentile,TMIN_P85_3D__month_pm7,TMIN_P95_3D__month_pm7,TMIN_P85_3D,TMIN_P95_3D,85,95,TMIN,,3,month_pm7
window,TMAX_P95_3D__w05,TMAX_P95_3D__w15,TMAX_P95_3D,TMAX_P95_3D,w05,w15,TMAX,95,3,
window,TMAX_P95_3D__w05,TMAX_P95_3D__month,TMAX_P95_3D,TMAX_P95_3D,w05,month,TMAX,95,3,
window,TMAX_P95_3D__w05,TMAX_P95_3D__month_pm7,TMAX_P95_3D,TMAX_P95_3D,w05,month_pm7,TMAX,95,3,
metric,TMAX_P95_3D__w05,TMIN_P95_3D__w05,TMAX_P95_3D,TMIN_P95_3D,TMAX,TMIN,,95,3,w05
window,TMAX_P95_3D__w15,TMAX_P95_3D__month,TMAX_P95_3D,TMAX_P95_3D,w15,month,TMAX,95,3,
window,TMAX_P95_3D__w15,TMAX_P95_3D__month_pm7,TMAX_P95_3D,TMAX_P95_3D,w15,month_pm7,TMAX,95,3,
metric,TMAX_P95_3D__w15,TMIN_P95_3D__w15,TMAX_P95_3D,TMIN_P95_3D,TMAX,TMIN,,95,3,w15
window,TMAX_P95_3D__month,TMAX_P95_3D__month_pm7,TMAX_P95_3D,TMAX_P95_3D,month,month_pm7,TMAX,95,3,
metric,TMAX_P95_3D__month,TMIN_P95_3D__month,TMAX_P95_3D,TMIN_P95_3D,TMAX,TMIN,,95,3,month
metric,TMAX_P95_3D__month_pm7,TMIN_P95_3D__month_pm7,TMAX_P95_3D,TMIN_P95_3D,TMAX,TMIN,,95,3,month_pm7
window,TMIN_P95_3D__w05,TMIN_P95_3D__w15,TMIN_P95_3D,TMIN_P95_3D,w05,w15,TMIN,95,3,
window,TMIN_P95_3D__w05,TMIN_P95_3D__month,TMIN_P95_3D,TMIN_P95_3D,w05,month,TMIN,95,3,
window,TMIN_P95_3D__w05,TMIN_P95_3D__month_pm7,TMIN_P95_3D,TMIN_P95_3D,w05,month_pm7,TMIN,95,3,
window,TMIN_P95_3D__w15,TMIN_P95_3D__month,TMIN_P95_3D,TMIN_P95_3D,w15,month,TMIN,95,3,
window,TMIN_P95_3D__w15,TMIN_P95_3D__month_pm7,TMIN_P95_3D,TMIN_P95_3D,w15,month_pm7,TMIN,95,3,
window,TMIN_P95_3D__month,TMIN_P95_3D__month_pm7,TMIN_P95_3D,TMIN_P95_3D,month,month_pm7,TMIN,95,3,
window,MHI_P90_3D__w05,MHI_P90_3D__w15,MHI_P90_3D,MHI_P90_3D,w05,w15,MHI,90,3,
window,MHI_P90_3D__w05,MHI_P90_3D__month,MHI_P90_3D,MHI_P90_3D,w05,month,MHI,90,3,
window,MHI_P90_3D__w05,MHI_P90_3D__month_pm7,MHI_P90_3D,MHI_P90_3D,w05,month_pm7,MHI,90,3,
window,MHI_P90_3D__w15,MHI_P90_3D__month,MHI_P90_3D,MHI_P90_3D,w15,month,MHI,90,3,
window,MHI_P90_3D__w15,MHI_P90_3D__month_pm7,MHI_P90_3D,MHI_P90_3D,w15,month_pm7,MHI,90,3,
window,MHI_P90_3D__month,MHI_P90_3D__month_pm7,MHI_P90_3D,MHI_P90_3D,month,month_pm7,MHI,90,3,
