county_fips,year,classified_dates,events_started
48049,2015,14,3
48049,2016,3,1
48049,2017,10,1
48049,2018,31,4
48049,2019,30,4
48049,2020,7,2
48049,2021,4,1
48049,2022,35,6
48049,2023,49,8
48049,2024,6,1
48049,2025,3,1
48051,2015,11,2
48051,2016,5,1
48051,2017,4,1
48051,2018,20,5
48051,2019,45,5
48051,2022,45,5
48051,2023,45,7
48053,2015,22,3
48053,2016,13,3
48053,2017,13,4
48053,2018,27,4
48053,2019,32,4
48053,2020,20,4
48053,2021,5,1
48053,2022,53,7
48053,2023,96,6
48053,2024,16,2
48053,2025,3,1
48055,2015,24,4
48055,2016,7,2
48055,2017,17,3
48055,2018,35,4
48055,2019,34,5
48055,2020,27,4
48055,2021,5,1
48055,2022,64,4
48055,2023,89,6
48055,2024,27,5
48055,2025,19,4
48057,2015,7,2
48057,2016,4,1
48057,2017,3,1
48057,2018,6,1
48057,2019,11,3
48057,2020,17,4
48057,2022,23,5
48057,2023,90,7
48057,2024,34,6
48057,2025,15,5
48059,2015,9,2
48059,2016,3,1
48059,2017,9,1
48059,2018,21,6
48059,2019,11,2
48059,2020,15,3
48059,2021,3,1
48059,2022,44,5
48059,2023,54,8
48059,2024,19,4
48059,2025,3,1
48061,2015,3,1
48061,2016,43,8
48061,2017,23,6
48061,2018,32,6
48061,2019,40,7
48061,2020,22,5
48061,2021,14,2
48061,2022,33,5
48061,2023,98,6
48061,2024,17,1
48061,2025,11,3
48063,2015,29,6
48063,2016,16,3
48063,2018,20,6
48063,2019,9,2
48063,2022,51,6
48063,2023,29,5
48063,2024,3,1
48065,2015,5,1
48065,2016,4,1
48065,2017,4,1
48065,2018,9,2
48065,2019,12,3
48065,2020,22,5
48065,2021,4,1
48065,2022,14,3
48065,2023,39,8
48065,2024,28,3
48065,2025,4,1
48067,2015,18,4
48067,2016,7,2
48067,2018,13,4
48067,2019,12,2
48067,2022,33,7
48067,2023,23,4
48067,2025,5,1
48069,2015,3,1
48069,2016,11,3
48069,2017,7,2
48069,2018,8,2
48069,2019,14,3
48069,2020,19,4
48069,2022,14,3
48069,2023,30,8
48069,2024,26,5
48069,2025,5,1
48071,2015,12,2
48071,2016,4,1
48071,2018,3,1
48071,2019,6,2
48071,2021,3,1
48071,2022,5,1
48071,2023,45,8
48071,2024,4,1
48073,2018,22,5
48073,2019,4,1
48073,2022,32,6
48073,2023,39,5
48075,2015,12,3
48075,2016,3,1
48075,2017,10,3
48075,2018,6,1
48075,2019,15,4
48075,2020,25,5
48075,2021,16,4
48075,2022,48,9
48075,2023,41,9
48075,2024,29,4
48075,2025,4,1
48077,2016,3,1
48077,2017,3,1
48077,2018,15,4
48077,2019,5,1
48077,2020,7,2
48077,2022,43,5
48077,2023,56,10
48077,2024,15,3
48079,2015,9,2
48079,2016,15,2
48079,2017,12,3
48079,2018,5,1
48079,2019,14,4
48079,2020,25,4
48079,2021,6,2
48079,2022,25,4
48079,2023,38,8
48079,2024,27,6
48079,2025,5,1
48081,2015,9,1
48081,2017,7,2
48081,2018,12,3
48081,2019,16,4
48081,2020,17,3
48081,2022,32,8
48081,2023,52,8
48081,2024,20,4
48081,2025,3,1
48083,2015,9,2
48083,2016,13,3
48083,2017,12,2
48083,2018,31,3
48083,2019,30,4
48083,2020,23,4
48083,2021,4,1
48083,2022,51,7
48083,2023,65,9
48083,2024,15,3
48083,2025,4,1
48085,2015,3,1
48085,2018,13,3
48085,2019,3,1
48085,2020,4,1
48085,2021,5,1
48085,2022,43,6
48085,2023,39,7
