county_fips,year,month,classified_dates
48045,2022,7,20
48045,2022,8,7
48045,2022,9,3
48045,2023,6,6
48045,2023,7,13
48045,2023,8,17
48045,2023,9,8
48045,2024,6,3
48045,2024,7,8
48045,2024,8,23
48045,2024,9,9
48045,2025,7,3
48045,2025,8,6
48045,2025,9,3
48047,2017,8,3
48047,2017,9,3
48047,2018,6,3
48047,2019,8,8
48047,2019,9,3
48047,2020,7,3
48047,2022,6,3
48047,2022,7,5
48047,2023,6,14
48047,2023,7,3
48047,2023,8,17
48047,2023,9,13
48047,2024,8,4
48049,2015,7,2
48049,2015,8,9
48049,2015,9,3
48049,2016,8,3
48049,2017,9,10
48049,2018,6,11
48049,2018,7,20
48049,2019,8,9
48049,2019,9,21
48049,2020,7,4
48049,2020,8,3
48049,2021,9,4
48049,2022,6,19
48049,2022,7,13
48049,2022,9,3
48049,2023,6,13
48049,2023,7,9
48049,2023,8,19
48049,2023,9,8
48049,2024,8,6
48049,2025,9,3
48051,2015,8,6
48051,2015,9,5
48051,2016,9,5
48051,2017,7,4
48051,2018,6,7
48051,2018,7,8
48051,2018,8,5
48051,2019,6,3
48051,2019,8,20
48051,2019,9,22
48051,2022,6,22
48051,2022,7,19
48051,2022,8,4
48051,2023,6,8
48051,2023,8,23
48051,2023,9,14
48053,2015,8,9
48053,2015,9,13
48053,2016,6,3
48053,2016,8,5
48053,2016,9,5
48053,2017,6,3
48053,2017,7,6
48053,2017,9,4
48053,2018,6,10
48053,2018,7,17
48053,2019,8,11
48053,2019,9,21
48053,2020,7,11
48053,2020,8,9
48053,2021,9,5
48053,2022,6,21
48053,2022,7,20
48053,2022,8,3
48053,2022,9,9
48053,2023,6,20
48053,2023,7,24
48053,2023,8,29
48053,2023,9,23
48053,2024,8,8
48053,2024,9,8
48053,2025,9,3
48055,2015,8,10
48055,2015,9,14
48055,2016,7,3
48055,2016,8,4
48055,2017,6,8
48055,2017,7,9
48055,2018,6,15
48055,2018,7,10
48055,2018,8,10
48055,2019,8,12
48055,2019,9,22
48055,2020,7,10
48055,2020,8,16
48055,2020,9,1
48055,2021,9,5
48055,2022,6,24
48055,2022,7,29
48055,2022,8,5
48055,2022,9,6
48055,2023,6,12
48055,2023,7,22
48055,2023,8,30
48055,2023,9,25
48055,2024,6,3
48055,2024,7,6
48055,2024,8,4
48055,2024,9,14
48055,2025,7,2
48055,2025,8,5
48055,2025,9,12
48057,2015,7,1
48057,2015,8,6
48057,2016,9,4
48057,2017,6,3
48057,2018,6,6
