run_id,event_id,county_fips,county_name,start_date,end_date,event_duration_days,pct_event_days_imputed,county_temperature_imputation_pct,tmax_stations_min,tmax_stations_median,tmin_stations_min,min_exceedance_degF_in_event,median_exceedance_degF_in_event,figure,disposition
TMAX_P85_2D__w15,48_321_2023_015_TMAX_P85_2D,48321,Matagorda,2023-07-09,2023-08-21,44,0.0,0.0,2.0,3.0,2.0,0.93,3.18,fig10_long_event_TMAX_P85_2D__w15_48_321_2023_015_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_007_2023_008_TMAX_P85_3D,48007,Aransas,2023-07-09,2023-08-21,44,0.0,0.2,2.0,3.0,3.0,0.42,2.099,fig10_long_event_TMAX_P85_3D__w15_48_007_2023_008_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_259_2023_006_TMAX_P85_3D,48259,Kendall,2023-07-09,2023-08-21,44,0.0,0.8,2.0,2.0,2.0,1.44,5.76,fig10_long_event_TMAX_P85_3D__w15_48_259_2023_006_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_321_2023_012_TMAX_P85_3D,48321,Matagorda,2023-07-09,2023-08-21,44,0.0,0.0,2.0,3.0,2.0,0.93,3.18,fig10_long_event_TMAX_P85_3D__w15_48_321_2023_012_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_123_2023_013_TMAX_P90_2D,48123,DeWitt,2023-07-10,2023-08-22,44,0.0,1.4,1.0,2.0,1.0,0.45,2.52,fig10_long_event_TMAX_P90_2D__w15_48_123_2023_013_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_259_2022_012_TMAX_P90_2D,48259,Kendall,2022-07-01,2022-08-13,44,0.0,0.8,1.0,2.0,1.0,0.09,3.06,fig10_long_event_TMAX_P90_2D__w15_48_259_2022_012_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_259_2023_009_TMAX_P90_2D,48259,Kendall,2023-07-09,2023-08-21,44,0.0,0.8,2.0,2.0,2.0,0.54,5.04,fig10_long_event_TMAX_P90_2D__w15_48_259_2023_009_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_321_2023_010_TMAX_P90_2D,48321,Matagorda,2023-07-09,2023-08-21,44,0.0,0.0,2.0,3.0,2.0,0.36,2.64,fig10_long_event_TMAX_P90_2D__w15_48_321_2023_010_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_123_2023_009_TMAX_P90_3D,48123,DeWitt,2023-07-10,2023-08-22,44,0.0,1.4,1.0,2.0,1.0,0.45,2.52,fig10_long_event_TMAX_P90_3D__w15_48_123_2023_009_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_259_2022_008_TMAX_P90_3D,48259,Kendall,2022-07-01,2022-08-13,44,0.0,0.8,1.0,2.0,1.0,0.09,3.06,fig10_long_event_TMAX_P90_3D__w15_48_259_2022_008_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
