state,run_id,definition_id,metric,percentile,minimum_duration,window,event_id,county_fips,county_name,climate_division,start_date,end_date,event_duration_days,months_touched,event_crosses_month,event_crosses_year,peak_day_date,peak_metric_value,peak_day_threshold_value,days_in_event,imputed_days_in_event,pct_event_days_imputed,temperature_imputation_pct,fully_imputed_county,data_complete,review_reason,disposition
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_215_2023_007_TMAX_P85_2D,48215,Hidalgo,Lower Valley,2023-06-10,2023-07-05,26,2,True,False,2023-06-21,107.49,99.14,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_261_2023_013_TMAX_P85_2D,48261,Kenedy,South Texas,2023-06-09,2023-07-04,26,2,True,False,2023-06-22,111.02,97.52,26,0,0.0,33.0,False,False,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_285_2023_013_TMAX_P85_2D,48285,Lavaca,South Central,2023-07-27,2023-08-21,26,2,True,False,2023-08-17,109.04,100.04,26,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_309_2022_013_TMAX_P85_2D,48309,McLennan,North Central,2022-07-16,2022-08-10,26,2,True,False,2022-07-18,106.52,100.3,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_489_2018_005_TMAX_P85_2D,48489,Willacy,Lower Valley,2018-05-23,2018-06-17,26,2,True,False,2018-06-06,99.05,93.02,26,26,100.0,30.0,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_061_2023_007_TMAX_P85_3D,48061,Cameron,Lower Valley,2023-06-09,2023-07-04,26,2,True,False,2023-06-21,99.42,94.34,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_215_2023_005_TMAX_P85_3D,48215,Hidalgo,Lower Valley,2023-06-10,2023-07-05,26,2,True,False,2023-06-21,107.49,99.14,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_261_2023_010_TMAX_P85_3D,48261,Kenedy,South Texas,2023-06-09,2023-07-04,26,2,True,False,2023-06-22,111.02,97.52,26,0,0.0,33.0,False,False,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_285_2023_010_TMAX_P85_3D,48285,Lavaca,South Central,2023-07-27,2023-08-21,26,2,True,False,2023-08-17,109.04,100.04,26,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_309_2022_008_TMAX_P85_3D,48309,McLennan,North Central,2022-07-16,2022-08-10,26,2,True,False,2022-07-18,106.52,100.3,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_489_2018_004_TMAX_P85_3D,48489,Willacy,Lower Valley,2018-05-23,2018-06-17,26,2,True,False,2018-06-06,99.05,93.02,26,26,100.0,30.0,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_2D__w15,TMAX_P90_2D,TMAX,90,2,w15,48_061_2023_010_TMAX_P90_2D,48061,Cameron,Lower Valley,2023-06-09,2023-07-04,26,2,True,False,2023-06-21,99.42,94.82,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_2D__w15,TMAX_P90_2D,TMAX,90,2,w15,48_273_2023_010_TMAX_P90_2D,48273,Kleberg,South Central,2023-06-09,2023-07-04,26,2,True,False,2023-06-21,109.49,98.51,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_3D__w15,TMAX_P90_3D,TMAX,90,3,w15,48_061_2023_007_TMAX_P90_3D,48061,Cameron,Lower Valley,2023-06-09,2023-07-04,26,2,True,False,2023-06-21,99.42,94.82,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_3D__w15,TMAX_P90_3D,TMAX,90,3,w15,48_273_2023_008_TMAX_P90_3D,48273,Kleberg,South Central,2023-06-09,2023-07-04,26,2,True,False,2023-06-21,109.49,98.51,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_039_2016_013_TMIN_P85_2D,48039,Brazoria,Upper Coast,2016-07-03,2016-07-28,26,1,False,False,2016-07-05,82.72,77.13,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_049_2022_011_TMIN_P85_2D,48049,Brown,North Central,2022-07-17,2022-08-11,26,2,True,False,2022-07-20,80.06,73.94,26,2,7.7,9.7,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_065_2019_015_TMIN_P85_2D,48065,Carson,High Plains,2019-09-07,2019-10-02,26,2,True,False,2019-09-30,67.92,57.92,26,26,100.0,77.3,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_039_2016_008_TMIN_P85_3D,48039,Brazoria,Upper Coast,2016-07-03,2016-07-28,26,1,False,False,2016-07-05,82.72,77.13,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_049_2022_010_TMIN_P85_3D,48049,Brown,North Central,2022-07-17,2022-08-11,26,2,True,False,2022-07-20,80.06,73.94,26,2,7.7,9.7,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_065_2019_010_TMIN_P85_3D,48065,Carson,High Plains,2019-09-07,2019-10-02,26,2,True,False,2019-09-30,67.92,57.92,26,26,100.0,77.3,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P90_2D__w15,TMIN_P90_2D,TMIN,90,2,w15,48_115_2022_012_TMIN_P90_2D,48115,Dawson,High Plains,2022-07-16,2022-08-10,26,2,True,False,2022-07-20,77.97,70.0,26,26,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P90_3D__w15,TMIN_P90_3D,TMIN,90,3,w15,48_115_2022_008_TMIN_P90_3D,48115,Dawson,High Plains,2022-07-16,2022-08-10,26,2,True,False,2022-07-20,77.97,70.0,26,26,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,MHI_P95_2D__w15,MHI_P95_2D,MHI,95,2,w15,48_287_2019_005_MHI_P95_2D,48287,Lee,South Central,2019-08-06,2019-08-30,25,1,False,False,2019-08-26,107.67,96.47,25,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_007_2023_013_TMAX_P85_2D,48007,Aransas,South Central,2023-06-11,2023-07-05,25,2,True,False,2023-07-03,95.24,92.3,25,0,0.0,0.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_041_2022_011_TMAX_P85_2D,48041,Brazos,East Texas,2022-06-05,2022-06-29,25,1,False,False,2022-06-26,102.92,96.98,25,0,0.0,0.1,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_123_2025_021_TMAX_P85_2D,48123,DeWitt,South Central,2025-09-17,2025-10-11,25,2,True,False,2025-09-23,102.92,95.99,25,0,0.0,1.4,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_177_2025_018_TMAX_P85_2D,48177,Gonzales,South Central,2025-09-30,2025-10-24,25,2,True,False,2025-10-08,96.53,91.86,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_259_2019_011_TMAX_P85_2D,48259,Kendall,Edwards Plateau,2019-09-13,2019-10-07,25,2,True,False,2019-09-19,99.95,93.02,25,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_283_2022_015_TMAX_P85_2D,48283,La Salle,South Texas,2022-06-03,2022-06-27,25,1,False,False,2022-06-06,111.02,100.94,25,0,0.0,0.7,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_007_2023_007_TMAX_P85_3D,48007,Aransas,South Central,2023-06-11,2023-07-05,25,2,True,False,2023-07-03,95.24,92.3,25,0,0.0,0.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_041_2022_007_TMAX_P85_3D,48041,Brazos,East Texas,2022-06-05,2022-06-29,25,1,False,False,2022-06-26,102.92,96.98,25,0,0.0,0.1,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_123_2025_016_TMAX_P85_3D,48123,DeWitt,South Central,2025-09-17,2025-10-11,25,2,True,False,2025-09-23,102.92,95.99,25,0,0.0,1.4,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_177_2025_012_TMAX_P85_3D,48177,Gonzales,South Central,2025-09-30,2025-10-24,25,2,True,False,2025-10-08,96.53,91.86,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_259_2019_006_TMAX_P85_3D,48259,Kendall,Edwards Plateau,2019-09-13,2019-10-07,25,2,True,False,2019-09-19,99.95,93.02,25,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,48_283_2022_008_TMAX_P85_3D,48283,La Salle,South Texas,2022-06-03,2022-06-27,25,1,False,False,2022-06-06,111.02,100.94,25,0,0.0,0.7,False,True,long event,"RETAINED - flagged for review, not deleted"
