county_fips,ehf85_c2,n_positive_reference_ehf_values,n_distinct_reference_years_with_positive_ehf,severity_quality_flag
48137,3.9365662315236363,554,33,ok
48139,3.6040943132714958,614,29,ok
48141,7.364980524305551,582,31,ok
48143,3.968517708333231,624,32,ok
48145,2.697967155806868,666,31,ok
48147,5.199305555555556,568,29,ok
48149,2.2052962962962877,589,29,ok
48151,6.013257307407339,564,33,ok
48153,7.369916666666739,483,35,ok
48155,4.9477929998046175,580,32,ok
48157,2.089517361111083,546,30,ok
48159,6.152933333333279,569,31,ok
48161,3.2211828615213647,620,29,ok
48163,2.1999999999999957,626,28,ok
48165,8.004416666666584,556,33,ok
48167,1.3583333333333154,583,31,ok
48169,7.04520833333329,566,31,ok
48171,2.3929843750000286,576,31,ok
48173,5.289283333333261,535,31,ok
48175,2.7328759124980873,642,31,ok
48177,2.1695550925925606,599,29,ok
48179,7.071458333333321,571,34,ok
48181,5.16353831467381,592,32,ok
48183,4.592722057060909,579,30,ok
48185,2.163437647038021,623,31,ok
48187,2.1796389362955635,602,31,ok
48189,7.113070833333311,522,32,ok
48191,8.389275694444517,539,34,ok
48193,3.4961944444443835,631,31,ok
48195,6.270272222222333,525,35,ok
48197,5.92449782311426,561,30,ok
48199,2.0991167930924104,555,31,ok
48201,2.3844370370370354,557,31,ok
48203,5.038780555555535,583,27,ok
48205,6.017583950617361,553,31,ok
48207,5.172196689452725,551,32,ok
48209,2.147844768805318,611,28,ok
48211,6.532341366315373,585,34,ok
48213,3.0200972222222338,608,32,ok
48215,1.2478825462962826,568,31,ok
48217,3.722766666666557,575,31,ok
48219,7.695999999999976,561,33,ok
48221,4.736943522148768,603,30,ok
48223,5.001147916666728,607,31,ok
48225,3.6018555555554626,572,29,ok
48227,6.406156616860771,558,32,ok
48229,6.477293595679045,591,32,ok
48231,5.5982734567899755,593,29,ok
48233,8.762239930555497,537,29,ok
48235,4.332909299824869,610,30,ok
48237,6.009775000000151,588,30,ok
48239,1.600807425637173,600,31,ok
48241,2.6236568614583105,490,30,ok
48243,8.165372916666726,567,31,ok
48245,1.7126763888888816,555,31,ok
48247,2.505460398621336,482,28,ok
48249,2.0508541666666487,595,31,ok
48251,3.344654791666694,594,30,ok
48253,5.317970138888905,579,32,ok
48255,2.2648951817417906,606,30,ok
48257,3.3941138888889184,545,30,ok
48259,1.9813750000000214,480,32,ok
48261,1.7836445336757374,596,31,ok
48263,6.670241421677577,589,29,ok
48265,2.044834232107673,559,29,ok
48267,3.2559305555555556,591,32,ok
48269,6.150003832534941,541,31,ok
48271,2.477804085981645,569,31,ok
48273,1.9201364583333238,544,31,ok
