county_fips,baseline,analysis_year,t95_c,expected_reference_days,n_reference_days,reference_day_completeness_fraction,n_distinct_reference_years,reference_imputed_day_count,reference_imputation_fraction,threshold_quality_flag
48025,walk_forward,2020.0,30.300000000000004,14975,14975,1.0,41,308,0.02056761268781302,ok
48025,walk_forward,2021.0,30.300000000000004,15341,15341,1.0,42,344,0.02242357082328401,ok
48025,walk_forward,2022.0,30.300000000000004,15706,15706,1.0,43,344,0.021902457659493186,ok
48025,walk_forward,2023.0,30.300000000000004,16071,16071,1.0,44,358,0.02227614958621119,ok
48025,walk_forward,2024.0,30.424999999999997,16436,16436,1.0,45,370,0.022511559990265273,ok
48025,walk_forward,2025.0,30.424999999999997,16802,16802,1.0,46,436,0.025949291750982026,ok
48027,fixed_1979_2014,,30.28333333333334,13149,13149,1.0,36,415,0.03156133546277284,ok
48027,walk_forward,2015.0,30.28333333333334,13149,13149,1.0,36,415,0.03156133546277284,ok
48027,walk_forward,2016.0,30.283333333333328,13514,13514,1.0,37,417,0.03085688915199053,ok
48027,walk_forward,2017.0,30.287499999999998,13880,13880,1.0,38,417,0.03004322766570605,ok
48027,walk_forward,2018.0,30.28750000000001,14245,14245,1.0,39,417,0.029273429273429272,ok
48027,walk_forward,2019.0,30.349999999999998,14610,14610,1.0,40,419,0.028678986995208763,ok
48027,walk_forward,2020.0,30.36666666666666,14975,14975,1.0,41,419,0.027979966611018363,ok
48027,walk_forward,2021.0,30.383333333333333,15341,15341,1.0,42,421,0.027442800338960953,ok
48027,walk_forward,2022.0,30.36666666666666,15706,15706,1.0,43,421,0.026805042658856488,ok
48027,walk_forward,2023.0,30.412500000000005,16071,16071,1.0,44,421,0.02619625412233215,ok
48027,walk_forward,2024.0,30.509583333333328,16436,16436,1.0,45,421,0.025614504745680215,ok
48027,walk_forward,2025.0,30.549999999999997,16802,16802,1.0,46,421,0.025056540887989524,ok
48029,fixed_1979_2014,,30.675000000000004,13149,13149,1.0,36,0,0.0,ok
48029,walk_forward,2015.0,30.675000000000004,13149,13149,1.0,36,0,0.0,ok
48029,walk_forward,2016.0,30.691874999999985,13514,13514,1.0,37,0,0.0,ok
48029,walk_forward,2017.0,30.699999999999996,13880,13880,1.0,38,0,0.0,ok
48029,walk_forward,2018.0,30.700000000000003,14245,14245,1.0,39,0,0.0,ok
48029,walk_forward,2019.0,30.700000000000003,14610,14610,1.0,40,0,0.0,ok
48029,walk_forward,2020.0,30.700000000000003,14975,14975,1.0,41,0,0.0,ok
48029,walk_forward,2021.0,30.716666666666658,15341,15341,1.0,42,0,0.0,ok
48029,walk_forward,2022.0,30.699999999999996,15706,15706,1.0,43,0,0.0,ok
48029,walk_forward,2023.0,30.71333333333333,16071,16071,1.0,44,0,0.0,ok
48029,walk_forward,2024.0,30.79375,16436,16436,1.0,45,0,0.0,ok
48029,walk_forward,2025.0,30.816458333333333,16802,16802,1.0,46,0,0.0,ok
48031,fixed_1979_2014,,29.449999999999996,13149,13149,1.0,36,29,0.002205490911856415,ok
48031,walk_forward,2015.0,29.449999999999996,13149,13149,1.0,36,29,0.002205490911856415,ok
48031,walk_forward,2016.0,29.449999999999996,13514,13514,1.0,37,29,0.002145922746781116,ok
48031,walk_forward,2017.0,29.449999999999996,13880,13880,1.0,38,69,0.004971181556195965,ok
48031,walk_forward,2018.0,29.449999999999996,14245,14245,1.0,39,69,0.004843804843804844,ok
48031,walk_forward,2019.0,29.449999999999996,14610,14610,1.0,40,70,0.004791238877481177,ok
48031,walk_forward,2020.0,29.449999999999996,14975,14975,1.0,41,70,0.004674457429048414,ok
48031,walk_forward,2021.0,29.449999999999996,15341,15341,1.0,42,147,0.009582165439019621,ok
48031,walk_forward,2022.0,29.449999999999996,15706,15706,1.0,43,430,0.027378072074366485,ok
48031,walk_forward,2023.0,29.574999999999996,16071,16071,1.0,44,440,0.02737850787132101,ok
48031,walk_forward,2024.0,29.599999999999998,16436,16436,1.0,45,440,0.02677050377220735,ok
48031,walk_forward,2025.0,29.699999999999996,16802,16802,1.0,46,496,0.02952029520295203,ok
48033,fixed_1979_2014,,29.750000000000007,13149,13149,1.0,36,1476,0.11225188227241616,ok
48033,walk_forward,2015.0,29.750000000000007,13149,13149,1.0,36,1476,0.11225188227241616,ok
48033,walk_forward,2016.0,29.750000000000007,13514,13514,1.0,37,1588,0.11750776972029008,ok
48033,walk_forward,2017.0,29.750000000000007,13880,13880,1.0,38,1760,0.12680115273775217,ok
48033,walk_forward,2018.0,29.750000000000007,14245,14245,1.0,39,1875,0.13162513162513162,ok
48033,walk_forward,2019.0,29.750000000000007,14610,14610,1.0,40,1962,0.13429158110882958,ok
48033,walk_forward,2020.0,29.750000000000007,14975,14975,1.0,41,2010,0.1342237061769616,ok
48033,walk_forward,2021.0,29.900133498306346,15341,15341,1.0,42,2065,0.13460660973860897,ok
48033,walk_forward,2022.0,29.750000000000007,15706,15706,1.0,43,2098,0.13357952374888576,ok
48033,walk_forward,2023.0,30.0,16071,16071,1.0,44,2126,0.13228797212370108,ok
48033,walk_forward,2024.0,30.0,16436,16436,1.0,45,2224,0.1353127281577026,ok
48033,walk_forward,2025.0,30.0,16802,16802,1.0,46,2328,0.13855493393643614,ok
48035,fixed_1979_2014,,30.550000000000004,13149,13149,1.0,36,856,0.06510000760514108,ok
48035,walk_forward,2015.0,30.550000000000004,13149,13149,1.0,36,856,0.06510000760514108,ok
48035,walk_forward,2016.0,30.549999999999997,13514,13514,1.0,37,931,0.06889151990528342,ok
48035,walk_forward,2017.0,30.549999999999997,13880,13880,1.0,38,1133,0.08162824207492796,ok
48035,walk_forward,2018.0,30.549999999999997,14245,14245,1.0,39,1330,0.09336609336609336,ok
48035,walk_forward,2019.0,30.549999999999997,14610,14610,1.0,40,1535,0.10506502395619438,ok
48035,walk_forward,2020.0,30.549999999999997,14975,14975,1.0,41,1749,0.11679465776293824,ok
48035,walk_forward,2021.0,30.549999999999997,15341,15341,1.0,42,1932,0.12593703148425786,ok
48035,walk_forward,2022.0,30.526587576140432,15706,15706,1.0,43,2136,0.1359989812810391,ok
48035,walk_forward,2023.0,30.549999999999997,16071,16071,1.0,44,2337,0.14541721112563002,ok
48035,walk_forward,2024.0,30.550000000000004,16436,16436,1.0,45,2561,0.15581650036505232,ok
48035,walk_forward,2025.0,30.550000000000004,16802,16802,1.0,46,2927,0.17420545173193666,ok
48037,fixed_1979_2014,,29.575000000000003,13149,13149,1.0,36,14,0.0010647197505513728,ok
48037,walk_forward,2015.0,29.575000000000003,13149,13149,1.0,36,14,0.0010647197505513728,ok
48037,walk_forward,2016.0,29.575000000000003,13514,13514,1.0,37,14,0.0010359627053426078,ok
48037,walk_forward,2017.0,29.575000000000003,13880,13880,1.0,38,14,0.0010086455331412103,ok
48037,walk_forward,2018.0,29.574999999999996,14245,14245,1.0,39,14,0.0009828009828009828,ok
48037,walk_forward,2019.0,29.574999999999996,14610,14610,1.0,40,14,0.0009582477754962354,ok
48037,walk_forward,2020.0,29.574999999999996,14975,14975,1.0,41,14,0.0009348914858096828,ok
48037,walk_forward,2021.0,29.549999999999997,15341,15341,1.0,42,14,0.0009125871846685353,ok
48037,walk_forward,2022.0,29.52916666666666,15706,15706,1.0,43,14,0.0008913790907933274,ok
48037,walk_forward,2023.0,29.574999999999996,16071,16071,1.0,44,14,0.000871134341360214,ok
48037,walk_forward,2024.0,29.575000000000003,16436,16436,1.0,45,15,0.0009126308104161596,ok
48037,walk_forward,2025.0,29.575000000000003,16802,16802,1.0,46,15,0.0008927508629925009,ok
48039,fixed_1979_2014,,29.33333333333334,13149,13149,1.0,36,1,7.605141075366947e-05,ok
48039,walk_forward,2015.0,29.33333333333334,13149,13149,1.0,36,1,7.605141075366947e-05,ok
