state,def_number,definition_id,metric,metric_label,percentile,minimum_duration_days,window,window_label,reference_method,comparison_op,season_rule,absolute_floor,status,threshold_degF_median,threshold_degF_p5,threshold_degF_p95,threshold_degF_median_jun_sep,threshold_degF_median_dec_feb,threshold_degF_summer_minus_winter,baseline_obs_per_threshold_median,threshold_rows_low_n_ref,threshold_rows_total,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,per_county_days_median,per_county_days_q25,per_county_days_q75,per_county_days_min,per_county_days_max,event_duration_days_median,event_duration_days_max,events_at_or_over_review_length,pct_heatwave_days_in_jun_sep,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,peak_month_by_rate,pct_heatwave_days_imputed,counties_with_any_heatwave_day
TX,3,TMAX_P90_2D,TMAX,daily maximum temperature,90,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,88.0,71.1,102.0,99.0,73.9,25.1,615.0,0.0,1022604.0,108359.0,30503.0,403.0,341.0,497.0,114.0,919.0,3.0,47.0,69.0,37.6,119.54,99.47,Aug,15.25,254.0
TX,3,TMAX_P90_2D,TMAX,daily maximum temperature,90,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,89.0,71.1,102.0,99.0,74.5,24.5,1240.0,0.0,33528.0,106769.0,29755.0,403.0,340.0,485.0,104.0,853.0,3.0,48.0,80.0,36.78,115.22,99.3,Aug,15.25,254.0
TX,3,TMAX_P90_2D,TMAX,daily maximum temperature,90,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,89.2,71.7,102.0,99.0,74.7,24.3,1809.0,0.0,33528.0,97478.0,27589.0,370.0,309.0,438.0,73.0,766.0,3.0,48.0,81.0,38.54,110.2,88.15,Aug,15.15,254.0
TX,10,TMAX_P90_3D,TMAX,daily maximum temperature,90,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,88.0,70.6,102.0,99.0,73.9,25.1,205.0,0.0,1022604.0,85949.0,17636.0,314.0,253.0,399.0,63.0,782.0,4.0,48.0,72.0,41.38,104.34,74.13,Aug,15.66,254.0
TX,10,TMAX_P90_3D,TMAX,daily maximum temperature,90,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,88.0,71.1,102.0,99.0,73.9,25.1,615.0,0.0,1022604.0,80755.0,16701.0,297.0,239.0,373.0,59.0,747.0,4.0,47.0,69.0,42.52,100.73,68.3,Aug,15.69,254.0
TX,10,TMAX_P90_3D,TMAX,daily maximum temperature,90,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,89.0,71.1,102.0,99.0,74.5,24.5,1240.0,0.0,33528.0,80451.0,16596.0,299.0,238.0,375.0,49.0,715.0,4.0,48.0,80.0,41.03,96.84,69.8,Aug,15.7,254.0
TX,10,TMAX_P90_3D,TMAX,daily maximum temperature,90,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,89.2,71.7,102.0,99.0,74.7,24.3,1809.0,0.0,33528.0,72426.0,15063.0,270.0,216.0,337.0,41.0,636.0,4.0,48.0,81.0,43.64,92.72,60.06,Aug,15.69,254.0
TX,7,TMAX_P95_2D,TMAX,daily maximum temperature,95,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,89.9,73.5,103.9,100.9,76.5,24.4,205.0,0.0,1022604.0,62917.0,19095.0,235.0,187.0,296.0,34.0,556.0,3.0,46.0,27.0,37.82,69.81,57.56,Aug,14.36,254.0
TX,7,TMAX_P95_2D,TMAX,daily maximum temperature,95,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,90.0,73.9,103.8,100.9,76.7,24.2,615.0,0.0,1022604.0,56576.0,17405.0,210.0,169.0,262.0,27.0,501.0,2.0,44.0,25.0,39.16,64.99,50.64,Aug,13.99,254.0
TX,7,TMAX_P95_2D,TMAX,daily maximum temperature,95,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,90.8,74.0,103.8,100.9,77.0,23.9,1240.0,0.0,33528.0,55270.0,16898.0,207.0,164.0,261.0,31.0,480.0,3.0,46.0,29.0,38.49,62.41,50.02,Aug,14.28,254.0
TX,7,TMAX_P95_2D,TMAX,daily maximum temperature,95,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,91.4,74.7,103.9,100.9,77.0,23.9,1809.0,0.0,33528.0,48059.0,14880.0,182.0,141.0,224.0,21.0,417.0,2.0,46.0,31.0,41.87,59.03,41.1,Aug,13.97,254.0
TX,14,TMAX_P95_3D,TMAX,daily maximum temperature,95,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,89.9,73.5,103.9,100.9,76.5,24.4,205.0,0.0,1022604.0,43977.0,9625.0,158.0,119.0,212.0,16.0,424.0,4.0,46.0,27.0,43.37,55.96,36.64,Aug,15.02,254.0
TX,14,TMAX_P95_3D,TMAX,daily maximum temperature,95,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,90.0,73.9,103.8,100.9,76.7,24.2,615.0,0.0,1022604.0,38876.0,8555.0,141.0,105.0,188.0,15.0,375.0,4.0,44.0,25.0,45.68,52.1,31.07,Aug,14.49,254.0
TX,14,TMAX_P95_3D,TMAX,daily maximum temperature,95,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,90.8,74.0,103.8,100.9,77.0,23.9,1240.0,0.0,33528.0,38426.0,8476.0,138.0,101.0,187.0,9.0,370.0,4.0,46.0,29.0,45.2,50.95,30.98,Aug,15.19,254.0
TX,14,TMAX_P95_3D,TMAX,daily maximum temperature,95,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,91.4,74.7,103.9,100.9,77.0,23.9,1809.0,0.0,33528.0,32851.0,7276.0,119.0,87.0,160.0,3.0,319.0,4.0,46.0,31.0,50.03,48.21,24.15,Aug,14.91,254.0
TX,6,TMIN_P85_2D,TMIN,daily minimum temperature,85,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.0,37.5,76.0,73.9,45.0,29.0,205.0,0.0,1022604.0,187198.0,49657.0,726.0,602.0,861.0,172.0,1477.0,3.0,50.0,67.0,40.81,224.11,163.02,Aug,18.87,254.0
TX,6,TMIN_P85_2D,TMIN,daily minimum temperature,85,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.0,37.9,75.9,73.9,45.0,29.0,615.0,0.0,1022604.0,181444.0,48193.0,701.0,584.0,841.0,156.0,1452.0,3.0,66.0,68.0,41.17,219.13,157.05,Aug,18.91,254.0
TX,6,TMIN_P85_2D,TMIN,daily minimum temperature,85,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.0,37.9,75.9,73.9,45.4,28.5,1240.0,0.0,33528.0,182251.0,47608.0,709.0,594.0,844.0,167.0,1423.0,3.0,66.0,76.0,41.55,222.13,156.73,Aug,18.86,254.0
TX,6,TMIN_P85_2D,TMIN,daily minimum temperature,85,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.5,38.5,75.9,73.9,45.8,28.2,1809.0,0.0,33528.0,174134.0,45727.0,681.0,554.0,813.0,156.0,1319.0,3.0,66.0,82.0,42.89,219.1,146.32,Aug,18.69,254.0
TX,13,TMIN_P85_3D,TMIN,daily minimum temperature,85,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.0,37.5,76.0,73.9,45.0,29.0,205.0,0.0,1022604.0,148116.0,30116.0,575.0,469.0,693.0,138.0,1281.0,4.0,50.0,67.0,43.33,188.27,123.5,Aug,19.83,254.0
TX,13,TMIN_P85_3D,TMIN,daily minimum temperature,85,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.0,37.9,75.9,73.9,45.0,29.0,615.0,0.0,1022604.0,143020.0,28981.0,556.0,449.0,675.0,118.0,1256.0,4.0,66.0,68.0,43.94,184.36,117.96,Aug,19.83,254.0
TX,13,TMIN_P85_3D,TMIN,daily minimum temperature,85,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.0,37.9,75.9,73.9,45.4,28.5,1240.0,0.0,33528.0,145237.0,29101.0,564.0,451.0,681.0,125.0,1241.0,4.0,66.0,76.0,44.3,188.74,119.02,Aug,19.88,254.0
TX,13,TMIN_P85_3D,TMIN,daily minimum temperature,85,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,63.5,38.5,75.9,73.9,45.8,28.2,1809.0,0.0,33528.0,138124.0,27722.0,537.0,424.0,654.0,106.0,1135.0,4.0,66.0,82.0,45.84,185.73,110.07,Aug,19.78,254.0
TX,4,TMIN_P90_2D,TMIN,daily minimum temperature,90,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,64.5,39.5,77.0,74.5,48.0,26.5,205.0,0.0,1022604.0,127906.0,36636.0,492.0,390.0,599.0,98.0,1121.0,3.0,48.0,20.0,42.13,158.09,108.9,Aug,18.56,254.0
TX,4,TMIN_P90_2D,TMIN,daily minimum temperature,90,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,64.8,39.9,77.0,74.5,48.0,26.5,615.0,0.0,1022604.0,121777.0,34951.0,471.0,369.0,564.0,92.0,1115.0,3.0,48.0,19.0,42.67,152.43,102.72,Aug,18.42,254.0
