pair,county_fips,a_only,shared,b_only,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48039,523,346,0,869,60.18,Brazoria,Upper Coast,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48041,415,244,0,659,62.97,Brazos,East Texas,0.1,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48043,369,220,0,589,62.65,Brewster,Trans-Pecos,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48045,427,208,0,635,67.24,Briscoe,High Plains,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48047,252,46,0,298,84.56,Brooks,South Texas,70.2,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48049,380,170,0,550,69.09,Brown,North Central,9.7,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48051,423,204,0,627,67.46,Burleson,South Central,18.9,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48053,470,290,0,760,61.84,Burnet,Edwards Plateau,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48055,554,386,0,940,58.94,Caldwell,South Central,0.1,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48057,514,258,0,772,66.58,Calhoun,Upper Coast,0.1,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48059,358,210,0,568,63.03,Callahan,North Central,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48061,582,437,0,1019,57.11,Cameron,Lower Valley,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48063,381,179,0,560,68.04,Camp,East Texas,82.5,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48065,456,152,0,608,75.0,Carson,High Plains,77.3,False,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48067,326,164,0,490,66.53,Cass,East Texas,0.6,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48069,339,152,0,491,69.04,Castro,High Plains,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48071,320,117,0,437,73.23,Chambers,Upper Coast,0.3,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48073,334,120,0,454,73.57,Cherokee,East Texas,0.2,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48075,449,202,0,651,68.97,Childress,Low Rolling Plains,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48077,385,137,0,522,73.75,Clay,North Central,100.0,True,False
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48079,378,189,0,567,66.67,Cochran,High Plains,0.0,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48081,324,158,0,482,67.22,Coke,Edwards Plateau,0.3,False,True
TMAX_P85_2D_w15_vs_TMAX_P95_2D_w15,48083,443,278,0,721,61.44,Coleman,Low Rolling Plains,0.0,False,True
