state,run_a,run_b,definition_a,definition_b,window_a,window_b,n_axes_differing,axes_differing,single_axis,heatwave_days_a_QA_pooled,heatwave_days_b_QA_pooled,county_dates_shared,county_dates_a_only,county_dates_b_only,jaccard_day_level,dice_day_level,pct_of_a_also_in_b,pct_of_b_also_in_a,count_ratio_b_over_a,county_rank_spearman
TX,MHI_P95_2D__w15,TMIN_P95_2D__w15,MHI_P95_2D,TMIN_P95_2D,w15,w15,1,metric,metric,52786,61496,33984,18802,27512,0.4232,0.5947,64.38,55.26,1.165,0.8164
TX,MHI_P95_2D__month,TMIN_P95_2D__month,MHI_P95_2D,TMIN_P95_2D,month,month,1,metric,metric,53273,61903,34861,18412,27042,0.4341,0.6054,65.44,56.32,1.162,0.8137
TX,MHI_P85_2D__w15,TMAX_P85_2D__w15,MHI_P85_2D,TMAX_P85_2D,w15,w15,1,metric,metric,170894,161004,102789,68105,58215,0.4486,0.6194,60.15,63.84,0.9421,0.7143
TX,TMIN_P90_3D__month_pm7,TMIN_P95_3D__month_pm7,TMIN_P90_3D,TMIN_P95_3D,month_pm7,month_pm7,1,percentile,percentile,87272,39412,39412,47860,0,0.4516,0.6222,45.16,100.0,0.4516,0.9524
TX,MHI_P95_2D__month_pm7,MHI_P90_2D__month_pm7,MHI_P95_2D,MHI_P90_2D,month_pm7,month_pm7,1,percentile,percentile,45107,99482,45107,0,54375,0.4534,0.6239,100.0,45.34,2.2055,0.9675
TX,TMAX_P90_3D__month_pm7,TMAX_P95_3D__month_pm7,TMAX_P90_3D,TMAX_P95_3D,month_pm7,month_pm7,1,percentile,percentile,72426,32851,32851,39575,0,0.4536,0.6241,45.36,100.0,0.4536,0.9413
TX,MHI_P85_2D__w05,TMAX_P85_2D__w05,MHI_P85_2D,TMAX_P85_2D,w05,w05,1,metric,metric,177271,166682,107538,69733,59144,0.4549,0.6253,60.66,64.52,0.9403,0.7104
TX,MHI_P85_2D__month_pm7,TMAX_P85_2D__month_pm7,MHI_P85_2D,TMAX_P85_2D,month_pm7,month_pm7,1,metric,metric,159534,148222,96304,63230,51918,0.4554,0.6258,60.37,64.97,0.9291,0.7496
TX,TMIN_P90_3D__w05,MHI_P90_3D__w05,TMIN_P90_3D,MHI_P90_3D,w05,w05,1,metric,metric,95876,82824,56476,39400,26348,0.4621,0.6321,58.91,68.19,0.8639,0.8229
TX,TMIN_P90_3D__w15,MHI_P90_3D__w15,TMIN_P90_3D,MHI_P90_3D,w15,w15,1,metric,metric,91133,77785,53393,37740,24392,0.4622,0.6322,58.59,68.64,0.8535,0.8094
TX,TMIN_P90_3D__month,TMIN_P95_3D__month,TMIN_P90_3D,TMIN_P95_3D,month,month,1,percentile,percentile,93161,43309,43309,49852,0,0.4649,0.6347,46.49,100.0,0.4649,0.9493
