definition_id,metric,percentile,minimum_duration,window,month,heatwave_days,eligible_days,heatwave_days_per_1000_eligible_county_days,month_share_pct_of_all_heatwave_days,is_jun_sep
MHI_P90_3D,MHI,90,3,month_pm7,5,4529,86614,52.289,6.38,False
MHI_P90_3D,MHI,90,3,month_pm7,6,7197,83820,85.863,10.13,True
MHI_P90_3D,MHI,90,3,month_pm7,7,6929,86614,79.999,9.76,True
MHI_P90_3D,MHI,90,3,month_pm7,8,10309,86614,119.022,14.52,True
MHI_P90_3D,MHI,90,3,month_pm7,9,4692,83820,55.977,6.61,True
MHI_P90_3D,MHI,90,3,month_pm7,10,5880,86611,67.89,8.28,False
MHI_P90_3D,MHI,90,3,month_pm7,11,5772,83820,68.862,8.13,False
MHI_P90_3D,MHI,90,3,month_pm7,12,9250,86614,106.796,13.03,False
MHI_P90_3D,MHI,90,3,w05,1,3671,86612,42.384,4.43,False
MHI_P90_3D,MHI,90,3,w05,2,6437,78990,81.491,7.77,False
MHI_P90_3D,MHI,90,3,w05,3,5732,86526,66.246,6.92,False
MHI_P90_3D,MHI,90,3,w05,4,3170,83820,37.819,3.83,False
MHI_P90_3D,MHI,90,3,w05,5,6752,86614,77.955,8.15,False
MHI_P90_3D,MHI,90,3,w05,6,6994,83820,83.441,8.44,True
MHI_P90_3D,MHI,90,3,w05,7,7511,86614,86.718,9.07,True
MHI_P90_3D,MHI,90,3,w05,8,8722,86614,100.7,10.53,True
MHI_P90_3D,MHI,90,3,w05,9,8382,83820,100.0,10.12,True
MHI_P90_3D,MHI,90,3,w05,10,8094,86611,93.452,9.77,False
MHI_P90_3D,MHI,90,3,w05,11,5807,83820,69.279,7.01,False
MHI_P90_3D,MHI,90,3,w05,12,11552,86614,133.373,13.95,False
MHI_P90_3D,MHI,90,3,w15,1,3558,86612,41.08,4.57,False
MHI_P90_3D,MHI,90,3,w15,2,6325,78990,80.073,8.13,False
MHI_P90_3D,MHI,90,3,w15,3,5272,86526,60.93,6.78,False
MHI_P90_3D,MHI,90,3,w15,4,2925,83820,34.896,3.76,False
MHI_P90_3D,MHI,90,3,w15,5,5930,86614,68.465,7.62,False
MHI_P90_3D,MHI,90,3,w15,6,6728,83820,80.267,8.65,True
MHI_P90_3D,MHI,90,3,w15,7,7218,86614,83.335,9.28,True
MHI_P90_3D,MHI,90,3,w15,8,8601,86614,99.303,11.06,True
MHI_P90_3D,MHI,90,3,w15,9,7951,83820,94.858,10.22,True
MHI_P90_3D,MHI,90,3,w15,10,7419,86611,85.659,9.54,False
MHI_P90_3D,MHI,90,3,w15,11,5122,83820,61.107,6.58,False
MHI_P90_3D,MHI,90,3,w15,12,10736,86614,123.952,13.8,False
MHI_P95_2D,MHI,95,2,month,1,2603,86612,30.054,4.89,False
MHI_P95_2D,MHI,95,2,month,2,4855,78990,61.463,9.11,False
MHI_P95_2D,MHI,95,2,month,3,4301,86526,49.708,8.07,False
MHI_P95_2D,MHI,95,2,month,4,2344,83820,27.965,4.4,False
MHI_P95_2D,MHI,95,2,month,5,3486,86614,40.248,6.54,False
MHI_P95_2D,MHI,95,2,month,6,4568,83820,54.498,8.57,True
MHI_P95_2D,MHI,95,2,month,7,4366,86614,50.408,8.2,True
MHI_P95_2D,MHI,95,2,month,8,5787,86614,66.814,10.86,True
MHI_P95_2D,MHI,95,2,month,9,4025,83820,48.02,7.56,True
MHI_P95_2D,MHI,95,2,month,10,4372,86611,50.479,8.21,False
MHI_P95_2D,MHI,95,2,month,11,5085,83820,60.666,9.55,False
MHI_P95_2D,MHI,95,2,month,12,7481,86614,86.372,14.04,False
MHI_P95_2D,MHI,95,2,month_pm7,1,2280,86612,26.324,5.05,False
MHI_P95_2D,MHI,95,2,month_pm7,2,4710,78990,59.628,10.44,False
MHI_P95_2D,MHI,95,2,month_pm7,3,3613,86526,41.756,8.01,False
MHI_P95_2D,MHI,95,2,month_pm7,4,1396,83820,16.655,3.09,False
MHI_P95_2D,MHI,95,2,month_pm7,5,2268,86614,26.185,5.03,False
MHI_P95_2D,MHI,95,2,month_pm7,6,4338,83820,51.754,9.62,True
MHI_P95_2D,MHI,95,2,month_pm7,7,4242,86614,48.976,9.4,True
MHI_P95_2D,MHI,95,2,month_pm7,8,6515,86614,75.219,14.44,True
MHI_P95_2D,MHI,95,2,month_pm7,9,2516,83820,30.017,5.58,True
MHI_P95_2D,MHI,95,2,month_pm7,10,2780,86611,32.098,6.16,False
MHI_P95_2D,MHI,95,2,month_pm7,11,3831,83820,45.705,8.49,False
MHI_P95_2D,MHI,95,2,month_pm7,12,6618,86614,76.408,14.67,False
MHI_P95_2D,MHI,95,2,w05,1,2872,86612,33.159,4.88,False
MHI_P95_2D,MHI,95,2,w05,2,5687,78990,71.996,9.66,False
MHI_P95_2D,MHI,95,2,w05,3,4458,86526,51.522,7.57,False
MHI_P95_2D,MHI,95,2,w05,4,2513,83820,29.981,4.27,False
MHI_P95_2D,MHI,95,2,w05,5,4261,86614,49.195,7.24,False
MHI_P95_2D,MHI,95,2,w05,6,4503,83820,53.722,7.65,True
MHI_P95_2D,MHI,95,2,w05,7,4977,86614,57.462,8.45,True
MHI_P95_2D,MHI,95,2,w05,8,5892,86614,68.026,10.01,True
MHI_P95_2D,MHI,95,2,w05,9,5351,83820,63.839,9.09,True
MHI_P95_2D,MHI,95,2,w05,10,5320,86611,61.424,9.03,False
MHI_P95_2D,MHI,95,2,w05,11,4722,83820,56.335,8.02,False
MHI_P95_2D,MHI,95,2,w05,12,8334,86614,96.22,14.15,False
MHI_P95_2D,MHI,95,2,w15,1,2698,86612,31.15,5.11,False
MHI_P95_2D,MHI,95,2,w15,2,5549,78990,70.249,10.51,False
MHI_P95_2D,MHI,95,2,w15,3,3740,86526,43.224,7.09,False
MHI_P95_2D,MHI,95,2,w15,4,2206,83820,26.318,4.18,False
MHI_P95_2D,MHI,95,2,w15,5,3503,86614,40.444,6.64,False
MHI_P95_2D,MHI,95,2,w15,6,4100,83820,48.914,7.77,True
MHI_P95_2D,MHI,95,2,w15,7,4593,86614,53.028,8.7,True
MHI_P95_2D,MHI,95,2,w15,8,5649,86614,65.22,10.7,True
MHI_P95_2D,MHI,95,2,w15,9,4793,83820,57.182,9.08,True
MHI_P95_2D,MHI,95,2,w15,10,4398,86611,50.779,8.33,False
MHI_P95_2D,MHI,95,2,w15,11,3933,83820,46.922,7.45,False
MHI_P95_2D,MHI,95,2,w15,12,7624,86614,88.023,14.44,False
TMAX_P85_2D,TMAX,85,2,month,1,8863,86614,102.328,5.6,False
TMAX_P85_2D,TMAX,85,2,month,2,12834,78994,162.468,8.1,False
TMAX_P85_2D,TMAX,85,2,month,3,12922,86614,149.191,8.16,False
TMAX_P85_2D,TMAX,85,2,month,4,7243,83820,86.411,4.57,False
TMAX_P85_2D,TMAX,85,2,month,5,12411,86614,143.291,7.84,False
TMAX_P85_2D,TMAX,85,2,month,6,12982,83820,154.88,8.2,True
TMAX_P85_2D,TMAX,85,2,month,7,15162,86614,175.053,9.58,True
TMAX_P85_2D,TMAX,85,2,month,8,17032,86614,196.643,10.76,True
TMAX_P85_2D,TMAX,85,2,month,9,12471,83820,148.783,7.88,True
TMAX_P85_2D,TMAX,85,2,month,10,17716,86614,204.54,11.19,False
TMAX_P85_2D,TMAX,85,2,month,11,12451,83820,148.545,7.86,False
TMAX_P85_2D,TMAX,85,2,month,12,16262,86614,187.753,10.27,False
TMAX_P85_2D,TMAX,85,2,month_pm7,1,8786,86614,101.439,5.93,False
TMAX_P85_2D,TMAX,85,2,month_pm7,2,12706,78994,160.848,8.57,False
TMAX_P85_2D,TMAX,85,2,month_pm7,3,11886,86614,137.23,8.02,False
TMAX_P85_2D,TMAX,85,2,month_pm7,4,6893,83820,82.236,4.65,False
TMAX_P85_2D,TMAX,85,2,month_pm7,5,11378,86614,131.364,7.68,False
TMAX_P85_2D,TMAX,85,2,month_pm7,6,13261,83820,158.208,8.95,True
TMAX_P85_2D,TMAX,85,2,month_pm7,7,14624,86614,168.841,9.87,True
TMAX_P85_2D,TMAX,85,2,month_pm7,8,17577,86614,202.935,11.86,True
TMAX_P85_2D,TMAX,85,2,month_pm7,9,9908,83820,118.206,6.68,True
TMAX_P85_2D,TMAX,85,2,month_pm7,10,15167,86614,175.11,10.23,False
TMAX_P85_2D,TMAX,85,2,month_pm7,11,11080,83820,132.188,7.48,False
TMAX_P85_2D,TMAX,85,2,month_pm7,12,14956,86614,172.674,10.09,False
TMAX_P85_2D,TMAX,85,2,w05,1,9333,86614,107.754,5.6,False
TMAX_P85_2D,TMAX,85,2,w05,2,13614,78994,172.342,8.17,False
TMAX_P85_2D,TMAX,85,2,w05,3,13651,86614,157.607,8.19,False
TMAX_P85_2D,TMAX,85,2,w05,4,8112,83820,96.779,4.87,False
TMAX_P85_2D,TMAX,85,2,w05,5,13188,86614,152.262,7.91,False
TMAX_P85_2D,TMAX,85,2,w05,6,13141,83820,156.776,7.88,True
TMAX_P85_2D,TMAX,85,2,w05,7,15570,86614,179.763,9.34,True
TMAX_P85_2D,TMAX,85,2,w05,8,16815,86614,194.137,10.09,True
TMAX_P85_2D,TMAX,85,2,w05,9,15195,83820,181.281,9.12,True
TMAX_P85_2D,TMAX,85,2,w05,10,18740,86614,216.362,11.24,False
TMAX_P85_2D,TMAX,85,2,w05,11,12006,83820,143.236,7.2,False
TMAX_P85_2D,TMAX,85,2,w05,12,17317,86614,199.933,10.39,False
TMAX_P85_2D,TMAX,85,2,w15,1,9191,86614,106.114,5.71,False
TMAX_P85_2D,TMAX,85,2,w15,2,13260,78994,167.861,8.24,False
TMAX_P85_2D,TMAX,85,2,w15,3,12922,86614,149.191,8.03,False
TMAX_P85_2D,TMAX,85,2,w15,4,7808,83820,93.152,4.85,False
TMAX_P85_2D,TMAX,85,2,w15,5,12573,86614,145.161,7.81,False
TMAX_P85_2D,TMAX,85,2,w15,6,13093,83820,156.204,8.13,True
TMAX_P85_2D,TMAX,85,2,w15,7,15073,86614,174.025,9.36,True
TMAX_P85_2D,TMAX,85,2,w15,8,16720,86614,193.04,10.38,True
TMAX_P85_2D,TMAX,85,2,w15,9,14775,83820,176.271,9.18,True
TMAX_P85_2D,TMAX,85,2,w15,10,17424,86614,201.168,10.82,False
TMAX_P85_2D,TMAX,85,2,w15,11,11385,83820,135.827,7.07,False
TMAX_P85_2D,TMAX,85,2,w15,12,16780,86614,193.733,10.42,False
TMAX_P85_3D,TMAX,85,3,month,1,5342,86614,61.676,4.29,False
TMAX_P85_3D,TMAX,85,3,month,2,8803,78994,111.439,7.07,False
TMAX_P85_3D,TMAX,85,3,month,3,9360,86614,108.066,7.52,False
TMAX_P85_3D,TMAX,85,3,month,4,3260,83820,38.893,2.62,False
TMAX_P85_3D,TMAX,85,3,month,5,10818,86614,124.899,8.69,False
TMAX_P85_3D,TMAX,85,3,month,6,10977,83820,130.959,8.81,True
TMAX_P85_3D,TMAX,85,3,month,7,13571,86614,156.684,10.9,True
TMAX_P85_3D,TMAX,85,3,month,8,15226,86614,175.791,12.23,True
TMAX_P85_3D,TMAX,85,3,month,9,10165,83820,121.272,8.16,True
TMAX_P85_3D,TMAX,85,3,month,10,14145,86614,163.311,11.36,False
TMAX_P85_3D,TMAX,85,3,month,11,9607,83820,114.615,7.71,False
TMAX_P85_3D,TMAX,85,3,month,12,13257,86614,153.058,10.65,False
TMAX_P85_3D,TMAX,85,3,month_pm7,1,5270,86614,60.845,4.56,False
TMAX_P85_3D,TMAX,85,3,month_pm7,2,8655,78994,109.565,7.48,False
TMAX_P85_3D,TMAX,85,3,month_pm7,3,8524,86614,98.414,7.37,False
TMAX_P85_3D,TMAX,85,3,month_pm7,4,3007,83820,35.874,2.6,False
TMAX_P85_3D,TMAX,85,3,month_pm7,5,9925,86614,114.589,8.58,False
TMAX_P85_3D,TMAX,85,3,month_pm7,6,11265,83820,134.395,9.74,True
TMAX_P85_3D,TMAX,85,3,month_pm7,7,13053,86614,150.703,11.28,True
TMAX_P85_3D,TMAX,85,3,month_pm7,8,15723,86614,181.53,13.59,True
TMAX_P85_3D,TMAX,85,3,month_pm7,9,7909,83820,94.357,6.84,True
TMAX_P85_3D,TMAX,85,3,month_pm7,10,11799,86614,136.225,10.2,False
TMAX_P85_3D,TMAX,85,3,month_pm7,11,8416,83820,100.406,7.28,False
TMAX_P85_3D,TMAX,85,3,month_pm7,12,12132,86614,140.07,10.49,False
TMAX_P85_3D,TMAX,85,3,w05,1,5832,86614,67.333,4.48,False
TMAX_P85_3D,TMAX,85,3,w05,2,9486,78994,120.085,7.29,False
TMAX_P85_3D,TMAX,85,3,w05,3,9614,86614,110.998,7.39,False
TMAX_P85_3D,TMAX,85,3,w05,4,3886,83820,46.361,2.99,False
TMAX_P85_3D,TMAX,85,3,w05,5,11008,86614,127.093,8.46,False
TMAX_P85_3D,TMAX,85,3,w05,6,11096,83820,132.379,8.53,True
TMAX_P85_3D,TMAX,85,3,w05,7,13840,86614,159.789,10.64,True
TMAX_P85_3D,TMAX,85,3,w05,8,14838,86614,171.312,11.4,True
TMAX_P85_3D,TMAX,85,3,w05,9,12860,83820,153.424,9.88,True
TMAX_P85_3D,TMAX,85,3,w05,10,15077,86614,174.071,11.59,False
TMAX_P85_3D,TMAX,85,3,w05,11,8490,83820,101.288,6.52,False
TMAX_P85_3D,TMAX,85,3,w05,12,14091,86614,162.687,10.83,False
TMAX_P85_3D,TMAX,85,3,w15,1,5671,86614,65.474,4.54,False
TMAX_P85_3D,TMAX,85,3,w15,2,9183,78994,116.249,7.36,False
TMAX_P85_3D,TMAX,85,3,w15,3,8972,86614,103.586,7.19,False
TMAX_P85_3D,TMAX,85,3,w15,4,3637,83820,43.391,2.91,False
TMAX_P85_3D,TMAX,85,3,w15,5,10531,86614,121.585,8.44,False
TMAX_P85_3D,TMAX,85,3,w15,6,11055,83820,131.89,8.86,True
TMAX_P85_3D,TMAX,85,3,w15,7,13353,86614,154.167,10.7,True
TMAX_P85_3D,TMAX,85,3,w15,8,14790,86614,170.758,11.85,True
TMAX_P85_3D,TMAX,85,3,w15,9,12472,83820,148.795,9.99,True
TMAX_P85_3D,TMAX,85,3,w15,10,13910,86614,160.598,11.14,False
TMAX_P85_3D,TMAX,85,3,w15,11,7778,83820,92.794,6.23,False
TMAX_P85_3D,TMAX,85,3,w15,12,13460,86614,155.402,10.78,False
TMAX_P90_2D,TMAX,90,2,month,1,5588,86614,64.516,5.23,False
TMAX_P90_2D,TMAX,90,2,month,2,8635,78994,109.312,8.09,False
TMAX_P90_2D,TMAX,90,2,month,3,8573,86614,98.979,8.03,False
TMAX_P90_2D,TMAX,90,2,month,4,3873,83820,46.206,3.63,False
TMAX_P90_2D,TMAX,90,2,month,5,8785,86614,101.427,8.23,False
TMAX_P90_2D,TMAX,90,2,month,6,8310,83820,99.141,7.78,True
TMAX_P90_2D,TMAX,90,2,month,7,10671,86614,123.202,9.99,True
TMAX_P90_2D,TMAX,90,2,month,8,12752,86614,147.228,11.94,True
TMAX_P90_2D,TMAX,90,2,month,9,7541,83820,89.967,7.06,True
TMAX_P90_2D,TMAX,90,2,month,10,11686,86614,134.92,10.95,False
TMAX_P90_2D,TMAX,90,2,month,11,8667,83820,103.4,8.12,False
TMAX_P90_2D,TMAX,90,2,month,12,11688,86614,134.944,10.95,False
TMAX_P90_2D,TMAX,90,2,month_pm7,1,5450,86614,62.923,5.59,False
TMAX_P90_2D,TMAX,90,2,month_pm7,2,8565,78994,108.426,8.79,False
TMAX_P90_2D,TMAX,90,2,month_pm7,3,7585,86614,87.572,7.78,False
TMAX_P90_2D,TMAX,90,2,month_pm7,4,3478,83820,41.494,3.57,False
TMAX_P90_2D,TMAX,90,2,month_pm7,5,7674,86614,88.6,7.87,False
TMAX_P90_2D,TMAX,90,2,month_pm7,6,8529,83820,101.754,8.75,True
TMAX_P90_2D,TMAX,90,2,month_pm7,7,10200,86614,117.764,10.46,True
TMAX_P90_2D,TMAX,90,2,month_pm7,8,13073,86614,150.934,13.41,True
TMAX_P90_2D,TMAX,90,2,month_pm7,9,5762,83820,68.743,5.91,True
TMAX_P90_2D,TMAX,90,2,month_pm7,10,9201,86614,106.23,9.44,False
TMAX_P90_2D,TMAX,90,2,month_pm7,11,7444,83820,88.809,7.64,False
TMAX_P90_2D,TMAX,90,2,month_pm7,12,10517,86614,121.424,10.79,False
TMAX_P90_2D,TMAX,90,2,w05,1,5929,86614,68.453,5.17,False
TMAX_P90_2D,TMAX,90,2,w05,2,9410,78994,119.123,8.21,False
TMAX_P90_2D,TMAX,90,2,w05,3,8939,86614,103.205,7.8,False
TMAX_P90_2D,TMAX,90,2,w05,4,4733,83820,56.466,4.13,False
TMAX_P90_2D,TMAX,90,2,w05,5,9187,86614,106.068,8.02,False
TMAX_P90_2D,TMAX,90,2,w05,6,8702,83820,103.818,7.59,True
TMAX_P90_2D,TMAX,90,2,w05,7,11029,86614,127.335,9.62,True
TMAX_P90_2D,TMAX,90,2,w05,8,12555,86614,144.953,10.96,True
TMAX_P90_2D,TMAX,90,2,w05,9,9897,83820,118.074,8.64,True
TMAX_P90_2D,TMAX,90,2,w05,10,13310,86614,153.67,11.61,False
