pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48201,406,300,314,1020,69.22,Harris,Upper Coast,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48203,327,167,125,619,79.81,Harrison,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48205,402,201,122,725,83.17,Hartley,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48207,203,197,137,537,74.49,Haskell,Low Rolling Plains,11.8,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48209,272,288,156,716,78.21,Hays,South Central,0.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48211,159,315,158,632,75.0,Hemphill,High Plains,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48213,194,386,168,748,77.54,Henderson,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48215,446,314,266,1026,74.07,Hidalgo,Lower Valley,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48217,264,183,221,668,66.92,Hill,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48219,149,279,81,509,84.09,Hockley,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48221,279,401,244,924,73.59,Hood,North Central,0.5,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48223,142,391,160,693,76.91,Hopkins,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48225,182,248,167,597,72.03,Houston,East Texas,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48227,243,217,152,612,75.16,Howard,High Plains,0.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48229,522,588,266,1376,80.67,Hudspeth,Trans-Pecos,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48231,235,341,196,772,74.61,Hunt,North Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48233,332,183,177,692,74.42,Hutchinson,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48235,354,210,185,749,75.3,Irion,Edwards Plateau,22.7,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48237,216,158,105,479,78.08,Jack,North Central,6.3,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48239,347,396,286,1029,72.21,Jackson,Upper Coast,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48241,218,392,218,828,73.67,Jasper,East Texas,5.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48243,245,304,417,966,56.83,Jeff Davis,Trans-Pecos,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48245,274,392,238,904,73.67,Jefferson,Upper Coast,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48247,103,243,93,439,78.82,Jim Hogg,South Texas,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48249,314,253,135,702,80.77,Jim Wells,South Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48251,165,211,137,513,73.29,Johnson,North Central,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48253,254,192,139,585,76.24,Jones,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48255,206,278,141,625,77.44,Karnes,South Central,100.0,True,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48257,176,298,170,644,73.6,Kaufman,North Central,0.6,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48259,408,391,310,1109,72.05,Kendall,Edwards Plateau,0.8,False,True
