state,run_id,definition_id,def_number,metric,percentile,minimum_duration_days,window,window_label,counties_total,counties_with_any_heatwave_day,counties_with_zero_heatwave_days,eligible_county_days_QA_pooled,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,heatwave_days_per_1000_eligible_QA_pooled,per_county_heatwave_days_2015_2025_median,per_county_heatwave_days_2015_2025_q25,per_county_heatwave_days_2015_2025_q75,per_county_heatwave_days_2015_2025_min,per_county_heatwave_days_2015_2025_max,event_duration_days_median,event_duration_days_q75,event_duration_days_max,events_of_2_days,events_of_3_days,events_7_days_or_more,events_at_or_over_review_length,events_crossing_a_month_boundary,events_crossing_a_year_boundary,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,pct_heatwave_days_in_jun_sep,peak_month_by_rate,heatwave_days_imputed_QA_pooled,pct_heatwave_days_imputed,artifact_county_days_excluded,reference_method,season_rule,absolute_floor,comparison_op
TX,TMAX_P85_2D__month_pm7,TMAX_P85_2D,5,TMAX,85,2,month_pm7,calendar month +/- 7 days,254,254,0,1020572,148222,39146,145.23,564.5,494.0,660.0,185,1074,3.0,4.0,69,16272,8955,4249,164,1870,226,162.44,136.61,37.36,Aug,23765,16.03,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_2D__w05,TMIN_P85_2D,6,TMIN,85,2,w05,centered 5-day window (+/-2 days),254,254,0,1020572,187198,49657,183.42,726.5,602.25,861.75,172,1477,3.0,4.0,50,19541,11244,5533,67,3992,263,224.11,163.02,40.81,Aug,35318,18.87,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_2D__w15,TMIN_P85_2D,6,TMIN,85,2,w15,centered 15-day window (+/-7 days),254,254,0,1020572,181444,48193,177.79,701.0,584.25,841.25,156,1452,3.0,4.0,66,19212,10686,5371,68,3775,319,219.13,157.05,41.17,Aug,34308,18.91,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_2D__month,TMIN_P85_2D,6,TMIN,85,2,month,calendar-month bucket,254,254,0,1020572,182251,47608,178.58,709.0,594.0,844.5,167,1423,3.0,5.0,66,18507,10362,5580,76,2723,209,222.13,156.73,41.55,Aug,34380,18.86,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_2D__month_pm7,TMIN_P85_2D,6,TMIN,85,2,month_pm7,calendar month +/- 7 days,254,254,0,1020572,174134,45727,170.62,681.0,554.75,813.25,156,1319,3.0,5.0,66,18005,9895,5235,82,2628,198,219.1,146.32,42.89,Aug,32544,18.69,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_2D__w05,TMAX_P95_2D,7,TMAX,95,2,w05,centered 5-day window (+/-2 days),254,254,0,1020572,62917,19095,61.65,235.0,187.0,296.5,34,556,3.0,4.0,46,9470,4261,1355,27,907,140,69.81,57.56,37.82,Aug,9033,14.36,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_2D__w15,TMAX_P95_2D,7,TMAX,95,2,w15,centered 15-day window (+/-7 days),254,254,0,1020572,56576,17405,55.44,210.5,169.25,262.75,27,501,2.0,4.0,44,8850,3821,1128,25,851,126,64.99,50.64,39.16,Aug,7913,13.99,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_2D__month,TMAX_P95_2D,7,TMAX,95,2,month,calendar-month bucket,254,254,0,1020572,55270,16898,54.16,207.5,164.0,261.25,31,480,3.0,4.0,46,8422,3817,1002,29,442,107,62.41,50.02,38.49,Aug,7893,14.28,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P95_2D__month_pm7,TMAX_P95_2D,7,TMAX,95,2,month_pm7,calendar month +/- 7 days,254,254,0,1020572,48059,14880,47.09,182.0,141.0,224.0,21,417,2.0,4.0,46,7604,3362,821,31,412,91,59.03,41.1,41.87,Aug,6714,13.97,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_2D__w05,TMIN_P95_2D,8,TMIN,95,2,w05,centered 5-day window (+/-2 days),254,254,0,1020572,67525,21010,66.16,254.0,190.25,325.0,29,728,3.0,4.0,48,10213,4772,1118,3,1323,54,87.19,55.62,44.01,Aug,12117,17.94,0,walk_forward_1979_to_Yminus1,year_round,none,>
