county_fips,year,classified_dates,events_started
48111,2019,5,1
48111,2020,8,2
48111,2021,9,2
48111,2022,8,2
48111,2023,14,4
48111,2024,12,2
48111,2025,12,3
48113,2017,5,1
48113,2018,6,1
48113,2021,8,2
48113,2022,3,1
48113,2023,16,4
48113,2025,9,2
48115,2016,3,1
48115,2018,3,1
48115,2019,3,1
48115,2020,7,2
48115,2021,4,1
48115,2023,7,2
48115,2024,7,2
48115,2025,12,3
48117,2015,3,1
48117,2016,10,3
48117,2017,6,2
48117,2018,12,3
48117,2019,7,2
48117,2020,6,1
48117,2022,8,2
48117,2023,3,1
48117,2024,7,2
48117,2025,13,3
48119,2015,12,3
48119,2016,4,1
48119,2018,4,1
48119,2020,3,1
48119,2021,10,2
48119,2022,9,3
48119,2023,7,2
48119,2024,4,1
48119,2025,15,3
48121,2016,3,1
48121,2017,7,2
48121,2018,5,1
48121,2021,6,1
48121,2022,10,3
48121,2023,23,6
48121,2024,6,2
48121,2025,11,2
48123,2015,8,2
48123,2016,9,2
48123,2017,6,2
48123,2018,17,3
48123,2020,14,3
48123,2021,3,1
48123,2022,26,6
48123,2023,42,7
48123,2024,35,8
48123,2025,28,6
48125,2019,3,1
48125,2020,4,1
48125,2021,3,1
48125,2022,12,4
48125,2023,9,3
48125,2024,6,1
48125,2025,9,2
48127,2018,3,1
48127,2020,5,1
48127,2022,3,1
48127,2023,25,3
48127,2024,10,3
48127,2025,18,4
48129,2015,3,1
48129,2016,3,1
48129,2021,4,1
48129,2024,7,2
48129,2025,6,1
48131,2017,3,1
48131,2019,4,1
48131,2021,3,1
48131,2022,7,1
48131,2023,43,6
48131,2024,10,3
48131,2025,27,7
48133,2018,8,2
48133,2020,3,1
48133,2021,6,1
48133,2022,30,6
48133,2023,31,5
48133,2024,8,2
48133,2025,15,3
48135,2016,6,2
48135,2017,7,2
48135,2019,4,1
48135,2020,10,3
48135,2021,5,1
48135,2022,6,2
48135,2023,34,9
48135,2024,3,1
48135,2025,14,3
48137,2020,3,1
48137,2021,8,3
48137,2022,1,0
48137,2023,3,1
48137,2024,6,2
48137,2025,15,3
48139,2016,3,1
48139,2018,7,1
48139,2021,10,2
48139,2022,37,7
48139,2023,7,2
48139,2025,17,4
48141,2017,21,4
48141,2018,6,2
48141,2019,3,1
48141,2020,19,5
48141,2021,4,1
48141,2022,3,1
48141,2023,17,4
48141,2024,6,2
48141,2025,22,3
48143,2015,3,1
48143,2016,7,2
48143,2017,3,1
48143,2018,9,2
48143,2021,6,1
48143,2022,31,6
48143,2023,37,7
48143,2025,15,3
48145,2015,3,1
48145,2018,4,1
48145,2020,3,1
48145,2021,6,1
48145,2022,25,6
48145,2023,24,3
48145,2024,4,1
48145,2025,9,3
48147,2015,4,1
48147,2016,5,1
48147,2018,3,1
48147,2020,3,1
48147,2021,5,1
48147,2023,4,1
48147,2024,11,3
48147,2025,11,2
48149,2015,8,2
48149,2016,8,2
48149,2017,9,3
48149,2020,7,2
48149,2021,4,1
48149,2022,24,5
48149,2023,25,4
48149,2024,16,4
48149,2025,15,4
48151,2017,3,1
48151,2018,6,1
48151,2019,3,1
48151,2020,7,2
48151,2021,4,1
48151,2024,5,1
48151,2025,9,2
48153,2020,10,3
48153,2023,6,2
48153,2024,6,2
48153,2025,12,3
48155,2015,3,1
48155,2016,3,1
48155,2017,3,1
48155,2018,8,2
48155,2019,3,1
48155,2020,10,3
48155,2021,13,4
48155,2022,13,4
48155,2023,13,3
48155,2024,18,4
48155,2025,15,3
48157,2016,5,1
48157,2017,6,2
48157,2018,10,3
48157,2020,4,1
48157,2021,12,2
48157,2022,10,2
48157,2023,42,6
48157,2024,9,3
48157,2025,23,5
48159,2016,3,1
48159,2017,9,3
48159,2018,4,1
48159,2019,3,1
48159,2020,4,1
48159,2021,3,1
48159,2022,3,1
48159,2023,3,1
48159,2024,4,1
48159,2025,12,4
48161,2015,5,1
48161,2018,4,1
48161,2020,3,1
48161,2021,6,1
48161,2022,3,1
48161,2023,12,3
48161,2024,6,1
48161,2025,10,3
48163,2015,5,1
48163,2017,11,3
48163,2023,12,3
48165,2016,3,1
48165,2017,5,1
48165,2020,14,3
48165,2021,5,1
48165,2022,3,1
48165,2023,9,3
48165,2024,3,1
48165,2025,14,3
48167,2015,12,3
48167,2016,6,1
48167,2017,22,6
48167,2018,14,4
48167,2020,15,3
48167,2021,16,3
48167,2022,26,6
48167,2023,12,2
48167,2025,7,1
48169,2016,7,2
48169,2017,6,2
48169,2018,8,2
48169,2019,4,1
48169,2020,9,2
48169,2022,10,3
48169,2023,27,6
48169,2024,11,3
48169,2025,9,2
48171,2015,4,1
48171,2022,12,4
48171,2023,20,3
48171,2024,10,2
48171,2025,6,2
48173,2017,3,1
48173,2018,5,1
48173,2019,3,1
48173,2020,9,2
48173,2021,5,1
48173,2022,6,2
48173,2023,28,6
48173,2024,5,1
48173,2025,17,4
