event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmean_f,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,n_imputed_days,event_contains_imputed_day,onset_year
48243_2024_003,48243,Jeff Davis,2024-06-13,2024-06-14,2.0,82.25,2024-06-14,99.0,82.4,20.2,81.4,99.02,82.25,0.87,0.89,0,False,2024
48243_2024_004,48243,Jeff Davis,2024-06-16,2024-06-19,4.0,85.59,2024-06-19,99.7,84.4,24.6,82.1,101.0,85.71,3.44,7.66,0,False,2024
48243_2024_005,48243,Jeff Davis,2024-06-28,2024-06-30,3.0,83.79,2024-06-30,97.3,82.2,27.4,82.9,98.0,83.39,0.89,1.68,0,False,2024
48243_2024_006,48243,Jeff Davis,2024-07-29,2024-07-31,3.0,84.23,2024-07-31,96.7,84.0,21.3,81.4,96.68,82.65,2.82,4.48,0,False,2024
48243_2024_007,48243,Jeff Davis,2024-08-22,2024-08-25,4.0,83.31,2024-08-22,97.6,85.8,13.2,80.5,97.64,83.38,2.82,7.06,0,False,2024
48243_2024_008,48243,Jeff Davis,2024-09-18,2024-09-22,5.0,81.86,2024-09-21,95.0,81.0,25.5,76.0,95.0,79.77,5.91,19.3,0,False,2024
48243_2024_009,48243,Jeff Davis,2024-10-11,2024-10-13,3.0,71.5,2024-10-13,87.0,73.5,5.8,70.1,87.38,73.3,1.43,2.7,0,False,2024
48243_2024_010,48243,Jeff Davis,2024-10-23,2024-10-25,3.0,72.86,2024-10-24,90.0,74.3,11.6,67.2,89.96,72.38,5.63,11.48,0,False,2024
48243_2024_011,48243,Jeff Davis,2024-10-28,2024-10-30,3.0,72.37,2024-10-29,84.7,74.2,10.8,65.3,85.64,72.88,7.04,17.37,0,False,2024
48243_2024_012,48243,Jeff Davis,2024-11-16,2024-11-17,2.0,65.13,2024-11-16,81.7,67.5,10.7,60.1,81.68,66.6,5.17,10.25,0,False,2024
48243_2024_013,48243,Jeff Davis,2024-11-24,2024-11-25,2.0,61.6,2024-11-24,76.7,64.5,7.8,58.8,76.7,63.5,2.76,3.94,0,False,2024
48243_2025_001,48243,Jeff Davis,2025-01-04,2025-01-05,2.0,57.53,2025-01-05,74.3,60.6,6.5,53.4,74.3,60.58,4.17,7.49,0,False,2025
48243_2025_002,48243,Jeff Davis,2025-02-03,2025-02-09,7.0,65.98,2025-02-08,84.0,68.7,2.1,55.9,84.32,66.54,10.82,58.12,0,False,2025
48243_2025_003,48243,Jeff Davis,2025-02-25,2025-02-26,2.0,60.98,2025-02-26,81.0,64.4,1.3,59.1,81.02,63.7,1.9,2.36,0,False,2025
48243_2025_004,48243,Jeff Davis,2025-04-12,2025-04-14,3.0,74.69,2025-04-13,90.5,76.8,1.6,68.3,90.5,75.1,6.43,14.35,0,False,2025
48243_2025_005,48243,Jeff Davis,2025-04-27,2025-04-29,3.0,75.28,2025-04-28,88.6,77.2,5.1,71.9,89.66,75.11,3.42,4.17,0,False,2025
48243_2025_006,48243,Jeff Davis,2025-05-23,2025-05-25,3.0,79.65,2025-05-24,95.0,81.8,4.9,78.4,95.36,81.0,1.25,2.37,0,False,2025
48243_2025_007,48243,Jeff Davis,2025-11-04,2025-11-05,2.0,65.25,2025-11-05,82.6,67.5,9.5,64.2,82.64,67.31,1.05,1.43,0,False,2025
48243_2025_008,48243,Jeff Davis,2025-11-12,2025-11-17,6.0,67.51,2025-11-16,85.0,69.1,19.3,60.2,84.98,66.21,7.34,18.64,0,False,2025
48243_2025_009,48243,Jeff Davis,2025-11-19,2025-11-20,2.0,61.34,2025-11-19,75.6,63.3,25.6,59.8,75.62,62.17,1.59,1.74,0,False,2025
48243_2025_010,48243,Jeff Davis,2025-12-12,2025-12-13,2.0,55.98,2025-12-12,69.6,59.0,11.9,54.8,72.32,58.25,1.15,1.33,0,False,2025
48243_2025_011,48243,Jeff Davis,2025-12-18,2025-12-28,11.0,63.65,2025-12-27,78.7,65.7,17.1,53.8,79.7,62.48,9.8,67.29,0,False,2025
48245_2015_001,48245,Jefferson,2015-04-08,2015-04-09,2.0,77.49,2015-04-08,83.0,77.1,53.6,76.5,83.21,76.86,1.01,1.13,0,False,2015
48245_2015_002,48245,Jefferson,2015-07-26,2015-07-27,2.0,99.05,2015-07-27,96.0,86.2,54.2,97.7,96.48,86.37,1.36,2.22,0,False,2015
48245_2015_003,48245,Jefferson,2015-07-30,2015-07-31,2.0,98.93,2015-07-30,99.0,87.8,41.9,97.8,99.0,87.15,1.15,1.3,0,False,2015
48245_2015_004,48245,Jefferson,2015-08-05,2015-08-07,3.0,100.55,2015-08-07,97.2,87.2,48.9,99.0,97.25,87.04,1.5,2.65,0,False,2015
48245_2015_005,48245,Jefferson,2015-12-11,2015-12-12,2.0,74.57,2015-12-12,79.5,74.4,57.4,70.4,79.47,72.89,4.17,4.63,0,False,2015
48245_2015_006,48245,Jefferson,2015-12-23,2015-12-27,5.0,76.61,2015-12-26,80.2,76.4,56.0,67.9,80.24,72.35,8.7,21.66,0,False,2015
48245_2016_001,48245,Jefferson,2016-03-15,2016-03-18,4.0,74.14,2016-03-15,81.3,74.0,52.7,73.3,81.28,73.35,0.87,1.47,0,False,2016
48245_2016_002,48245,Jefferson,2016-07-04,2016-07-08,5.0,104.57,2016-07-05,92.7,87.2,64.7,98.0,92.98,86.63,6.54,18.57,0,False,2016
48245_2016_003,48245,Jefferson,2016-07-10,2016-07-11,2.0,99.0,2016-07-11,91.9,86.1,56.6,97.5,93.74,86.1,1.49,2.75,0,False,2016
48245_2016_004,48245,Jefferson,2016-07-13,2016-07-14,2.0,100.33,2016-07-13,93.7,86.6,55.7,97.4,94.28,86.1,2.91,3.3,0,False,2016
48245_2016_005,48245,Jefferson,2016-07-22,2016-07-24,3.0,100.0,2016-07-24,94.7,86.5,55.0,97.8,95.0,86.2,2.2,3.84,0,False,2016
48245_2016_006,48245,Jefferson,2016-08-10,2016-08-12,3.0,101.62,2016-08-11,94.1,86.8,61.0,99.2,96.26,86.77,2.4,4.76,0,False,2016
48245_2016_007,48245,Jefferson,2016-09-18,2016-09-20,3.0,95.71,2016-09-19,94.2,84.9,56.6,91.8,94.24,84.45,3.88,7.55,0,False,2016
48245_2016_008,48245,Jefferson,2016-10-17,2016-10-19,3.0,84.99,2016-10-19,89.8,81.3,51.5,80.7,89.78,80.67,4.25,8.66,0,False,2016
48245_2016_009,48245,Jefferson,2016-12-25,2016-12-28,4.0,73.58,2016-12-27,79.0,73.5,51.1,68.7,78.98,72.79,5.27,17.51,0,False,2016
48245_2017_001,48245,Jefferson,2017-01-11,2017-01-18,8.0,72.01,2017-01-17,77.3,71.5,64.7,66.3,77.81,69.57,5.71,27.46,0,False,2017
48245_2017_002,48245,Jefferson,2017-01-20,2017-01-21,2.0,70.61,2017-01-21,78.8,70.1,60.2,66.0,78.76,68.83,4.59,5.68,0,False,2017
48245_2017_003,48245,Jefferson,2017-02-06,2017-02-08,3.0,74.46,2017-02-08,83.0,74.0,43.8,68.1,82.98,72.61,6.4,14.85,0,False,2017
48245_2017_004,48245,Jefferson,2017-02-12,2017-02-13,2.0,74.29,2017-02-12,80.8,74.0,47.7,67.8,80.78,71.58,6.51,7.53,0,False,2017
48245_2017_005,48245,Jefferson,2017-02-19,2017-02-20,2.0,71.87,2017-02-19,79.3,71.9,54.8,69.2,79.3,70.95,2.66,3.22,0,False,2017
48245_2017_006,48245,Jefferson,2017-02-28,2017-03-01,2.0,74.9,2017-02-28,80.0,74.6,58.2,70.2,80.24,73.87,4.69,7.66,0,False,2017
48245_2017_007,48245,Jefferson,2017-03-27,2017-03-29,3.0,76.21,2017-03-28,81.5,75.8,55.1,74.5,81.5,75.31,1.69,4.15,0,False,2017
48245_2017_008,48245,Jefferson,2017-08-17,2017-08-18,2.0,101.41,2017-08-17,93.4,86.8,57.8,98.6,94.78,86.58,2.86,3.62,0,False,2017
48245_2017_009,48245,Jefferson,2017-11-05,2017-11-07,3.0,79.1,2017-11-05,84.7,78.4,54.8,76.8,85.24,77.74,2.33,5.54,0,False,2017
48245_2018_001,48245,Jefferson,2018-02-15,2018-02-17,3.0,72.74,2018-02-17,80.8,72.5,49.7,69.2,80.78,71.55,3.52,7.57,0,False,2018
48245_2018_002,48245,Jefferson,2018-02-19,2018-02-24,6.0,75.61,2018-02-24,79.8,74.9,53.8,70.2,79.79,72.49,5.46,16.54,0,False,2018
48245_2018_003,48245,Jefferson,2018-02-28,2018-03-01,2.0,71.85,2018-02-28,77.7,72.0,52.9,70.2,77.99,71.7,1.62,2.69,0,False,2018
48245_2018_004,48245,Jefferson,2018-03-17,2018-03-19,3.0,76.42,2018-03-19,86.3,76.0,32.2,73.5,86.27,75.12,2.91,5.89,0,False,2018
48245_2018_005,48245,Jefferson,2018-03-26,2018-03-28,3.0,75.96,2018-03-27,79.8,75.5,57.7,74.6,80.28,74.76,1.38,2.04,0,False,2018
48245_2018_006,48245,Jefferson,2018-07-23,2018-07-24,2.0,99.3,2018-07-23,96.5,88.0,46.7,97.9,96.53,87.12,1.38,1.46,0,False,2018
48245_2018_007,48245,Jefferson,2018-09-17,2018-09-21,5.0,95.23,2018-09-19,94.0,85.0,54.2,92.1,94.5,84.77,3.12,7.65,0,False,2018
48245_2018_008,48245,Jefferson,2018-11-06,2018-11-07,2.0,80.58,2018-11-07,85.2,79.2,59.0,76.6,85.24,77.81,3.94,3.96,0,False,2018
48245_2019_001,48245,Jefferson,2019-02-05,2019-02-07,3.0,70.21,2019-02-06,73.8,70.5,55.0,67.9,76.73,69.69,2.26,4.5,0,False,2019
48245_2019_002,48245,Jefferson,2019-03-10,2019-03-11,2.0,74.27,2019-03-10,79.3,73.9,55.7,72.7,80.24,73.68,1.58,2.4,0,False,2019
48245_2019_003,48245,Jefferson,2019-06-21,2019-06-23,3.0,104.6,2019-06-23,92.4,87.7,57.8,96.9,92.48,87.15,7.75,13.03,0,False,2019
48245_2019_004,48245,Jefferson,2019-08-08,2019-08-09,2.0,101.05,2019-08-08,94.0,87.1,55.4,99.3,94.24,87.0,1.76,2.28,0,False,2019
48245_2019_005,48245,Jefferson,2019-08-12,2019-08-14,3.0,100.99,2019-08-13,96.7,87.6,50.3,99.3,96.8,87.42,1.66,3.42,0,False,2019
48245_2019_006,48245,Jefferson,2019-09-28,2019-10-01,4.0,91.51,2019-09-30,90.2,83.4,57.1,89.6,90.72,83.4,1.9,4.39,0,False,2019
48245_2019_007,48245,Jefferson,2019-10-03,2019-10-04,2.0,89.76,2019-10-03,92.3,83.6,47.6,88.4,93.24,83.42,1.31,2.53,0,False,2019
48245_2020_001,48245,Jefferson,2020-01-15,2020-01-16,2.0,72.31,2020-01-15,77.2,72.2,58.6,67.2,77.22,71.3,5.1,8.31,0,False,2020
48245_2020_002,48245,Jefferson,2020-03-13,2020-03-15,3.0,74.39,2020-03-14,79.5,74.3,52.9,73.5,79.97,73.78,0.89,1.29,0,False,2020
48245_2020_003,48245,Jefferson,2020-03-18,2020-03-20,3.0,76.13,2020-03-19,80.8,75.9,53.0,73.7,81.0,75.28,2.39,5.83,0,False,2020
48245_2020_004,48245,Jefferson,2020-03-24,2020-03-28,5.0,77.2,2020-03-28,84.0,76.3,53.1,74.8,84.24,75.89,2.41,7.93,0,False,2020
48245_2020_005,48245,Jefferson,2020-04-08,2020-04-09,2.0,79.54,2020-04-08,84.7,78.7,55.2,76.6,86.5,78.54,2.98,5.66,0,False,2020
48245_2020_006,48245,Jefferson,2020-08-31,2020-09-01,2.0,100.1,2020-09-01,92.7,87.4,59.3,96.5,92.7,86.92,3.63,4.39,0,False,2020
48245_2021_001,48245,Jefferson,2021-02-27,2021-02-28,2.0,71.54,2021-02-27,77.0,71.7,54.1,70.4,77.0,71.4,1.14,1.65,0,False,2021
48245_2021_002,48245,Jefferson,2021-12-15,2021-12-18,4.0,74.84,2021-12-16,80.0,74.5,53.7,69.5,80.78,73.26,5.38,16.3,0,False,2021
48245_2021_003,48245,Jefferson,2021-12-25,2022-01-01,8.0,77.24,2022-01-01,80.5,76.3,55.8,69.0,81.72,74.25,8.28,47.16,0,False,2021
48245_2022_001,48245,Jefferson,2022-05-08,2022-05-10,3.0,86.73,2022-05-09,88.7,82.5,51.7,85.2,89.51,82.37,1.56,3.62,0,False,2022
48245_2022_002,48245,Jefferson,2022-06-12,2022-06-13,2.0,95.49,2022-06-12,94.0,86.5,49.9,94.9,94.78,86.7,0.58,0.69,0,False,2022
48245_2022_003,48245,Jefferson,2022-07-10,2022-07-13,4.0,98.76,2022-07-10,96.3,87.4,46.5,98.2,96.32,87.13,0.59,1.91,0,False,2022
48245_2022_004,48245,Jefferson,2022-12-06,2022-12-10,5.0,73.24,2022-12-08,80.3,73.3,48.4,71.0,80.66,72.71,2.26,7.17,0,False,2022
48245_2023_001,48245,Jefferson,2023-01-17,2023-01-18,2.0,69.18,2023-01-17,76.0,69.5,53.6,67.2,78.32,68.99,1.98,3.39,0,False,2023
48245_2023_002,48245,Jefferson,2023-02-21,2023-03-02,10.0,77.07,2023-03-01,80.7,75.2,99.4,71.0,81.68,73.55,6.12,31.51,0,False,2023
48245_2023_003,48245,Jefferson,2023-03-07,2023-03-10,4.0,74.95,2023-03-10,82.7,74.8,45.8,73.2,82.7,74.13,1.77,5.79,0,False,2023
48245_2023_004,48245,Jefferson,2023-04-03,2023-04-04,2.0,78.24,2023-04-03,82.3,77.7,58.7,76.0,82.34,77.42,2.21,3.82,0,False,2023
48245_2023_005,48245,Jefferson,2023-06-20,2023-06-21,2.0,98.08,2023-06-20,91.3,86.0,59.6,96.7,93.68,86.03,1.34,1.35,0,False,2023
48245_2023_006,48245,Jefferson,2023-07-09,2023-07-14,6.0,101.79,2023-07-12,96.0,88.3,54.8,98.2,96.32,87.72,3.6,10.9,0,False,2023
48245_2023_007,48245,Jefferson,2023-08-06,2023-08-12,7.0,103.51,2023-08-11,97.6,89.5,48.8,99.4,98.3,89.06,4.1,13.33,0,False,2023
48245_2023_008,48245,Jefferson,2023-08-20,2023-08-22,3.0,102.17,2023-08-21,101.7,90.5,41.3,98.3,103.34,90.06,3.87,9.12,0,False,2023
48245_2023_009,48245,Jefferson,2023-08-24,2023-08-25,2.0,104.45,2023-08-25,101.7,89.9,43.9,97.9,104.96,90.78,6.51,9.4,0,False,2023
48245_2023_010,48245,Jefferson,2023-09-07,2023-09-08,2.0,99.99,2023-09-08,101.0,89.0,39.6,93.8,101.0,88.76,6.18,7.91,0,False,2023
48245_2023_011,48245,Jefferson,2023-10-25,2023-10-28,4.0,82.62,2023-10-26,85.3,80.2,54.7,79.5,86.66,79.97,3.13,8.25,0,False,2023
48245_2024_001,48245,Jefferson,2024-02-09,2024-02-10,2.0,69.2,2024-02-09,76.7,69.7,51.2,68.9,76.7,69.58,0.33,0.38,0,False,2024
48245_2024_002,48245,Jefferson,2024-03-14,2024-03-15,2.0,74.94,2024-03-14,80.1,74.5,62.6,73.8,81.68,74.28,1.17,2.07,0,False,2024
48245_2024_003,48245,Jefferson,2024-05-08,2024-05-09,2.0,89.12,2024-05-09,85.7,81.9,64.8,85.3,85.7,81.44,3.79,4.62,0,False,2024
48245_2024_004,48245,Jefferson,2024-05-21,2024-05-24,4.0,90.93,2024-05-24,89.0,83.5,61.6,89.2,89.0,83.05,2.0,6.32,0,False,2024
48245_2024_005,48245,Jefferson,2024-05-26,2024-05-27,2.0,93.54,2024-05-27,91.3,84.4,55.8,90.2,91.28,84.14,3.34,4.97,0,False,2024
48245_2024_006,48245,Jefferson,2024-06-27,2024-07-05,9.0,102.09,2024-07-01,96.7,87.4,53.3,97.9,96.68,86.41,4.14,17.84,0,False,2024
48245_2024_007,48245,Jefferson,2024-08-02,2024-08-03,2.0,102.45,2024-08-02,96.7,87.6,53.8,99.0,97.04,87.38,3.49,5.77,0,False,2024
48245_2024_008,48245,Jefferson,2024-08-06,2024-08-09,4.0,104.76,2024-08-09,97.0,88.4,53.0,99.8,97.7,87.82,5.0,12.66,0,False,2024
48245_2024_009,48245,Jefferson,2024-08-17,2024-08-21,5.0,103.09,2024-08-18,97.0,87.8,53.3,99.4,97.34,87.01,3.7,10.85,0,False,2024
48245_2024_010,48245,Jefferson,2024-09-14,2024-09-15,2.0,94.8,2024-09-15,93.3,84.5,57.6,92.7,93.26,84.14,2.14,2.27,0,False,2024
48245_2024_011,48245,Jefferson,2024-09-19,2024-09-21,3.0,93.66,2024-09-20,94.0,84.3,55.7,92.0,93.98,84.11,1.64,2.76,0,False,2024
48245_2024_012,48245,Jefferson,2024-10-30,2024-10-31,2.0,79.75,2024-10-30,84.7,79.0,59.0,79.0,84.68,78.76,0.78,1.17,0,False,2024
48245_2024_013,48245,Jefferson,2024-11-03,2024-11-05,3.0,83.2,2024-11-04,83.7,80.2,61.5,77.1,83.66,78.71,6.08,9.4,0,False,2024
48245_2024_014,48245,Jefferson,2024-11-07,2024-11-08,2.0,80.34,2024-11-08,84.7,79.5,59.2,76.5,84.98,78.83,3.87,6.16,0,False,2024
48245_2024_015,48245,Jefferson,2024-11-17,2024-11-18,2.0,76.82,2024-11-18,82.3,75.8,57.9,73.2,82.34,75.34,3.58,5.48,0,False,2024
48245_2024_016,48245,Jefferson,2024-12-15,2024-12-17,3.0,72.55,2024-12-16,79.3,72.5,54.0,70.0,79.34,71.46,2.5,4.24,0,False,2024
48245_2025_001,48245,Jefferson,2025-02-04,2025-02-09,6.0,74.18,2025-02-08,80.7,74.2,49.1,68.9,81.02,72.86,5.29,25.86,0,False,2025
48245_2025_002,48245,Jefferson,2025-03-30,2025-03-31,2.0,78.53,2025-03-31,85.0,77.9,50.5,75.3,85.04,76.92,3.24,4.63,0,False,2025
48245_2025_003,48245,Jefferson,2025-04-02,2025-04-04,3.0,80.12,2025-04-04,83.0,79.3,61.6,76.2,83.0,78.27,3.96,8.79,0,False,2025
48245_2025_004,48245,Jefferson,2025-11-17,2025-11-22,6.0,76.13,2025-11-21,83.0,75.7,54.1,73.3,83.3,74.4,2.85,9.72,0,False,2025
48245_2025_005,48245,Jefferson,2025-12-21,2025-12-23,3.0,70.93,2025-12-22,75.3,70.8,61.4,70.1,78.02,70.78,1.01,2.64,0,False,2025
48245_2025_006,48245,Jefferson,2025-12-25,2025-12-28,4.0,73.72,2025-12-28,81.0,73.2,50.7,69.2,81.02,72.0,4.54,12.37,0,False,2025
48247_2016_001,48247,Jim Hogg,2016-12-25,2016-12-28,4.0,74.13,2016-12-27,81.9,74.0,47.1,70.7,81.86,73.2,3.94,10.79,4,True,2016
48247_2017_001,48247,Jim Hogg,2017-01-12,2017-01-14,3.0,71.89,2017-01-13,80.8,72.0,45.2,69.5,82.37,71.16,2.37,3.62,3,True,2017
48247_2017_002,48247,Jim Hogg,2017-02-07,2017-02-08,2.0,72.75,2017-02-07,85.0,73.2,24.2,71.9,87.92,73.32,0.88,1.49,2,True,2017
48247_2017_003,48247,Jim Hogg,2017-02-12,2017-02-13,2.0,75.93,2017-02-12,88.8,76.2,31.1,73.9,88.82,75.29,2.07,2.61,2,True,2017
48247_2019_001,48247,Jim Hogg,2019-08-11,2019-08-13,3.0,102.43,2019-08-12,103.3,90.6,29.0,99.8,104.03,90.49,2.63,5.26,3,True,2019
48247_2019_002,48247,Jim Hogg,2019-08-18,2019-08-19,2.0,102.75,2019-08-19,102.2,90.3,33.1,99.6,102.73,90.4,3.11,3.76,2,True,2019
48247_2019_003,48247,Jim Hogg,2019-08-26,2019-08-28,3.0,100.42,2019-08-28,99.6,88.5,36.7,97.7,101.55,89.08,2.73,5.29,3,True,2019
48247_2020_001,48247,Jim Hogg,2020-01-15,2020-01-16,2.0,74.19,2020-01-15,83.0,74.3,41.5,70.2,82.97,72.85,4.02,4.84,2,True,2020
48247_2020_002,48247,Jim Hogg,2020-08-28,2020-09-01,5.0,103.13,2020-08-29,101.8,89.4,37.0,97.8,101.8,89.54,5.38,23.79,5,True,2020
48247_2021_001,48247,Jim Hogg,2021-12-15,2021-12-17,3.0,74.57,2021-12-17,82.3,74.5,45.3,71.6,82.62,74.22,3.0,6.43,3,True,2021
48247_2021_002,48247,Jim Hogg,2021-12-25,2021-12-28,4.0,72.03,2021-12-27,83.3,72.4,34.7,70.8,83.49,71.96,1.71,3.92,4,True,2021
48247_2021_003,48247,Jim Hogg,2021-12-31,2022-01-01,2.0,74.3,2022-01-01,86.4,74.4,19.6,72.0,86.38,73.57,2.29,2.97,2,True,2021
48247_2022_001,48247,Jim Hogg,2022-07-11,2022-07-13,3.0,100.74,2022-07-13,103.2,89.5,29.4,99.1,104.68,90.03,1.6,1.8,3,True,2022
48247_2023_001,48247,Jim Hogg,2023-03-01,2023-03-02,2.0,79.64,2023-03-01,89.8,77.5,100.0,76.3,90.13,77.37,3.39,4.23,2,True,2023
48247_2023_002,48247,Jim Hogg,2023-07-10,2023-07-14,5.0,101.35,2023-07-13,103.1,91.5,27.6,99.3,103.28,90.54,2.11,6.62,5,True,2023
48247_2023_003,48247,Jim Hogg,2023-08-04,2023-08-07,4.0,100.45,2023-08-04,103.7,90.8,24.3,98.9,104.72,91.08,1.5,3.85,4,True,2023
48247_2023_004,48247,Jim Hogg,2023-08-09,2023-08-13,5.0,102.0,2023-08-12,104.3,92.3,27.6,100.0,105.62,92.21,2.02,6.58,5,True,2023
48247_2023_005,48247,Jim Hogg,2023-09-05,2023-09-09,5.0,103.15,2023-09-06,101.9,89.6,35.4,96.7,103.17,89.38,6.5,20.21,5,True,2023
48247_2023_006,48247,Jim Hogg,2023-09-22,2023-09-25,4.0,99.76,2023-09-24,100.6,88.7,34.8,94.6,100.64,87.77,5.17,10.06,4,True,2023
48247_2024_001,48247,Jim Hogg,2024-08-22,2024-08-24,3.0,102.33,2024-08-23,103.2,90.5,30.8,99.2,104.9,89.82,3.09,5.04,3,True,2024
48247_2024_002,48247,Jim Hogg,2024-09-20,2024-09-21,2.0,96.39,2024-09-21,95.2,85.7,48.9,95.2,95.51,85.74,1.15,1.36,2,True,2024
48247_2024_003,48247,Jim Hogg,2024-11-03,2024-11-04,2.0,83.7,2024-11-04,88.9,80.6,37.3,79.7,88.91,80.54,4.0,6.23,2,True,2024
48247_2025_001,48247,Jim Hogg,2025-02-04,2025-02-09,6.0,75.82,2025-02-08,87.8,75.9,26.9,71.9,87.8,73.97,3.96,11.11,6,True,2025
48247_2025_002,48247,Jim Hogg,2025-04-03,2025-04-04,2.0,83.39,2025-04-04,91.3,80.9,30.6,83.1,93.49,81.53,0.42,0.69,2,True,2025
48247_2025_003,48247,Jim Hogg,2025-11-18,2025-11-21,4.0,78.96,2025-11-19,87.1,78.5,38.5,77.2,87.98,77.79,1.75,4.24,4,True,2025
48247_2025_004,48247,Jim Hogg,2025-12-23,2025-12-28,6.0,74.61,2025-12-27,84.9,74.8,33.5,71.6,84.9,73.64,3.04,12.88,6,True,2025
48249_2015_001,48249,Jim Wells,2015-12-25,2015-12-26,2.0,78.49,2015-12-26,85.0,78.3,44.8,71.5,85.01,76.75,6.97,10.23,0,False,2015
48249_2016_001,48249,Jim Wells,2016-05-26,2016-05-27,2.0,98.43,2016-05-27,102.0,88.5,34.9,93.1,102.02,86.76,5.36,5.74,0,False,2016
48249_2016_002,48249,Jim Wells,2016-12-25,2016-12-28,4.0,76.93,2016-12-27,82.5,76.5,49.0,72.0,82.49,75.26,4.96,14.43,0,False,2016
48249_2017_001,48249,Jim Wells,2017-01-12,2017-01-17,6.0,73.94,2017-01-14,81.5,74.0,42.1,70.0,83.93,73.06,4.31,19.43,0,False,2017
48249_2017_002,48249,Jim Wells,2017-02-06,2017-02-08,3.0,74.7,2017-02-08,88.5,75.0,15.0,72.5,88.52,73.82,2.34,5.86,0,False,2017
48249_2017_003,48249,Jim Wells,2017-02-11,2017-02-13,3.0,78.5,2017-02-12,90.5,78.5,32.4,74.0,90.5,76.82,4.49,8.28,0,False,2017
48249_2017_004,48249,Jim Wells,2017-02-28,2017-03-01,2.0,78.02,2017-02-28,89.0,77.9,30.4,75.1,88.97,76.62,2.95,3.04,0,False,2017
48249_2018_001,48249,Jim Wells,2018-02-17,2018-02-20,4.0,76.44,2018-02-20,83.5,76.2,46.7,75.3,86.0,75.68,1.18,2.7,0,False,2018
48249_2018_002,48249,Jim Wells,2018-03-17,2018-03-18,2.0,78.82,2018-03-17,89.1,78.5,34.7,77.3,89.06,77.88,1.53,1.62,0,False,2018
48249_2018_003,48249,Jim Wells,2018-11-07,2018-11-08,2.0,83.34,2018-11-07,87.5,80.2,48.2,80.4,87.98,79.88,2.98,3.8,0,False,2018
48249_2019_001,48249,Jim Wells,2019-02-04,2019-02-06,3.0,74.52,2019-02-06,81.5,74.5,44.8,71.6,81.5,73.01,2.93,4.1,0,False,2019
48249_2019_002,48249,Jim Wells,2019-07-16,2019-07-17,2.0,99.24,2019-07-16,100.0,89.0,37.4,98.1,100.04,88.5,1.09,1.5,0,False,2019
48249_2019_003,48249,Jim Wells,2019-08-09,2019-08-13,5.0,103.64,2019-08-12,103.5,90.2,33.6,100.9,103.46,89.99,2.74,5.84,0,False,2019
48249_2019_004,48249,Jim Wells,2019-08-18,2019-08-19,2.0,103.01,2019-08-19,101.5,89.2,38.5,99.8,103.01,89.49,3.23,3.86,0,False,2019
48249_2019_005,48249,Jim Wells,2019-08-24,2019-08-28,5.0,103.73,2019-08-26,104.0,90.2,35.0,98.9,104.0,89.3,4.86,14.26,0,False,2019
48249_2019_006,48249,Jim Wells,2019-09-29,2019-10-01,3.0,95.11,2019-09-30,95.5,86.5,43.8,91.6,95.99,86.15,3.46,7.46,0,False,2019
48249_2020_001,48249,Jim Wells,2020-01-14,2020-01-18,5.0,77.78,2020-01-15,85.6,77.5,41.7,70.6,85.55,74.17,7.15,18.23,0,False,2020
48249_2020_002,48249,Jim Wells,2020-03-14,2020-03-15,2.0,78.62,2020-03-15,86.0,78.5,37.0,77.5,87.98,78.49,1.09,2.14,0,False,2020
48249_2020_003,48249,Jim Wells,2020-03-18,2020-03-19,2.0,82.49,2020-03-19,93.5,82.0,26.4,77.4,93.47,81.14,5.05,8.81,0,False,2020
48249_2020_004,48249,Jim Wells,2020-03-26,2020-03-28,3.0,82.22,2020-03-27,94.5,81.7,23.6,78.9,94.46,80.09,3.36,5.11,0,False,2020
48249_2020_005,48249,Jim Wells,2020-05-21,2020-05-23,3.0,94.66,2020-05-23,93.9,85.5,45.5,92.3,95.45,85.74,2.36,4.65,0,False,2020
48249_2020_006,48249,Jim Wells,2020-08-28,2020-09-04,8.0,102.86,2020-09-03,99.0,89.0,41.1,97.1,101.48,88.71,5.71,23.72,0,False,2020
48249_2021_001,48249,Jim Wells,2021-01-25,2021-01-26,2.0,74.74,2021-01-25,81.0,74.5,41.0,70.0,81.5,72.5,4.69,4.74,0,False,2021
48249_2021_002,48249,Jim Wells,2021-12-15,2021-12-17,3.0,76.29,2021-12-16,84.6,76.0,42.5,72.7,84.56,74.99,3.63,7.82,0,False,2021
48249_2021_003,48249,Jim Wells,2021-12-25,2022-01-01,8.0,79.51,2022-01-01,91.0,79.0,22.7,72.7,91.04,74.72,6.8,20.49,0,False,2021
48249_2022_001,48249,Jim Wells,2022-08-03,2022-08-04,2.0,101.14,2022-08-03,103.5,90.5,30.8,99.7,103.46,90.14,1.42,1.43,0,False,2022
48249_2022_002,48249,Jim Wells,2022-12-08,2022-12-09,2.0,75.15,2022-12-09,82.0,75.0,44.7,74.1,82.94,74.61,1.01,1.19,0,False,2022
48249_2023_001,48249,Jim Wells,2023-01-02,2023-01-03,2.0,76.3,2023-01-02,84.5,76.2,39.0,72.1,85.46,74.23,4.2,4.36,0,False,2023
