state,file,bytes,modified_utc,produced_by,unit_of_analysis,git_commit,input_hash,python,pandas,numpy
TX,county_profiles/48035/fig08_report_card_48035.png,365506,2026-07-30T18:43:29Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48035/jaccard_matrix.csv,5180,2026-07-30T18:43:29Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48037/county_month_summary.csv,98933,2026-07-30T18:43:31Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48037/county_year_summary.csv,19739,2026-07-30T18:43:31Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48037/fig08_report_card_48037.png,368389,2026-07-30T18:43:31Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48037/jaccard_matrix.csv,5138,2026-07-30T18:43:31Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48039/county_month_summary.csv,131494,2026-07-30T18:43:32Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48039/county_year_summary.csv,20563,2026-07-30T18:43:32Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48039/fig08_report_card_48039.png,382015,2026-07-30T18:43:32Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48039/jaccard_matrix.csv,5160,2026-07-30T18:43:32Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48041/county_month_summary.csv,97442,2026-07-30T18:43:34Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48041/county_year_summary.csv,19728,2026-07-30T18:43:34Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48041/fig08_report_card_48041.png,371249,2026-07-30T18:43:34Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48041/jaccard_matrix.csv,5168,2026-07-30T18:43:34Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48043/county_month_summary.csv,104307,2026-07-30T18:43:36Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48043/county_year_summary.csv,20457,2026-07-30T18:43:36Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48043/fig08_report_card_48043.png,374835,2026-07-30T18:43:36Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48043/jaccard_matrix.csv,5132,2026-07-30T18:43:36Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48045/county_month_summary.csv,106164,2026-07-30T18:43:38Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48045/county_year_summary.csv,20123,2026-07-30T18:43:38Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48045/fig08_report_card_48045.png,370972,2026-07-30T18:43:38Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48045/jaccard_matrix.csv,5116,2026-07-30T18:43:38Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48047/county_month_summary.csv,59566,2026-07-30T18:43:39Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48047/county_year_summary.csv,16873,2026-07-30T18:43:39Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48047/fig08_report_card_48047.png,357409,2026-07-30T18:43:39Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48047/jaccard_matrix.csv,5294,2026-07-30T18:43:39Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48049/county_month_summary.csv,96140,2026-07-30T18:43:41Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48049/county_year_summary.csv,19633,2026-07-30T18:43:41Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48049/fig08_report_card_48049.png,368333,2026-07-30T18:43:41Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48049/jaccard_matrix.csv,5178,2026-07-30T18:43:41Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48051/county_month_summary.csv,91766,2026-07-30T18:43:43Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48051/county_year_summary.csv,19468,2026-07-30T18:43:43Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48051/fig08_report_card_48051.png,368083,2026-07-30T18:43:43Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48051/jaccard_matrix.csv,5154,2026-07-30T18:43:43Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
TX,county_profiles/48053/county_month_summary.csv,111149,2026-07-30T18:43:44Z,s06_county_profiles.py,county,1818bb9+dirty,md5:f0276ee5888539f9,3.14.3,3.0.3,2.4.6
