county_fips,year,classified_dates,events_started
48025,2018,49,14
48025,2019,54,20
48025,2020,80,24
48025,2021,49,13
48025,2022,82,25
48025,2023,136,32
48025,2024,63,19
48025,2025,96,26
48027,2015,39,14
48027,2016,63,15
48027,2017,65,20
48027,2018,17,7
48027,2019,52,17
48027,2020,46,18
48027,2021,58,16
48027,2022,46,18
48027,2023,65,21
48027,2024,86,24
48027,2025,80,22
48029,2015,50,17
48029,2016,73,18
48029,2017,84,27
48029,2018,19,9
48029,2019,28,11
48029,2020,54,19
48029,2021,41,11
48029,2022,57,21
48029,2023,71,19
48029,2024,63,17
48029,2025,80,20
48031,2015,34,10
48031,2016,37,13
48031,2017,65,23
48031,2018,14,6
48031,2019,35,13
48031,2020,41,15
48031,2021,49,12
48031,2022,131,32
48031,2023,118,28
48031,2024,107,24
48031,2025,84,22
48033,2015,46,15
48033,2016,51,16
48033,2017,62,21
48033,2018,26,12
48033,2019,35,14
48033,2020,37,16
48033,2021,43,13
48033,2022,26,11
48033,2023,42,13
48033,2024,38,14
48033,2025,49,16
48035,2015,30,10
48035,2016,51,16
48035,2017,48,17
48035,2018,17,6
48035,2019,26,10
48035,2020,36,15
48035,2021,36,9
48035,2022,28,10
48035,2023,56,19
48035,2024,62,16
48035,2025,53,13
48037,2015,67,18
48037,2016,96,22
48037,2017,70,22
48037,2018,77,15
48037,2019,65,17
48037,2020,44,16
48037,2021,65,16
48037,2022,71,19
48037,2023,68,21
48037,2024,91,27
48037,2025,72,18
48039,2015,75,18
48039,2016,111,26
48039,2017,103,25
48039,2018,78,18
48039,2019,60,19
48039,2020,81,24
48039,2021,44,13
48039,2022,79,24
48039,2023,138,28
48039,2024,94,28
48039,2025,76,20
48041,2015,29,9
48041,2016,66,19
48041,2017,59,19
48041,2018,21,8
48041,2019,48,16
48041,2020,54,17
48041,2021,71,20
48041,2022,82,25
48041,2023,104,25
48041,2024,104,26
48041,2025,91,25
48043,2015,28,9
48043,2016,51,13
48043,2017,71,18
48043,2018,33,12
48043,2019,53,19
48043,2020,39,13
48043,2021,47,15
48043,2022,29,8
48043,2023,54,18
48043,2024,73,22
48043,2025,46,11
48045,2015,63,23
48045,2016,61,20
48045,2017,73,27
48045,2018,57,23
48045,2019,57,18
48045,2020,71,28
48045,2021,74,25
48045,2022,61,21
48045,2023,80,29
48045,2024,99,30
48045,2025,84,25
48047,2015,14,4
48047,2016,38,12
48047,2017,52,16
