county_fips,year,classified_dates,events_started
48249,2016,6,2
48249,2017,2,1
48249,2019,12,4
48249,2020,2,1
48249,2022,5,2
48249,2023,29,7
48249,2024,2,1
48251,2016,2,1
48251,2018,2,1
48251,2019,2,1
48251,2020,5,1
48251,2022,2,1
48251,2023,2,1
48251,2024,2,1
48253,2017,2,1
48253,2019,5,2
48253,2020,2,1
48253,2022,6,3
48253,2023,16,7
48253,2024,4,2
48253,2025,2,1
48255,2020,3,1
48255,2023,10,3
48255,2024,2,1
48257,2016,5,2
48257,2019,5,2
48257,2021,2,1
48257,2023,4,2
48257,2024,6,3
48259,2016,3,1
48259,2017,3,1
48259,2018,16,6
48259,2019,42,8
48259,2020,6,2
48259,2021,12,5
48259,2022,60,9
48259,2023,66,12
48259,2024,23,6
48259,2025,15,6
48261,2016,9,4
48261,2017,24,11
48261,2019,4,2
48261,2020,4,1
48261,2021,21,8
48261,2022,20,7
48261,2023,68,8
48261,2024,24,7
48261,2025,28,8
48263,2015,8,4
48263,2016,10,3
48263,2017,5,2
48263,2018,4,2
48263,2019,9,4
48263,2020,8,3
48263,2022,11,5
48263,2023,12,5
48263,2024,5,2
48265,2016,2,1
48265,2018,2,1
48265,2019,7,3
48265,2020,4,1
48265,2022,13,5
48265,2023,25,6
48265,2024,6,2
48267,2016,11,3
48267,2017,13,5
48267,2018,2,1
48267,2019,19,7
48267,2020,6,1
48267,2022,8,3
48267,2023,29,6
48267,2024,6,2
48267,2025,2,1
48269,2016,3,1
48269,2017,4,2
48269,2022,4,2
48269,2023,9,3
48269,2024,8,3
48271,2019,2,1
48271,2023,5,2
48271,2024,2,1
48273,2017,15,6
48273,2018,3,1
48273,2019,8,3
48273,2020,10,3
48273,2022,11,4
48273,2023,72,12
48273,2024,22,4
48273,2025,3,1
48275,2016,9,4
48275,2017,3,1
48275,2019,2,1
48275,2020,7,3
48275,2022,9,4
48275,2023,13,5
48275,2024,16,4
48277,2018,2,1
48277,2021,2,1
48277,2024,8,2
48279,2015,3,1
48279,2016,2,1
48279,2017,2,1
48279,2018,2,1
48279,2019,9,3
48279,2020,10,3
48279,2021,3,1
48279,2022,6,3
48279,2023,10,4
48279,2024,16,6
48281,2016,2,1
48281,2019,5,2
48281,2022,3,1
48281,2023,17,4
48281,2024,2,1
48281,2025,2,1
48283,2015,8,2
48283,2016,18,5
48283,2019,26,8
48283,2020,10,3
48283,2021,18,6
48283,2022,34,9
48283,2023,50,11
48283,2024,16,7
48285,2015,4,1
48285,2016,4,2
48285,2017,25,8
48285,2018,7,3
48285,2019,25,7
48285,2020,11,4
48285,2021,12,4
48285,2022,22,5
48285,2023,68,14
48285,2024,5,2
48285,2025,3,1
48287,2016,2,1
48287,2017,2,1
48287,2019,36,6
48287,2020,8,2
48287,2023,7,2
48289,2015,6,3
48289,2016,5,2
48289,2017,2,1
48289,2019,2,1
48289,2020,4,2
48289,2023,10,5
48289,2024,7,3
48289,2025,5,2
48291,2015,2,1
48291,2016,22,5
48291,2018,2,1
48291,2019,5,2
48291,2020,3,1
48291,2021,8,3
48291,2022,6,3
48291,2023,28,8
48291,2024,18,4
48293,2016,3,1
48293,2023,9,3
48293,2024,5,2
48295,2015,9,4
48295,2016,3,1
48295,2020,3,1
48295,2022,7,2
48295,2023,4,2
48295,2024,9,4
48297,2020,4,1
48297,2022,2,1
48297,2023,14,4
48297,2024,7,3
48297,2025,26,9
48299,2019,4,2
48299,2020,2,1
48299,2023,20,5
48301,2015,5,2
48301,2017,3,1
48301,2019,11,4
48301,2020,2,1
48301,2022,4,1
48301,2023,22,7
48301,2024,16,5
48301,2025,2,1
48303,2016,6,2
48303,2019,4,2
48303,2020,5,2
48303,2023,10,5
48303,2024,6,2
48305,2015,2,1
48305,2016,4,1
48305,2017,7,3
48305,2018,9,4
48305,2019,13,6
48305,2020,6,3
48305,2021,2,1
48305,2022,6,3
48305,2023,9,3
48305,2024,8,3
48307,2020,3,1
48307,2023,6,3
48307,2024,8,4
48307,2025,10,4
48309,2016,35,8
48309,2017,5,2
48309,2018,5,2
48309,2019,6,2
48309,2020,8,2
48309,2021,11,4
48309,2022,17,5
48309,2023,29,7
48309,2024,31,8
48311,2016,4,1
48311,2017,2,1
48311,2019,14,6
48311,2022,2,1
48311,2023,11,4
48311,2024,2,1
48311,2025,3,1
48313,2015,2,1
48313,2016,2,1
48313,2020,2,1
48313,2022,2,1
48313,2024,3,1
48315,2015,8,4
48315,2016,5,2
48315,2018,6,2
48315,2019,8,4
48315,2022,2,1
48315,2023,9,4
48315,2024,6,2
48315,2025,2,1
48317,2015,2,1
48317,2016,6,2
48317,2017,8,3
48317,2018,2,1
48317,2019,13,5
48317,2020,6,3
48317,2022,7,2
48317,2023,21,6
48317,2024,8,2
48317,2025,2,1
48319,2015,4,2
48319,2016,11,3
48319,2017,6,3
48319,2018,12,3
48319,2019,17,8
48319,2020,6,1
48319,2021,4,2
48319,2022,21,6
48319,2023,46,10
48319,2024,7,2
48319,2025,7,3
48321,2015,6,2
48321,2016,12,3
48321,2018,2,1
48321,2019,41,8
48321,2020,11,2
48321,2021,6,1
48321,2022,28,7
48321,2023,77,8
48321,2024,46,6
48321,2025,2,1
48323,2018,2,1
48325,2016,4,2
48325,2017,18,6
48325,2018,2,1
48325,2019,8,3
48325,2020,5,1
48325,2021,2,1
48325,2022,32,6
48325,2023,25,5
48325,2024,19,6
48325,2025,2,1
48327,2016,5,2
48327,2017,5,2
48327,2018,2,1
48327,2019,4,2
48327,2020,7,2
48327,2022,9,4
48327,2023,24,7
48327,2024,5,2
48327,2025,4,2
48329,2016,9,2
48329,2017,7,2
48329,2018,2,1
48329,2019,13,5
48329,2020,8,3
48329,2023,25,6
48329,2024,2,1
48329,2025,4,2
48331,2016,6,2
48331,2019,8,3
48331,2020,10,3
48331,2021,8,3
48331,2022,5,2
48331,2023,34,6
48331,2024,3,1
48331,2025,4,2
48333,2016,2,1
48333,2018,4,2
48333,2019,7,2
48333,2020,5,1
48333,2021,2,1
48333,2022,4,2
48333,2023,20,7
48333,2024,8,4
48333,2025,7,3
48335,2019,4,2
48335,2022,2,1
48335,2023,9,3
48335,2024,2,1
48337,2019,3,1
48337,2020,2,1
48337,2022,3,1
48337,2023,14,6
48339,2016,22,6
48339,2019,2,1
48339,2020,6,2
48339,2021,2,1
48339,2022,3,1
48339,2023,14,5
48339,2024,2,1
48341,2015,2,1
48341,2016,4,1
48341,2018,6,3
48341,2019,4,2
48341,2020,6,3
48341,2021,3,1
48341,2022,4,2
48341,2023,17,7
48341,2024,10,4
48343,2019,2,1
48343,2021,2,1
48343,2024,6,2
48345,2016,6,2
48345,2017,2,1
48345,2018,2,1
48345,2019,3,1
48345,2020,6,3
48345,2022,6,3
48345,2023,8,3
48345,2024,11,4
48347,2016,7,3
48347,2022,4,1
48347,2024,8,4
48347,2025,13,4
48349,2016,6,3
48349,2018,2,1
48349,2019,3,1
48349,2020,4,2
48349,2022,2,1
48349,2023,10,4
48349,2024,14,5
48349,2025,2,1
48351,2015,3,1
48351,2016,12,4
48351,2020,2,1
48351,2021,2,1
48351,2023,33,10
48351,2024,8,3
48353,2016,5,2
48353,2017,2,1
48353,2018,5,2
48353,2019,11,5
48353,2020,10,3
48353,2022,9,4
48353,2023,18,7
48353,2024,5,2
48353,2025,2,1
48355,2017,2,1
48355,2019,4,1
48355,2020,4,1
48355,2021,3,1
48355,2023,10,3
48355,2024,41,8
48355,2025,7,3
48357,2015,2,1
48357,2016,6,3
48357,2017,4,2
48357,2018,4,2
48357,2021,4,2
48357,2022,2,1
48357,2023,10,4
48357,2024,6,3
48359,2015,4,2
48359,2016,5,2
48359,2017,4,2
48359,2018,2,1
48359,2019,5,2
48359,2020,3,1
48359,2021,2,1
48359,2022,6,2
48359,2023,3,1
48359,2024,12,5
48361,2015,2,1
48361,2016,2,1
48361,2018,3,1
48361,2019,21,6
48361,2020,5,1
48361,2022,2,1
48361,2023,10,5
48361,2024,15,6
48363,2016,16,5
48363,2017,3,1
48363,2018,2,1
48363,2019,2,1
48363,2020,4,2
48363,2022,4,2
48363,2023,20,7
48363,2024,12,5
48363,2025,2,1
48365,2015,2,1
48365,2016,5,2
48365,2018,2,1
48365,2021,4,1
48365,2023,2,1
48365,2024,3,1
48365,2025,2,1
48367,2016,2,1
48367,2019,5,2
48367,2020,3,1
48367,2022,12,4
48367,2023,14,4
48367,2024,6,2
48367,2025,2,1
48369,2015,13,4
48369,2016,9,3
48369,2017,4,2
48369,2018,4,2
48369,2019,24,7
48369,2020,8,2
48369,2021,6,2
48369,2022,9,3
48369,2023,26,9
48369,2024,17,8
48369,2025,2,1
48371,2015,6,2
48371,2016,8,2
48371,2017,4,1
48371,2019,10,4
48371,2020,5,2
48371,2021,9,4
48371,2022,4,2
48371,2023,38,8
48371,2024,24,8
48371,2025,5,2
48373,2016,5,1
48375,2015,2,1
48375,2016,6,2
48375,2018,3,1
48375,2019,6,2
48375,2020,10,3
48375,2021,2,1
48375,2022,2,1
48375,2023,2,1
48375,2024,17,5
48375,2025,4,1
48377,2022,6,3
48377,2023,31,5
48377,2024,17,5
48377,2025,21,7
48379,2016,3,1
48379,2017,2,1
48379,2019,4,2
48379,2020,4,2
48379,2021,2,1
48379,2023,5,2
48379,2024,4,2
48379,2025,2,1
48381,2015,2,1
