county_fips,year,month,classified_dates
48061,2017,9,4
48061,2018,6,8
48061,2018,7,11
48061,2019,6,8
48061,2019,7,6
48061,2019,8,15
48061,2019,9,4
48061,2020,8,5
48061,2020,9,3
48061,2021,8,5
48061,2021,9,3
48061,2022,6,3
48061,2022,7,17
48061,2022,8,3
48061,2023,6,19
48061,2023,7,24
48061,2023,8,22
48061,2023,9,19
48061,2024,6,14
48061,2024,8,6
48061,2025,6,8
48061,2025,8,8
48061,2025,9,2
48063,2015,6,6
48063,2015,7,6
48063,2015,8,6
48063,2015,9,5
48063,2016,6,2
48063,2016,7,4
48063,2016,8,7
48063,2018,9,3
48063,2019,9,2
48063,2020,9,2
48063,2023,6,2
48063,2023,8,5
48063,2023,9,2
48063,2024,6,2
48063,2024,7,2
48063,2024,9,2
48065,2019,9,2
48065,2023,6,2
48065,2023,7,2
48065,2023,9,2
48065,2024,6,2
48065,2024,8,2
48065,2024,9,2
48067,2015,6,2
48067,2015,8,4
48067,2016,7,6
48067,2016,9,2
48067,2018,6,2
48067,2018,9,3
48067,2019,9,2
48067,2021,8,2
48067,2023,8,3
48067,2023,9,2
48069,2015,9,2
48069,2016,7,2
48069,2019,8,5
48069,2020,7,5
48069,2022,6,2
48069,2023,7,6
48069,2023,8,3
48069,2024,8,8
48069,2024,9,5
48071,2015,8,2
48071,2016,9,2
48071,2023,7,1
48071,2023,8,9
48071,2023,9,6
48071,2024,7,2
48071,2024,8,7
48073,2015,6,2
48073,2016,7,5
48073,2025,8,2
48075,2015,8,3
48075,2015,9,2
48075,2016,9,2
48075,2019,7,2
48075,2019,8,5
48075,2019,9,3
48075,2020,7,2
48075,2020,8,2
48075,2021,6,4
48075,2022,6,3
48075,2022,8,2
48075,2023,6,2
48075,2023,7,2
48075,2023,8,2
48075,2023,9,4
48075,2024,8,8
48075,2024,9,8
48077,2023,6,2
48077,2023,7,2
48077,2023,9,2
48079,2015,9,3
48079,2016,6,2
48079,2016,7,8
48079,2017,6,1
48079,2017,7,1
48079,2017,9,2
48079,2018,6,2
48079,2019,8,4
48079,2020,6,2
48079,2020,7,6
48079,2020,9,2
48079,2021,8,2
48079,2022,7,4
48079,2022,8,2
48079,2023,7,2
48079,2023,8,8
48079,2023,9,4
48079,2024,6,4
48079,2024,8,5
48079,2024,9,4
48081,2019,9,2
48081,2023,6,6
48081,2025,9,2
48083,2016,7,10
48083,2016,8,2
48083,2016,9,3
48083,2017,6,4
48083,2017,7,1
48083,2017,9,3
48083,2018,6,2
48083,2018,7,4
48083,2019,7,2
48083,2019,8,5
48083,2019,9,8
48083,2020,6,1
48083,2020,7,4
48083,2020,8,4
48083,2020,9,2
48083,2022,6,7
48083,2022,7,4
48083,2023,6,6
48083,2023,7,5
48083,2023,8,10
48083,2023,9,9
48083,2024,8,3
48083,2025,9,3
48085,2021,6,2
48085,2023,6,2
48085,2023,9,6
48085,2024,6,5
48085,2024,7,4
48085,2024,9,2
48087,2015,9,2
48087,2017,9,5
48087,2023,6,2
48087,2023,7,2
48089,2021,6,3
48089,2023,6,3
48089,2024,6,2
48091,2015,9,2
48091,2016,7,4
48091,2017,6,3
48091,2017,7,3
48091,2017,8,4
48091,2018,7,2
48091,2019,8,2
48091,2019,9,3
48091,2020,7,2
48091,2020,8,3
48091,2020,9,2
48091,2021,6,2
48091,2022,7,4
48091,2023,7,4
48091,2023,8,3
48091,2023,9,4
48091,2024,8,2
48093,2016,7,5
48093,2017,8,2
48093,2017,9,2
48093,2019,9,6
48093,2020,8,3
48093,2020,9,1
48093,2022,6,14
48093,2022,7,22
48093,2022,8,4
48093,2022,9,5
48093,2023,6,12
48093,2023,7,25
48093,2023,8,23
48093,2023,9,15
48093,2024,6,22
48093,2024,7,12
48093,2024,8,21
48093,2024,9,7
48093,2025,6,7
48093,2025,8,5
48093,2025,9,3
48095,2019,8,2
48095,2019,9,2
48095,2020,8,3
48095,2020,9,2
48095,2022,6,2
48095,2022,7,2
48095,2023,6,7
48095,2023,7,3
48095,2023,8,11
48095,2023,9,6
