county_fips,year,classified_assessment_dates
48135,1994,24
48135,1995,7
48135,1996,26
48135,1998,48
48135,1999,28
48135,2000,30
48135,2001,42
48135,2002,17
48135,2003,10
48135,2004,1
48135,2005,5
48135,2006,19
48135,2008,12
48135,2009,15
48135,2010,27
48135,2011,72
48135,2012,27
48135,2013,19
48135,2014,14
48135,2015,12
48135,2016,25
48135,2017,12
48135,2018,25
48135,2019,32
48135,2020,33
48135,2021,7
48135,2022,52
48135,2023,66
48135,2024,44
48135,2025,13
48137,1979,6
48137,1980,43
48137,1982,10
48137,1983,3
48137,1984,14
48137,1985,18
48137,1986,17
48137,1987,19
48137,1988,10
48137,1989,51
48137,1990,3
48137,1991,8
48137,1992,11
48137,1993,32
48137,1994,7
48137,1995,4
48137,1996,20
48137,1997,11
48137,1998,34
48137,1999,9
48137,2000,20
48137,2001,4
48137,2002,16
48137,2003,5
48137,2005,7
48137,2006,11
48137,2008,1
48137,2009,27
48137,2010,14
48137,2011,47
48137,2012,44
48137,2013,23
48137,2014,5
48137,2015,11
48137,2016,15
48137,2017,15
48137,2018,13
48137,2019,5
48137,2020,15
48137,2022,14
48137,2023,56
48137,2024,30
48137,2025,1
48139,1980,59
48139,1981,1
48139,1982,10
48139,1983,5
48139,1984,18
48139,1985,30
48139,1986,13
48139,1987,19
48139,1988,6
48139,1990,7
48139,1993,20
48139,1995,2
48139,1996,18
48139,1997,6
48139,1998,62
48139,1999,28
48139,2000,38
48139,2001,35
48139,2003,3
48139,2005,8
48139,2006,37
48139,2007,4
48139,2008,14
48139,2009,15
48139,2010,27
48139,2011,68
48139,2012,36
48139,2013,22
48139,2014,3
48139,2015,11
48139,2016,13
48139,2017,2
48139,2018,27
48139,2019,19
48139,2020,14
48139,2022,56
48139,2023,48
48139,2024,22
48139,2025,2
48141,1979,20
48141,1980,53
48141,1981,24
48141,1982,11
48141,1984,1
48141,1989,15
48141,1990,21
48141,1991,6
48141,1992,7
48141,1993,11
48141,1994,46
48141,1995,6
48141,1996,19
48141,1997,7
48141,1998,13
48141,1999,9
48141,2000,13
48141,2001,10
48141,2002,21
48141,2003,24
48141,2004,11
48141,2005,31
48141,2006,18
48141,2007,15
48141,2008,11
48141,2009,24
48141,2010,23
48141,2011,32
48141,2012,4
48141,2013,36
48141,2014,40
48141,2017,13
48141,2018,28
48141,2019,32
48141,2020,41
48141,2021,11
48141,2022,19
48141,2023,50
48141,2024,45
48141,2025,25
48143,1980,39
48143,1981,10
48143,1982,4
48143,1983,8
48143,1984,17
48143,1985,26
48143,1986,13
48143,1987,11
48143,1988,12
48143,1989,2
48143,1990,1
48143,1991,2
48143,1993,19
48143,1994,7
48143,1995,8
48143,1996,20
48143,1997,1
48143,1998,41
48143,1999,27
48143,2000,50
48143,2001,36
48143,2002,2
48143,2003,13
48143,2005,6
48143,2006,42
48143,2008,10
48143,2009,23
48143,2010,20
