county_fips,year,month,classified_assessment_dates
48011,2016,8,9
48011,2017,6,6
48011,2017,7,12
48011,2018,6,6
48011,2018,7,12
48011,2018,8,6
48011,2018,9,1
48011,2019,7,6
48011,2019,8,21
48011,2020,6,2
48011,2020,7,18
48011,2020,8,13
48011,2021,6,7
48011,2021,7,2
48011,2021,8,8
48011,2021,9,2
48011,2022,6,12
48011,2022,7,30
48011,2022,8,13
48011,2023,6,8
48011,2023,7,18
48011,2023,8,24
48011,2023,9,6
48011,2024,6,8
48011,2024,7,14
48011,2024,8,24
48011,2025,6,2
48011,2025,7,5
48011,2025,8,10
48013,1979,7,2
48013,1980,6,11
48013,1980,7,22
48013,1980,8,5
48013,1981,6,1
48013,1981,8,1
48013,1982,7,5
48013,1982,8,10
48013,1983,6,1
48013,1983,7,5
48013,1983,8,4
48013,1983,9,1
48013,1984,6,3
48013,1984,7,4
48013,1985,8,2
48013,1985,9,1
48013,1986,8,6
48013,1986,10,3
48013,1987,8,5
48013,1988,8,7
48013,1989,5,2
48013,1989,7,11
48013,1989,8,3
48013,1989,9,4
48013,1990,6,13
48013,1991,7,1
48013,1991,8,5
48013,1992,7,1
48013,1992,9,1
48013,1994,7,9
48013,1994,8,4
48013,1995,7,10
48013,1995,8,2
48013,1996,5,1
48013,1996,6,4
48013,1996,7,16
48013,1996,8,12
48013,1997,7,1
48013,1997,8,12
48013,1998,6,18
48013,1998,7,28
48013,1998,8,6
48013,2000,7,1
48013,2000,8,1
48013,2000,9,9
48013,2001,6,2
48013,2001,7,21
48013,2001,8,23
48013,2002,6,1
48013,2003,6,1
48013,2003,8,3
48013,2004,6,1
48013,2005,7,7
48013,2005,8,4
48013,2005,9,6
48013,2005,10,2
48013,2006,6,2
48013,2006,8,21
48013,2008,5,2
48013,2009,6,17
48013,2009,7,30
48013,2009,8,24
48013,2010,8,15
48013,2011,5,2
48013,2011,6,9
48013,2011,7,17
48013,2011,8,29
48013,2011,9,3
48013,2012,8,17
48013,2013,8,13
48013,2014,8,21
48013,2014,9,5
48013,2015,7,10
48013,2015,8,16
48013,2015,9,4
48013,2016,7,18
48013,2016,8,7
48013,2017,6,4
48013,2017,7,19
48013,2017,8,11
48013,2017,9,1
48013,2018,6,4
48013,2018,7,13
48013,2018,8,11
48013,2019,6,3
48013,2019,7,6
48013,2019,8,26
48013,2019,9,12
48013,2019,10,1
48013,2020,7,16
48013,2020,8,15
48013,2020,9,4
48013,2021,8,7
48013,2021,9,3
48013,2022,5,3
48013,2022,6,18
48013,2022,7,29
48013,2022,8,15
48013,2023,6,16
48013,2023,7,21
48013,2023,8,30
48013,2023,9,8
48013,2024,5,5
48013,2024,6,4
48013,2024,8,18
48013,2024,9,1
48013,2025,5,2
48013,2025,7,1
48013,2025,8,17
48015,1980,6,6
48015,1980,7,21
48015,1980,8,10
48015,1981,6,2
48015,1981,7,3
48015,1982,6,3
48015,1982,7,16
48015,1982,8,19
48015,1982,9,1
48015,1985,8,6
48015,1985,9,4
48015,1986,7,4
48015,1986,8,5
48015,1987,8,3
48015,1988,7,3
48015,1988,8,11
48015,1990,6,3
48015,1990,7,5
48015,1990,8,15
48015,1990,9,1
48015,1991,7,8
48015,1993,7,2
48015,1993,8,6
48015,1994,7,1
48015,1995,7,7
48015,1996,5,2
48015,1996,6,1
48015,1996,7,3
48015,1996,8,5
48015,1997,7,3
48015,1997,8,9
48015,1998,6,26
48015,1998,7,28
48015,1998,8,20
48015,1998,9,2
48015,1999,8,26
48015,1999,9,2
48015,2000,7,12
48015,2000,8,12
48015,2000,9,9
48015,2001,7,11
48015,2001,8,9
48015,2003,8,5
48015,2005,7,7
48015,2005,8,2
48015,2005,9,7
48015,2006,8,5
48015,2007,8,4
48015,2008,7,1
48015,2008,8,5
48015,2009,6,10
48015,2009,7,27
48015,2009,8,23
48015,2010,8,24
48015,2010,9,2
48015,2011,6,10
48015,2011,7,26
48015,2011,8,31
48015,2011,9,9
48015,2012,6,4
48015,2012,8,8
48015,2012,9,1
48015,2013,6,2
48015,2013,7,6
48015,2013,8,17
48015,2013,9,7
48015,2014,8,11
48015,2014,9,1
48015,2015,7,3
48015,2015,8,11
48015,2016,7,15
48015,2016,8,8
48015,2017,7,12
48015,2017,8,11
48015,2018,7,9
48015,2018,8,13
48015,2019,6,2
48015,2019,7,6
48015,2019,8,27
48015,2020,7,14
48015,2020,8,13
48015,2020,9,3
48015,2021,8,3
48015,2021,9,2
48015,2022,6,20
48015,2022,7,27
48015,2022,8,18
48015,2023,6,16
48015,2023,7,27
48015,2023,8,31
48015,2023,9,15
48015,2024,6,5
48015,2024,7,6
48015,2024,8,21
48015,2025,8,4
48017,1979,6,1
48017,1980,6,17
48017,1980,7,22
48017,1980,8,5
48017,1980,9,2
48017,1981,6,10
48017,1981,7,8
48017,1982,7,7
48017,1982,8,4
48017,1982,9,1
48017,1983,6,2
48017,1983,7,11
48017,1983,8,8
48017,1983,9,5
48017,1984,6,1
48017,1985,8,7
48017,1986,7,7
48017,1986,8,5
48017,1987,7,8
48017,1987,8,2
48017,1989,5,1
48017,1989,6,1
48017,1989,7,2
48017,1989,8,3
48017,1990,6,19
48017,1990,7,1
48017,1991,6,4
48017,1991,7,1
48017,1992,7,1
48017,1992,8,2
48017,1993,6,1
48017,1993,7,14
48017,1993,8,4
48017,1994,6,9
48017,1994,7,9
48017,1994,8,2
48017,1995,7,5
48017,1995,9,1
48017,1996,5,3
48017,1996,6,6
48017,1996,7,9
48017,1996,8,4
48017,1997,7,8
48017,1998,6,13
48017,1998,7,21
48017,1998,8,3
48017,1999,6,3
48017,1999,7,6
48017,1999,8,1
48017,2000,5,1
48017,2000,7,11
48017,2000,8,3
48017,2000,9,4
48017,2001,6,1
48017,2001,7,25
48017,2001,8,2
48017,2002,6,5
48017,2002,7,4
48017,2002,8,6
48017,2003,6,2
48017,2003,7,6
48017,2003,8,9
48017,2006,6,8
48017,2006,7,8
48017,2006,8,2
48017,2007,8,5
48017,2008,6,2
48017,2008,7,2
48017,2009,6,1
48017,2009,7,8
48017,2010,6,9
48017,2011,5,1
