county_fips,year,classified_dates,events_started
48065,2020,50,16
48065,2021,44,14
48065,2022,48,13
48065,2023,80,22
48065,2024,78,21
48065,2025,50,14
48067,2015,63,20
48067,2016,86,27
48067,2017,41,14
48067,2018,27,9
48067,2019,50,15
48067,2020,28,11
48067,2021,41,15
48067,2022,37,13
48067,2023,57,22
48067,2024,60,22
48067,2025,56,17
48069,2015,45,16
48069,2016,32,11
48069,2017,36,14
48069,2018,35,14
48069,2019,36,14
48069,2020,49,17
48069,2021,30,10
48069,2022,31,12
48069,2023,50,19
48069,2024,59,19
48069,2025,48,18
48071,2015,25,8
48071,2016,38,11
48071,2017,49,17
48071,2018,29,8
48071,2019,16,6
48071,2020,25,8
48071,2021,29,9
48071,2022,20,6
48071,2023,94,21
48071,2024,53,17
48071,2025,46,11
48073,2015,30,10
48073,2016,57,15
48073,2017,39,14
48073,2018,33,12
48073,2019,33,12
48073,2020,32,12
48073,2021,41,13
48073,2022,34,13
48073,2023,52,20
48073,2024,46,15
48073,2025,42,14
48075,2015,51,15
48075,2016,56,18
48075,2017,46,16
48075,2018,44,14
48075,2019,51,17
48075,2020,55,19
48075,2021,52,16
48075,2022,68,19
48075,2023,65,22
48075,2024,86,22
48075,2025,57,15
48077,2015,33,10
48077,2016,54,16
48077,2017,49,19
48077,2018,31,11
48077,2019,30,7
48077,2020,39,16
48077,2021,39,9
48077,2022,49,15
48077,2023,58,20
48077,2024,55,16
48077,2025,55,17
48079,2015,48,18
48079,2016,46,13
48079,2017,59,24
48079,2018,43,18
48079,2019,44,16
48079,2020,65,24
48079,2021,44,16
48079,2022,59,19
48079,2023,68,23
48079,2024,54,19
48079,2025,50,17
48081,2015,24,10
48081,2016,22,7
48081,2017,37,13
48081,2018,18,7
48081,2019,22,6
48081,2020,33,14
48081,2021,31,7
48081,2022,50,15
48081,2023,50,16
48081,2024,54,18
48081,2025,40,13
48083,2015,59,16
48083,2016,70,14
48083,2017,64,21
48083,2018,70,21
48083,2019,54,12
48083,2020,64,19
48083,2021,50,14
48083,2022,86,19
48083,2023,96,27
48083,2024,73,19
48083,2025,62,19
48085,2015,34,11
48085,2016,52,16
48085,2017,39,15
48085,2018,20,6
48085,2019,39,12
48085,2020,40,16
48085,2021,42,12
48085,2022,38,16
48085,2023,57,17
48085,2024,76,20
48085,2025,57,16
48087,2015,57,18
48087,2016,50,15
48087,2017,54,19
48087,2018,21,8
48087,2019,14,5
48087,2020,22,10
48087,2021,31,10
48087,2022,19,7
48087,2023,40,16
48087,2024,35,13
48087,2025,31,9
48089,2015,30,8
48089,2016,42,13
48089,2017,48,14
48089,2018,9,3
48089,2019,14,6
48089,2020,21,7
48089,2021,29,9
48089,2022,38,12
48089,2023,63,17
48089,2024,66,22
48089,2025,64,14
48091,2015,24,7
48091,2016,41,14
48091,2017,101,33
48091,2018,48,15
48091,2019,57,23
48091,2020,55,18
48091,2021,39,16
48091,2022,48,17
48091,2023,63,20
48091,2024,50,16
48091,2025,62,18
48093,2015,30,11
48093,2016,57,16
48093,2017,61,24
48093,2018,38,12
48093,2019,49,14
48093,2020,50,16
48093,2021,54,14
48093,2022,133,25
48093,2023,128,24
48093,2024,130,22
48093,2025,118,33
48095,2015,28,8
48095,2016,36,13
48095,2017,49,15
48095,2018,26,11
48095,2019,34,14
48095,2020,49,19
48095,2021,35,9
48095,2022,59,20
48095,2023,88,24
48095,2024,90,32
48095,2025,67,24
48097,2015,38,11
48097,2016,35,11
48097,2017,36,14
48097,2018,21,8
48097,2019,18,6
48097,2020,25,10
48097,2021,28,6
48097,2022,32,10
48097,2023,52,19
48097,2024,50,17
48097,2025,46,14
48099,2015,65,19
48099,2016,84,21
48099,2017,93,27
48099,2018,44,15
48099,2019,52,13
48099,2020,54,16
48099,2021,50,16
48099,2022,63,16
48099,2023,84,20
48099,2024,91,25
48099,2025,75,21
48101,2015,60,18
48101,2016,48,14
48101,2017,48,18
48101,2018,61,17
48101,2019,36,13
48101,2020,64,23
48101,2021,44,16
48101,2022,67,19
48101,2023,66,22
48101,2024,72,20
48101,2025,46,12
48103,2015,26,9
48103,2016,54,16
48103,2017,62,22
48103,2018,59,23
48103,2019,45,16
48103,2020,50,17
48103,2021,43,13
48103,2022,25,10
48103,2023,102,27
48103,2024,97,34
48103,2025,101,31
48105,2015,38,12
48105,2016,69,14
48105,2017,67,20
48105,2018,26,10
48105,2019,57,15
48105,2020,53,18
48105,2021,52,15
48105,2022,65,18
48105,2023,93,21
48105,2024,92,24
48105,2025,69,16
48107,2015,48,16
48107,2016,42,14
48107,2017,62,24
48107,2018,58,21
48107,2019,60,21
48107,2020,77,27
48107,2021,34,12
48107,2022,70,22
48107,2023,71,24
48107,2024,74,23
48107,2025,53,19
48109,2015,21,7
48109,2016,27,10
48109,2017,42,12
48109,2018,38,12
48109,2019,17,7
48109,2020,42,13
48109,2021,54,14
48109,2022,31,12
48109,2023,34,10
48109,2024,34,11
48109,2025,34,8
48111,2015,57,17
48111,2016,57,18
48111,2017,78,27
48111,2018,57,18
48111,2019,52,15
48111,2020,63,18
48111,2021,62,20
48111,2022,79,24
48111,2023,105,25
48111,2024,90,21
48111,2025,63,16
48113,2015,40,14
48113,2016,59,16
48113,2017,54,21
48113,2018,28,10
48113,2019,33,11
48113,2020,37,14
48113,2021,42,12
48113,2022,32,12
48113,2023,50,17
48113,2024,64,16
48113,2025,55,18
48115,2015,32,14
48115,2016,39,13
48115,2017,58,22
48115,2018,45,16
48115,2019,35,12
48115,2020,41,16
48115,2021,32,9
48115,2022,36,12
48115,2023,64,23
48115,2024,56,17
48115,2025,43,12
48117,2015,50,17
48117,2016,47,16
48117,2017,54,16
48117,2018,57,20
48117,2019,57,20
48117,2020,64,20
48117,2021,49,19
48117,2022,78,25
48117,2023,78,25
48117,2024,58,17
48117,2025,50,18
48119,2015,52,17
48119,2016,75,22
48119,2017,55,19
48119,2018,36,9
48119,2019,48,12
48119,2020,44,16
48119,2021,44,13
48119,2022,45,15
48119,2023,91,27
48119,2024,71,16
48119,2025,62,15
48121,2015,49,14
48121,2016,69,23
48121,2017,56,21
48121,2018,34,12
48121,2019,45,11
48121,2020,46,17
48121,2021,45,11
48121,2022,61,19
48121,2023,93,24
48121,2024,77,18
48121,2025,63,18
48123,2015,69,18
48123,2016,96,25
48123,2017,84,28
48123,2018,76,22
48123,2019,66,19
48123,2020,79,22
48123,2021,54,17
48123,2022,89,26
48123,2023,137,32
48123,2024,159,30
48123,2025,173,38
48125,2015,52,16
48125,2016,32,12
48125,2017,59,23
48125,2018,45,18
48125,2019,45,17
48125,2020,56,23
48125,2021,33,12
48125,2022,51,18
48125,2023,68,25
48125,2024,61,23
48125,2025,57,21
48127,2015,19,7
48127,2016,53,17
48127,2017,55,21
48127,2018,39,17
48127,2019,52,19
48127,2020,58,21
48127,2021,39,13
48127,2022,47,16
48127,2023,85,20
48127,2024,90,26
48127,2025,92,22
48129,2015,40,14
48129,2016,39,15
48129,2017,39,16
48129,2018,35,11
48129,2019,20,8
48129,2020,40,16
48129,2021,36,11
48129,2022,37,10
48129,2023,49,19
48129,2024,60,21
48129,2025,44,14
48131,2015,40,12
48131,2016,30,9
48131,2017,60,19
48131,2018,36,14
48131,2019,41,16
48131,2020,64,24
48131,2021,54,18
48131,2022,62,23
48131,2023,132,29
48131,2024,106,31
48131,2025,117,29
48133,2015,52,14
48133,2016,81,17
48133,2017,65,21
48133,2018,52,17
48133,2019,45,13
48133,2020,52,19
48133,2021,54,12
48133,2022,91,22
48133,2023,103,24
48133,2024,102,25
48133,2025,75,23
48135,2015,22,9
48135,2016,38,10
48135,2017,59,18
48135,2018,33,13
48135,2019,39,14
48135,2020,36,14
48135,2021,53,16
48135,2022,31,9
48135,2023,70,21
48135,2024,44,17
48135,2025,39,11
48137,2015,22,7
48137,2016,36,13
48137,2017,74,20
48137,2018,12,5
48137,2019,19,9
48137,2020,21,9
48137,2021,29,8
48137,2022,51,16
48137,2023,56,15
48137,2024,70,22
48137,2025,94,21
48139,2015,26,7
48139,2016,73,19
48139,2017,44,16
48139,2018,30,10
48139,2019,63,21
48139,2020,52,21
48139,2021,70,21
48139,2022,93,24
48139,2023,66,23
48139,2024,77,19
48139,2025,61,19
48141,2015,9,3
48141,2016,26,6
48141,2017,87,21
48141,2018,54,18
48141,2019,36,12
48141,2020,73,20
48141,2021,57,17
48141,2022,51,18
48141,2023,77,21
48141,2024,87,25
48141,2025,73,20
48143,2015,46,12
48143,2016,84,22
48143,2017,67,21
48143,2018,68,19
48143,2019,53,17
48143,2020,57,20
48143,2021,52,12
48143,2022,119,24
48143,2023,92,23
48143,2024,77,20
48143,2025,68,22
48145,2015,45,16
48145,2016,82,19
48145,2017,49,17
48145,2018,24,8
48145,2019,36,8
48145,2020,36,13
48145,2021,49,13
48145,2022,61,18
48145,2023,86,21
48145,2024,98,21
48145,2025,64,17
48147,2015,78,19
48147,2016,94,25
48147,2017,39,14
48147,2018,25,8
48147,2019,49,13
48147,2020,36,14
48147,2021,45,12
48147,2022,35,13
48147,2023,60,20
48147,2024,104,27
48147,2025,58,18
48149,2015,31,9
48149,2016,73,20
48149,2017,81,27
48149,2018,20,7
48149,2019,50,13
48149,2020,67,20
48149,2021,72,22
48149,2022,96,27
48149,2023,94,24
48149,2024,71,17
48149,2025,84,22
48151,2015,46,16
48151,2016,43,12
48151,2017,45,18
48151,2018,45,15
48151,2019,42,15
48151,2020,43,15
48151,2021,33,8
48151,2022,21,9
48151,2023,47,18
48151,2024,35,13
48151,2025,31,9
48153,2015,32,12
48153,2016,38,14
48153,2017,44,18
48153,2018,32,13
48153,2019,33,10
48153,2020,42,15
48153,2021,33,11
48153,2022,40,17
48153,2023,53,22
48153,2024,49,19
48153,2025,45,16
48155,2015,45,13
48155,2016,57,15
48155,2017,59,22
48155,2018,51,16
48155,2019,42,12
48155,2020,69,23
48155,2021,49,14
48155,2022,76,23
48155,2023,83,25
48155,2024,88,25
48155,2025,71,21
48157,2015,54,18
48157,2016,47,15
48157,2017,77,24
48157,2018,73,23
48157,2019,27,11
48157,2020,55,18
48157,2021,73,21
48157,2022,52,18
48157,2023,123,23
48157,2024,115,22
48157,2025,100,26
48159,2015,45,17
48159,2016,101,27
