county_fips,calendar_month,analysis_year,threshold_value_f,n_reference_values,definition_id,percentile,window_method,threshold_quality_flag
48001,12,2023,60.505646148500006,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,1,2024,57.1560782783,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,2,2024,62.46599249500912,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,3,2024,68.60160548715001,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,4,2024,73.44017794467501,1350,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,5,2024,80.2344854554,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,6,2024,89.5395849578319,1350,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,7,2024,93.39071154340704,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2024,94.56906595519018,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2024,87.51592367412034,1350,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2024,76.54177118550001,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2024,67.187039920525,1350,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,12,2024,60.42107931189999,1395,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,1,2025,57.083942285375,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,2,2025,62.525801955724994,1300,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,3,2025,68.604416337125,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,4,2025,73.456319505525,1380,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,5,2025,80.32704369124998,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,6,2025,89.57555402564947,1380,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,7,2025,93.44353532700529,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2025,94.66243632741178,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2025,87.47838235833774,1380,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2025,76.83657024550001,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2025,67.30434922962499,1380,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,12,2025,60.5176280475,1426,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,1,2015,50.700353686,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,2,2015,56.49568983836398,1017,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,3,2015,63.30683096850407,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,4,2015,71.47364613891251,1080,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,5,2015,79.57044593250001,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,6,2015,86.19304046263784,1080,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,7,2015,86.34198347542008,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,8,2015,86.36619376001079,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,9,2015,80.6462526873721,1080,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,10,2015,72.02271522662501,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,11,2015,60.84608969355,1080,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,12,2015,51.637912162375,1116,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,1,2016,50.699431141,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,2,2016,56.47426279136398,1045,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,3,2016,63.29423252463388,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,4,2016,71.40834323555501,1110,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,5,2016,79.51282120101098,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,6,2016,86.15217504701516,1110,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,7,2016,86.42099746970023,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,8,2016,86.4206948617256,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
