county_fips,year,classified_dates,events_started
48119,2024,63,16
48119,2025,51,12
48121,2015,29,8
48121,2016,52,16
48121,2017,48,17
48121,2018,17,7
48121,2019,31,11
48121,2020,44,16
48121,2021,32,7
48121,2022,39,16
48121,2023,43,14
48121,2024,66,18
48121,2025,53,17
48123,2015,31,9
48123,2016,67,14
48123,2017,66,21
48123,2018,41,13
48123,2019,35,12
48123,2020,54,19
48123,2021,35,11
48123,2022,72,19
48123,2023,88,24
48123,2024,117,30
48123,2025,133,31
48125,2015,39,14
48125,2016,40,15
48125,2017,59,23
48125,2018,36,16
48125,2019,41,17
48125,2020,38,17
48125,2021,30,11
48125,2022,30,13
48125,2023,38,16
48125,2024,35,14
48125,2025,49,16
48127,2015,17,7
48127,2016,42,13
48127,2017,44,17
48127,2018,13,5
48127,2019,36,13
48127,2020,38,15
48127,2021,28,9
48127,2022,17,6
48127,2023,52,12
48127,2024,41,12
48127,2025,52,13
48129,2015,46,16
48129,2016,47,18
48129,2017,38,15
48129,2018,30,12
48129,2019,24,10
48129,2020,30,13
48129,2021,27,8
48129,2022,25,10
48129,2023,45,18
48129,2024,49,18
48129,2025,55,20
48131,2015,26,9
48131,2016,20,5
48131,2017,32,9
48131,2018,16,7
48131,2019,17,6
48131,2020,31,12
48131,2021,41,14
48131,2022,37,14
48131,2023,106,25
48131,2024,77,22
48131,2025,97,28
48133,2015,31,10
48133,2016,60,14
48133,2017,54,18
48133,2018,18,7
48133,2019,28,11
48133,2020,48,19
48133,2021,51,11
48133,2022,38,12
48133,2023,57,18
48133,2024,67,18
48133,2025,59,16
48135,2015,22,8
48135,2016,34,9
48135,2017,49,15
48135,2018,16,7
48135,2019,16,6
48135,2020,19,9
48135,2021,49,15
48135,2022,7,4
48135,2023,25,9
48135,2024,26,11
48135,2025,28,7
48137,2015,23,7
48137,2016,25,10
48137,2017,52,15
48137,2018,7,3
48137,2019,9,4
48137,2020,13,6
48137,2021,23,5
48137,2022,19,8
48137,2023,27,9
48137,2024,43,15
48137,2025,64,19
48139,2015,24,6
48139,2016,39,9
48139,2017,35,13
48139,2018,8,3
48139,2019,33,14
48139,2020,48,19
48139,2021,54,14
48139,2022,42,18
48139,2023,30,12
48139,2024,66,19
48139,2025,44,13
48141,2015,7,2
48141,2016,24,6
48141,2017,78,19
48141,2018,37,12
48141,2019,29,11
48141,2020,37,10
48141,2021,45,15
48141,2022,33,13
48141,2023,43,16
48141,2024,53,17
48141,2025,57,13
48143,2015,37,10
48143,2016,76,21
48143,2017,60,20
48143,2018,25,11
48143,2019,35,15
48143,2020,46,17
48143,2021,47,11
48143,2022,55,21
48143,2023,39,16
48143,2024,61,16
48143,2025,57,18
48145,2015,30,11
48145,2016,48,14
48145,2017,41,14
48145,2018,6,3
48145,2019,19,6
48145,2020,26,11
48145,2021,35,8
48145,2022,30,11
48145,2023,39,14
48145,2024,69,18
48145,2025,56,14
48147,2015,53,15
48147,2016,79,21
48147,2017,31,11
48147,2018,17,7
48147,2019,31,11
48147,2020,38,14
48147,2021,36,7
48147,2022,23,9
48147,2023,45,16
48147,2024,94,26
48147,2025,51,16
48149,2015,22,6
48149,2016,45,12
48149,2017,51,16
48149,2018,3,1
48149,2019,30,9
48149,2020,34,11
48149,2021,50,16
48149,2022,53,20
48149,2023,40,13
48149,2024,62,19
48149,2025,67,20
48151,2015,42,15
48151,2016,49,14
48151,2017,45,18
48151,2018,22,9
48151,2019,22,9
48151,2020,40,15
48151,2021,28,7
48151,2022,11,5
48151,2023,36,14
48151,2024,30,11
48151,2025,30,8
48153,2015,36,14
48153,2016,42,17
48153,2017,40,17
48153,2018,33,15
48153,2019,32,11
48153,2020,32,13
48153,2021,30,10
48153,2022,23,10
48153,2023,36,15
48153,2024,40,15
48153,2025,40,14
48155,2015,55,17
48155,2016,64,16
48155,2017,51,19
48155,2018,27,11
48155,2019,35,13
48155,2020,60,23
48155,2021,45,12
48155,2022,42,16
48155,2023,54,19
48155,2024,61,20
48155,2025,67,19
48157,2015,48,13
48157,2016,36,11
48157,2017,66,19
48157,2018,59,18
48157,2019,12,5
48157,2020,26,10
48157,2021,51,12
48157,2022,51,20
48157,2023,105,22
48157,2024,84,25
48157,2025,75,21
48159,2015,51,17
48159,2016,90,26
48159,2017,48,17
48159,2018,38,15
48159,2019,39,13
48159,2020,43,17
48159,2021,51,14
48159,2022,47,19
48159,2023,52,19
48159,2024,46,14
48159,2025,45,13
48161,2015,20,6
48161,2016,33,10
48161,2017,39,14
48161,2018,7,3
48161,2019,16,5
48161,2020,23,9
48161,2021,32,8
48161,2022,19,6
48161,2023,41,15
48161,2024,64,16
48161,2025,50,14
48163,2015,38,13
48163,2016,39,11
48163,2017,44,14
48163,2018,8,4
48163,2019,2,1
48163,2020,4,2
48163,2021,17,7
48163,2022,4,1
48163,2023,23,6
48163,2024,18,5
48163,2025,16,4
48165,2015,31,10
48165,2016,15,6
48165,2017,44,14
48165,2018,22,10
48165,2019,31,10
48165,2020,23,10
48165,2021,40,13
48165,2022,11,5
48165,2023,25,10
48165,2024,30,12
48165,2025,51,15
48167,2015,49,12
48167,2016,57,17
48167,2017,107,28
48167,2018,98,24
48167,2019,83,23
48167,2020,94,26
48167,2021,70,21
48167,2022,102,27
48167,2023,106,24
48167,2024,86,27
48167,2025,67,20
48169,2015,50,16
48169,2016,52,16
48169,2017,62,27
48169,2018,30,13
48169,2019,47,17
48169,2020,52,23
48169,2021,45,14
48169,2022,35,15
48169,2023,51,21
48169,2024,34,13
48169,2025,51,19
48171,2015,26,8
48171,2016,20,7
48171,2017,27,10
48171,2018,4,2
48171,2019,11,5
48171,2020,16,7
48171,2021,22,6
48171,2022,17,6
48171,2023,35,13
48171,2024,36,11
48171,2025,39,7
48173,2015,28,10
48173,2016,42,12
48173,2017,48,16
48173,2018,17,7
48173,2019,24,9
48173,2020,17,8
48173,2021,32,8
48173,2022,11,5
48173,2023,22,10
48173,2024,38,12
48173,2025,42,10
48175,2015,14,4
48175,2016,26,8
48175,2017,24,8
48175,2018,2,1
48175,2019,6,3
48175,2020,13,6
48175,2021,11,4
48175,2022,14,7
48175,2023,34,11
48175,2024,21,6
48175,2025,34,10
48177,2015,26,9
48177,2016,42,12
48177,2017,63,21
48177,2018,15,6
48177,2019,27,9
48177,2020,43,16
48177,2021,32,10
48177,2022,61,19
48177,2023,79,19
48177,2024,80,21
48177,2025,84,21
48179,2015,53,19
48179,2016,51,18
48179,2017,46,17
48179,2018,40,17
48179,2019,46,17
48179,2020,40,16
48179,2021,35,14
48179,2022,38,17
48179,2023,68,21
48179,2024,86,31
48179,2025,67,24
48181,2015,66,20
48181,2016,67,19
48181,2017,40,15
48181,2018,18,7
48181,2019,20,6
48181,2020,49,18
48181,2021,38,7
48181,2022,31,14
48181,2023,54,18
48181,2024,67,22
48181,2025,50,16
48183,2015,40,14
48183,2016,58,16
48183,2017,63,20
48183,2018,43,12
48183,2019,44,10
48183,2020,32,11
48183,2021,35,9
48183,2022,52,18
48183,2023,70,24
48183,2024,78,20
48183,2025,62,16
48185,2015,35,13
48185,2016,63,17
48185,2017,56,18
48185,2018,24,10
48185,2019,31,10
48185,2020,36,13
48185,2021,41,9
48185,2022,38,15
48185,2023,65,19
48185,2024,80,24
48185,2025,60,15
48187,2015,30,11
48187,2016,49,13
48187,2017,66,23
48187,2018,12,5
48187,2019,38,12
48187,2020,62,23
48187,2021,44,15
48187,2022,93,27
48187,2023,95,21
48187,2024,68,22
48187,2025,63,17
48189,2015,58,19
48189,2016,50,18
48189,2017,56,22
48189,2018,36,16
48189,2019,48,17
48189,2020,35,14
48189,2021,36,12
48189,2022,35,14
48189,2023,37,14
48189,2024,52,19
48189,2025,57,21
48191,2015,57,18
48191,2016,55,17
48191,2017,52,20
48191,2018,38,17
48191,2019,34,13
48191,2020,44,17
48191,2021,49,19
48191,2022,35,16
48191,2023,39,15
48191,2024,46,18
48191,2025,46,19
48193,2015,28,10
48193,2016,58,16
48193,2017,42,15
48193,2018,11,5
48193,2019,15,6
48193,2020,30,13
48193,2021,39,10
48193,2022,50,17
48193,2023,58,20
48193,2024,70,19
48193,2025,62,17
48195,2015,45,19
48195,2016,44,16
48195,2017,45,17
48195,2018,32,14
48195,2019,46,18
48195,2020,61,22
48195,2021,60,23
48195,2022,47,19
48195,2023,57,18
48195,2024,77,25
48195,2025,52,19
48197,2015,36,12
48197,2016,46,13
48197,2017,39,14
48197,2018,23,10
48197,2019,22,8
48197,2020,40,16
48197,2021,39,11
48197,2022,31,12
48197,2023,45,16
48197,2024,42,13
48197,2025,50,14
48199,2015,74,17
48199,2016,65,18
48199,2017,67,19
48199,2018,52,13
48199,2019,22,9
48199,2020,34,12
48199,2021,73,21
48199,2022,108,30
48199,2023,168,29
48199,2024,84,26
48199,2025,88,21
48201,2015,50,12
48201,2016,93,22
48201,2017,77,24
48201,2018,56,17
48201,2019,44,13
48201,2020,52,19
48201,2021,59,17
48201,2022,66,22
48201,2023,94,23
48201,2024,75,21
48201,2025,61,17
48203,2015,51,17
48203,2016,48,14
48203,2017,63,20
48203,2018,53,10
48203,2019,51,10
48203,2020,29,11
48203,2021,55,16
48203,2022,69,20
48203,2023,90,27
48203,2024,81,23
48203,2025,93,26
48205,2015,45,18
48205,2016,68,19
48205,2017,65,22
48205,2018,50,17
48205,2019,97,30
48205,2020,82,23
48205,2021,68,22
48205,2022,50,19
48205,2023,68,20
48205,2024,94,28
48205,2025,80,21
48207,2015,49,17
48207,2016,66,18
48207,2017,35,14
48207,2018,17,8
48207,2019,26,11
48207,2020,39,16
48207,2021,38,14
48207,2022,37,15
48207,2023,51,20
48207,2024,48,17
48207,2025,43,14
48209,2015,18,7
48209,2016,23,8
48209,2017,46,17
48209,2018,5,2
48209,2019,20,9
48209,2020,32,14
48209,2021,25,9
48209,2022,31,13
48209,2023,51,14
48209,2024,37,10
48209,2025,57,16
48211,2015,35,13
48211,2016,41,10
48211,2017,39,14
48211,2018,22,7
48211,2019,16,6
48211,2020,34,13
48211,2021,30,9
